Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Cooking or Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Light Use (Estimated) in Thousands of BTU 
1993,3,7,3,3,23603,2836,2491,13942,47570,370,38036,14219,3055,0,23190,10470,11791,12714,10167,0,860,401,0,2418
1993,2,4,0,2,13593,571,7742,6081,20748,0,0,0,0,0,0,14988,0,3872,1888,2046,0,0,2526,3000
1993,3,5,0,2,8956,2231,2416,12961,44223,0,0,8222,0,7928,0,14015,0,9978,4080,0,894,0,2552,3516
1993,3,7,3,2,10380,2847,2515,6401,21840,627,64456,0,49240,0,11209,12254,4007,2240,7346,4909,0,0,0,3739
1993,4,8,0,2,7476,231,8029,12442,42452,886,91081,0,91081,5349,0,25855,0,2595,8653,4287,2320,720,3512,2109
1993,3,5,0,2,7181,1841,3206,24000,81888,0,0,20050,0,13751,0,30534,0,14369,3184,4675,1175,1089,3632,7260
1993,4,9,2,4,34771,652,1010,2305,7865,277,28517,0,12853,0,15664,6403,0,0,1462,0,824,0,0,1903
1993,1,2,1,2,21891,1272,4707,3723,12703,2825,290410,0,201727,0,71396,9535,17287,2020,1148,1705,0,349,877,1672
1993,2,3,0,4,19509,1071,5445,1328,4531,1177,120996,0,81385,0,31803,2755,7808,0,1776,0,0,0,0,528
1993,4,9,2,2,4332,171,5974,5505,18783,0,0,3934,0,0,0,12307,0,0,2542,0,0,0,0,3292
1993,4,9,0,5,32608,135,4598,4511,15392,0,0,4166,0,4832,0,4213,0,0,2181,0,678,0,0,1236
1993,3,7,3,5,9383,2846,2483,3096,10563,318,32715,0,11754,0,16455,5864,4506,0,4699,0,0,0,0,1540
1993,1,1,0,2,12645,649,6557,76206,260015,2608,268102,0,141230,0,54540,190198,72332,52968,16849,21966,4880,4434,12250,70630
1993,1,2,1,2,13096,1337,4722,5326,18172,569,58493,0,37750,0,16523,11912,4220,2487,3773,0,0,0,1744,2715
1993,3,6,0,2,9649,1533,4481,6395,21820,734,75455,0,55388,0,20067,7237,0,9195,5388,0,900,0,0,1542
1993,3,5,0,4,9563,1649,3335,9428,32168,0,0,0,0,10641,0,10791,0,6388,4348,0,1100,0,0,2912
1993,2,4,0,5,14196,1155,5584,6016,20527,0,0,7627,0,4313,0,4636,0,1718,2233,0,582,383,0,1124
1993,1,2,0,2,37018,611,6323,11601,39583,0,0,19513,0,4900,0,10296,0,0,4874,0,469,0,1508,1374
1993,3,7,0,2,8350,2067,3748,9295,31714,1569,161293,2145,110258,0,39909,11271,11126,10269,8029,0,0,0,0,5996
1993,3,6,0,3,14566,1848,3043,45392,154878,2126,218553,0,124676,0,85913,78083,7964,43798,32997,0,4628,7739,0,24023
1993,4,9,2,2,21095,279,1299,6938,23672,454,46671,0,29391,0,11868,11635,5412,2497,9540,0,0,421,0,3162
1993,4,8,0,2,12615,585,5752,12879,43943,0,0,0,0,11627,0,27019,0,0,5297,4280,2117,0,4024,4202
1993,1,2,0,2,15062,803,5731,6969,23778,0,0,0,0,8996,0,11564,0,893,2325,0,2272,0,0,4201
1993,1,2,1,3,21904,1130,4867,7189,24529,1665,171162,0,130967,0,30847,15223,9348,1929,7377,0,0,1356,2716,3039
1993,4,9,0,4,14540,141,8015,17257,58881,0,0,31597,0,12271,0,12190,0,0,2823,0,2605,0,0,3520
1993,4,9,2,2,4554,123,5930,19911,67936,0,0,27025,0,11244,0,21994,0,1306,6367,3739,2445,535,3285,2405
1993,2,3,0,5,16558,885,6511,8608,29369,0,0,8674,0,9706,0,7820,0,1604,1565,0,1930,0,0,1207
1993,3,5,4,5,22372,3581,175,9416,32127,0,0,1931,0,3977,0,7661,0,10671,7887,0,877,578,0,864
1993,4,8,0,2,6969,1864,2817,3323,11338,224,23027,0,9537,0,10542,9253,2948,0,2085,0,0,0,0,1775
1993,2,3,0,3,18522,751,6581,7589,25894,1834,188535,965,188535,5031,0,13780,0,3422,2696,0,762,355,2176,3072
1993,2,3,0,1,14540,1156,5588,7854,26798,435,44718,0,41394,5965,0,10309,3324,7193,3331,0,0,0,2260,1243
1993,2,3,0,2,23573,1019,5869,7387,25205,1970,202542,0,151433,0,44865,13203,6244,8718,3284,0,957,769,0,3322
1993,2,4,0,5,9183,414,8745,6344,21646,0,0,7535,0,6948,0,4526,0,0,2637,0,1417,0,0,788
1993,4,8,0,2,14582,1940,2530,7312,24949,526,54073,0,35703,0,18370,21176,0,0,3773,3514,2417,433,3517,1305
1993,2,4,0,5,19113,463,8234,1946,6640,316,32461,0,18745,0,11158,3239,2558,705,2696,0,0,313,0,1082
1993,2,4,0,2,14900,1063,5743,9559,32615,0,0,0,0,0,0,21997,0,2496,8122,3030,2619,1843,0,4904
1993,2,3,0,3,10365,710,6451,8883,30309,1667,171368,0,132347,0,39021,25777,0,1858,2674,0,1503,0,6942,5337
1993,1,1,0,5,8045,701,6324,3835,13086,166,17103,6059,0,0,17103,4074,0,1023,1930,0,709,0,0,1020
1993,4,9,2,2,25347,857,2024,6425,21922,484,49755,1096,31530,0,18225,16722,0,0,4104,3172,2253,403,1969,3374
1993,4,8,0,2,7623,1919,2609,753,2569,436,44821,0,27860,0,13348,1117,3613,753,699,0,0,0,0,125
1993,2,3,0,2,23573,1035,5850,9566,32639,1681,172807,0,102884,0,53572,18752,16351,5201,8686,0,0,1244,0,5100
1993,3,7,0,5,9204,1947,3852,4178,14255,380,39064,0,22795,0,12132,7723,4137,2827,3705,0,0,0,0,4644
1993,2,3,0,2,24904,1128,5618,14067,47997,1211,124491,0,97471,0,27020,29570,0,11178,7249,3228,3553,2501,4005,3564
1993,2,4,0,2,4481,1289,5468,14729,50255,1750,179900,0,138630,0,33185,21105,8085,14984,14166,0,2271,498,2430,5975
1993,4,9,2,2,4332,209,5743,17572,59956,0,0,6439,0,16278,0,32444,0,0,4795,4430,4329,671,4113,3857
1993,2,4,0,1,4041,823,6635,12059,41145,0,0,0,0,0,0,26508,0,10833,3804,0,0,0,3390,6736
1993,3,5,4,2,10436,2627,1323,7019,23949,312,32074,0,15807,0,16267,11903,0,8238,3808,0,790,733,1468,1450
1993,3,5,0,2,4663,1723,3259,18205,62115,0,0,13565,0,13297,0,24505,0,8437,2311,0,2465,1735,2779,4148
1993,3,5,0,2,3979,1570,3528,8256,28169,505,51914,0,33133,0,18781,16133,0,8337,3699,0,891,825,2077,3351
1993,4,8,0,3,10128,0,10614,15245,52016,0,0,22797,0,12128,0,14653,0,0,2438,0,831,388,0,2096
1993,4,9,2,2,21335,858,2023,15287,52159,1261,129631,1721,82849,0,46782,39256,0,0,11182,0,4999,633,8875,6807
1993,1,2,1,4,13505,916,5563,5787,19745,1431,147075,0,137291,0,0,13138,9784,3870,2737,2732,0,1105,0,3168
1993,2,3,0,2,7587,445,7986,9665,32977,557,57260,0,37778,0,19482,26942,0,3271,2764,2732,1313,433,3516,1963
1993,2,3,0,4,23786,849,6161,13023,44434,2162,222254,0,169327,0,38981,36249,13946,2444,5741,4453,0,0,0,7853
1993,3,5,4,2,5371,3346,548,12956,44206,0,0,6145,0,5361,0,15567,0,12919,4214,0,1571,1427,1724,2877
1993,2,3,0,1,4156,695,6844,6042,20615,670,68876,0,42912,0,20975,15257,4989,3519,1839,0,0,0,2771,4351
1993,2,4,0,2,17029,1102,5634,20895,71294,0,0,30555,0,9714,0,24396,0,2912,3717,4452,2433,534,3270,2286
1993,4,9,0,5,6927,95,6025,8239,28112,0,0,8646,0,6209,0,11692,0,0,1565,0,1881,820,1643,3146
1993,3,6,0,2,3757,1483,4156,8219,28043,818,84090,0,68282,0,15714,17158,94,8457,2428,0,798,905,1814,5532
1993,1,2,1,2,17925,365,7835,7057,24078,1153,118528,0,92457,0,19393,19680,6678,1161,3237,3015,0,0,0,5181
1993,1,2,0,2,19899,1030,5399,9105,31066,1023,105164,0,75122,0,23724,15782,6318,8759,6525,0,0,400,1954,4104
1993,3,6,0,2,4102,2800,1473,14333,48905,0,0,7839,0,9352,0,19046,0,9583,3085,0,1084,1005,5785,2074
1993,2,3,0,2,7817,720,6748,10661,36375,1400,143920,0,93607,0,40290,25206,10023,5913,5256,0,0,1020,2566,4121
