Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric Cooking or Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
1997,3,5,0,2,20385,2976,1628,41501,141601,0,0,5731,4640,3650,15217,3277,24226,23393,31001,47764,0,0,0
1997,3,7,3,2,23584,4080,1732,4792,16350,725,74457,0,0,0,6438,955,0,0,1514,8398,6156,11619,56682
1997,1,2,0,2,15877,5408,720,12531,42756,0,0,0,552,0,4063,889,0,6516,18300,13877,0,0,0
1997,2,4,0,2,8712,8170,603,8510,29036,0,0,2597,379,1753,4916,1309,1717,5625,967,15811,0,0,0
1997,4,9,2,1,7673,6467,238,3666,12508,0,0,2206,0,2083,3910,0,0,0,0,8598,0,0,0
1997,3,7,0,5,9307,3479,1840,7582,25870,414,42518,0,0,0,2830,2227,4119,9507,0,9414,0,0,42518
1997,1,1,0,2,8642,8566,227,3871,13208,0,0,2301,0,0,3448,737,0,0,0,9760,0,0,0
1997,4,9,2,5,17450,839,1307,3968,13539,198,20325,0,1570,0,2388,632,2547,480,664,7460,0,20325,0
1997,2,3,0,2,21990,6772,572,12320,42036,0,0,6186,389,1252,3012,0,3197,13055,0,22772,0,0,0
1997,3,5,0,3,15570,4679,1005,16395,55940,0,0,2120,338,0,2843,1088,7042,9850,16221,19984,0,0,0
1997,4,9,2,2,16482,2068,675,8138,27769,356,36563,3191,0,5324,6343,2676,0,0,0,21426,0,11600,24963
1997,3,6,0,4,11754,4268,1433,13078,44621,313,32145,4581,0,0,4196,2267,3010,15583,0,21832,0,0,32145
1997,3,7,3,2,28529,3641,1792,10194,34782,1144,117489,0,479,7226,5209,0,8111,0,0,21462,10063,20348,87078
1997,4,9,2,5,16010,711,1948,3794,12945,0,0,0,1086,0,1236,543,0,5069,708,5932,0,0,0
1997,4,8,0,2,11140,7981,287,6268,21386,0,0,2048,1819,2491,4102,0,0,0,0,17284,0,0,0
1997,4,9,0,2,12022,6216,383,28227,96311,0,0,5707,0,0,4198,3526,0,25345,35876,30892,0,0,0
1997,1,2,0,2,13999,6520,356,9988,34079,0,0,3696,0,3656,7790,868,0,5503,0,20786,0,0,0
1997,2,3,0,2,19833,6700,604,5441,18565,946,97154,0,0,0,2922,2132,0,0,0,15643,5375,30190,61589
