Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
2005,3,7,3,2,25677.96525,1231,3281,13459,45922,365,37559,0,376,3265,4222,29630,0,0,12070,9481,18266,9812
2005,4,9,2,2,24261.81026,1663,1123,13051,44529,227,23320,4261,712,0,4092,10040,0,1356,29041,3780,13082,6458
2005,2,3,0,2,31806.29502,5221,1286,19464,66411,682,70178,3414,999,0,19846,16657,0,0,29908,0,20784,49394
2005,4,9,0,3,22345.39749,5261,667,28635,97703,999999,9999999,9833,0,7807,5272,0,31876,13724,46831,9999999,9999999,9999999
2005,3,6,0,2,18842.45542,4392,1238,28658,97781,686,70589,5121,855,0,12335,15836,23262,0,46348,0,0,70589
2005,1,2,0,2,5665.875419,5162,1236,13212,45079,1340,137865,4030,673,0,2914,4753,0,0,37412,0,45711,92154
2005,3,5,4,2,5958.803863,392,3759,7194,24547,999999,9999999,3198,0,0,6262,0,6971,0,11314,9999999,9999999,9999999
2005,3,7,0,2,29405.32354,3275,2086,19878,67824,999999,9999999,2576,0,0,4125,7840,19694,2029,34136,9999999,9999999,9999999
2005,3,5,4,2,34572.0663,540,3278,20718,70690,305,31411,0,548,3754,3003,31999,0,2692,32996,6707,24704,0
2005,1,2,0,3,29899.02765,4409,1718,7688,26232,999999,9999999,2054,343,0,2112,5495,4483,6841,7301,9999999,9999999,9999999
2005,3,5,0,5,26711.66332,3277,1511,11415,38948,999999,9999999,2947,492,0,2391,6380,11139,7379,11659,9999999,9999999,9999999
2005,1,2,0,2,31646.77098,5267,1145,12686,43285,1827,187998,2977,497,0,5395,11114,0,0,26776,17895,67997,102106
2005,3,5,4,5,37194.08825,1306,2130,6438,21966,999999,9999999,0,0,0,1923,9248,3477,2687,4631,9999999,9999999,9999999
2005,3,5,4,2,36233.89929,552,3425,27890,95161,999999,9999999,6933,634,0,11523,30659,10136,2277,40566,9999999,9999999,9999999
2005,4,9,2,3,24273.85086,1097,853,7424,25331,999999,9999999,0,0,0,2414,0,11460,0,11457,9999999,9999999,9999999
2005,3,7,0,2,25591.02703,3429,2137,23908,81574,999999,9999999,5303,886,0,8218,23129,11557,12927,25743,9999999,9999999,9999999
2005,1,1,0,4,20306.08325,5356,1055,4327,14764,878,90382,2500,0,0,4502,2026,0,0,8236,3729,18721,67932
2005,4,9,2,2,25955.15655,1078,701,6288,21455,826,84995,0,484,0,2837,0,0,747,17871,22324,43009,19662
2005,4,9,2,3,36422.56289,2040,99,1951,6657,448,46099,1984,331,0,847,0,0,0,5810,0,20638,25461
2005,2,3,0,2,30185.84401,5590,1275,17256,58878,505,51928,5117,0,0,4914,7205,21417,0,25342,6391,0,45537
2005,1,2,0,2,29329.38729,5402,1314,13441,45861,1548,159289,0,999,0,12010,12706,0,0,21145,19667,37889,101733
2005,4,9,2,2,22132.61678,2067,1808,2254,7691,354,36427,0,0,0,2293,0,0,844,4554,5912,15008,15507
2005,4,9,2,2,37566.67395,2148,227,6971,23785,724,74500,0,0,0,2947,621,0,0,20217,18784,31692,24024
2005,3,6,0,2,19827.83893,4597,1143,22210,75781,511,52582,5043,842,7310,13553,8154,14164,0,39910,5424,0,47158
2005,1,2,0,2,28107.32949,5545,1032,18021,61488,1661,170917,0,630,0,12408,12365,0,0,36715,23159,44536,103222
2005,3,7,0,2,29637.10762,3274,2087,11962,40814,502,51704,3545,592,0,2564,17092,0,0,21158,0,25722,25982
2005,4,9,2,2,27042.03359,2592,1495,12024,41024,458,47128,0,527,0,7896,7073,0,0,26055,9434,18175,19519
2005,2,3,0,1,8785.127525,7266,840,12713,43377,1004,103312,5247,0,5999,13844,2386,5603,0,21544,5761,0,97551
2005,2,4,0,2,4997.066542,6298,862,18488,63081,405,41675,7547,690,0,3353,8189,20111,0,31428,0,0,41675
2005,4,8,0,2,4125.232473,4504,988,6030,20574,701,72133,0,0,0,1413,0,0,0,19161,6776,27765,37592
2005,2,4,0,2,28137.35289,6319,949,7558,25788,999999,9999999,2293,383,0,4199,4337,3534,6626,7092,9999999,9999999,9999999
2005,2,3,0,5,25900.23796,5153,1305,3997,13638,999999,9999999,0,0,0,1187,2122,3235,3219,3875,9999999,9999999,9999999
2005,2,3,0,2,28054.60112,7818,671,8591,29314,375,38560,0,694,4748,1772,5179,0,0,22363,11668,0,26892
2005,1,2,0,2,5146.697744,5317,1179,26737,91227,999999,9999999,4083,1195,20739,11086,4857,0,4118,71166,9999999,9999999,9999999
2005,1,2,0,2,30307.03354,5440,944,10518,35887,998,102694,0,606,0,6180,0,0,2144,27563,9070,33409,60215
2005,4,9,2,2,24788.53079,1369,271,6423,21915,499,51347,0,0,0,5274,0,0,0,16641,14040,22987,14320
2005,3,7,3,2,30598.54152,1859,3018,24102,82236,999999,9999999,3134,0,3583,4857,26916,13679,3213,33571,9999999,9999999,9999999
2005,2,3,0,5,26169.00026,7129,511,15017,51238,999999,9999999,4609,770,0,3927,1335,10046,15496,20434,9999999,9999999,9999999
2005,4,9,2,2,24921.09689,1256,1632,9455,32260,698,71824,0,0,0,1277,11094,0,0,19889,18880,31230,21714
2005,4,9,2,2,25955.15655,1706,1416,6141,20953,465,47849,0,0,3220,3872,0,0,0,17081,12611,20351,14887
2005,3,5,0,2,29873.99213,3011,2172,20702,70635,999999,9999999,4804,802,6963,7819,22757,0,0,40059,9999999,9999999,9999999
2005,4,9,2,2,22464.60603,2120,1387,6593,22495,246,25313,0,0,5602,3711,4677,0,0,14107,0,11132,14181
2005,1,1,0,2,12080.64795,5788,900,11846,40419,999999,9999999,2189,641,0,3944,2415,0,0,34060,9999999,9999999,9999999
2005,1,1,0,5,20165.36175,5760,923,3308,11287,65,6689,0,0,0,6438,0,0,0,4849,307,584,5798
2005,1,2,0,3,22659.89595,5658,1139,14408,49160,999999,9999999,0,739,0,7192,17946,0,2633,21389,9999999,9999999,9999999
2005,4,9,2,5,23793.77813,1093,865,11649,39744,999999,9999999,5761,962,0,5267,0,8878,0,25599,9999999,9999999,9999999
2005,1,1,0,2,14540.78106,6202,721,5869,20025,87,8952,3024,505,3457,2765,1174,0,0,16086,1517,7435,0
2005,1,2,1,5,59391.03403,4878,1283,4410,15047,715,73577,0,0,0,3877,3580,0,0,7590,4652,8847,60078
2005,3,6,0,4,18135.31618,4338,1317,8117,27695,999999,9999999,2544,425,0,2490,3204,5544,6043,10414,9999999,9999999,9999999
2005,2,4,0,2,29467.61184,4627,1508,9281,31668,999999,9999999,1256,368,2516,4166,4915,6181,5148,11258,9999999,9999999,9999999
2005,4,8,0,4,3908.186122,5870,560,4383,14955,731,75220,2123,355,0,2079,0,0,5346,7530,14972,60248,0
