Unique identifier for each respondent,Census Region,Census Division,Reportable states and groups of states,Type of housing unit,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009","Electricity usage for refrigerators, in thousand BTU, 2009","Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009","Electricity usage for water heating, in thousand BTU, 2009","Electricity usage for space heating, in thousand BTU, 2009","Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009"
1,2,4,12,2,2471.68,4742,1080,18466,63006,0,0,26362.97,5170.9,10470.73,10128.35,10873.05,0,0,0
2,4,10,26,2,8599.17,2662,199,5148,17565,838,85895,12473.54,4470.48,620.98,0,0,17179.07,30109.97,38605.96
3,1,1,1,5,8969.92,6233,505,2218,7568,499,51148,3814.29,3124.32,629.39,0,0,2966.8,7932.98,40248.23
4,2,3,7,2,18003.64,6034,672,10015,34171,412,42230,18403.93,5699.83,3627.01,6440.22,0,2034.42,0,40195.58
5,1,1,1,3,5999.61,5388,702,2869,9789,488,50020,8606.86,1182.14,0,0,0,0,13883.72,36136.28
6,2,4,10,2,4232.49,8866,270,6387,21792,903,92558,17714.8,3140.52,936.68,0,0,4253.62,14203.93,74100.45
7,1,2,3,2,7862.34,5213,749,11821,40333,1077,110393,29078.58,5476.28,4178.7,0,1599.45,18703.99,23179.57,68509.44
8,3,5,17,2,6297.04,1086,2647,22928,78230,0,0,33665.85,2535.88,20912.58,15447.54,5668.03,0,0,0
9,1,2,5,3,12156.72,4826,1027,9130,31152,210,21525,8743.34,5335.76,1368.73,4766.98,10937.19,2714.85,0,18810.15
10,2,4,12,2,3242.22,4687,1205,7474,25501,426,43665,16873.25,3161.59,3686.72,0,1779.44,0,11372.2,32292.8
11,4,10,26,4,8812.43,830,1405,2750,9383,365,37413,4903.03,4479.97,0,0,0,3588.61,13051.81,20772.58
12,1,2,4,2,15489.57,4732,1034,11807,40285,995,101988,27861.74,7837.94,4585.32,0,0,18668.66,29637.61,53681.73
13,4,10,27,2,7951.52,6,3890,9775,33352,0,0,23549.63,3897.89,0,5904.47,0,0,0,0
14,3,5,15,5,7118.12,2395,2139,6335,21615,0,0,9520.53,1703.99,3036.66,3010.9,4342.91,0,0,0
15,4,8,23,5,14249.9,5789,1122,4031,13754,383,39258,7983.3,3867.61,1903.09,0,0,0,5075.61,34182.39
16,3,5,14,2,37518.83,4801,946,13020,44424,563,57708,24521.43,5593.66,8175.31,6133.6,0,0,0,57708
17,3,5,16,2,15622.34,3423,1604,2079,7094,0,0,4621.13,965.77,1507.1,0,0,0,0,0
