DOEID,Census Region,Census Division,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009","Natural gas usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","Natural gas usage for clothes dryers, in thousand Btu, 2015","Natural gas usage for swimming pool heaters, in thousand Btu, 2015","Natural gas usage for hot tub heaters, in thousand Btu, 2015","Natural gas usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","Electricity usage for space heating, main and secondary, in thousand Btu, 2015","Electricity usage for air conditioning (central systems and individual units), in thousand Btu, 2015","Electricity usage for water heating, main and secondary, in thousand Btu, 2015","Electricity usage for all refrigerators, in thousand Btu, 2015","Electricity usage for freezers, in thousand Btu, 2015","Electricity usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","Electricity usage for microwaves, in thousand Btu, 2015","Electricity usage for clothes washers, in thousand Btu, 2015","Electricity usage for clothes dryers, in thousand Btu, 2015","Electricity usage for dishwashers, in thousand Btu, 2015","Electricity usage for indoor and outdoor lighting, in thousand Btu, 2015","Electricity usage for all televisions and related peripherals, in thousand Btu, 2015","Electricity usage for air handlers and boiler pumps used for heating, in thousand Btu, 2015","Electricity usage for air handlers used for cooling, in thousand Btu, 2015","Electricity usage for evaporative coolers, in thousand Btu, 2015","Electricity usage for ceiling fans, in thousand Btu, 2015","Electricity usage for dehumidifiers, in thousand Btu, 2015","Electricity usage for humidifiers, in thousand Btu, 2015","Electricity usage for swimming pool pumps, in thousand Btu, 2015","Electricity usage for hot tub pumps, in thousand Btu, 2015","Electricity usage for hot tub heaters, in thousand Btu, 2015","Electricity usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015"
10001,4,10,12085.16227,2031,1768,5270.742,17983.771,299.946,30990.8,17535.625,12469.727,985.448,0,0,0,0,0,6795.016,0,1443.108,928.253,0,342.236,85.063,1727.078,631.643,1397.731,893.129,454.143,347.526,0,1189.388,0,0,0,0,0,1749.457
10002,3,7,14410.19627,1915,2795,12173,41534,0,0,0,0,0,0,0,0,0,11570.02,7587.322,7129.985,2568.243,921.81,1006.82,675.033,0,0,0,3785.945,1519.169,0,0,0,1428.57,0,152.503,0,0,0,3188.852
10003,3,6,23325.95385,2263,2235,19655.394,67064.204,294.42,29483.956,18444.442,11039.514,0,0,0,0,0,12460.003,23328.992,0,4998.729,0,4650.068,497.226,89.824,1819.709,764.525,3130.138,6339.003,684.194,900.897,0,3847.765,0,0,0,0,0,3553.13
10004,2,4,12165.33319,3754,1374,9852.535,33616.851,0,0,0,0,0,0,0,0,0,4818.534,12061.243,0,2183.613,1650.001,384.6,0,132.916,1702.112,0,1653.232,1638.915,1704.342,670.313,0,3111.853,0,0,0,0,0,1905.175
10005,1,2,16717.67092,5401,993,3115.655,10630.615,252.37,25951.531,17331.011,5339.841,2265.816,0,0,0,1014.863,0,1135.176,0,1062.732,0,0,194.038,96.856,1002.376,0,2060.978,1224.799,356.691,54.517,0,337.87,532.87,0,0,0,0,2571.711
10006,1,1,26058.89431,7597,408,2777,9475,0,0,0,0,0,0,0,0,0,0,536.377,0,775.428,0,1084.156,105.424,0,0,0,898.912,2309.173,222.49,0,0,0,0,0,0,0,0,3543.161
10007,3,5,45952.75539,1579,2582,2397.758,8181.149,432.74,44480.571,10345.797,13731.855,0,0,0,0,20402.92,0,3189.596,0,1601.216,0,401.253,330.348,53.989,0,0,588.322,901.652,83.981,153.961,0,87.293,0,0,0,0,0,789.539
10008,2,3,15280.98355,6560,673,13890.899,47395.746,824.741,83739.342,17341.172,66398.17,0,0,0,0,0,0,2308.731,0,3523.125,1664.029,1800.581,1868.585,247.227,2520.619,455.701,735.618,2435.429,1588.829,0,0,2152.904,8788.649,0,0,0,0,17305.718
10009,1,2,14034.71499,5301,1083,10422.424,35561.312,0,0,0,0,0,0,0,0,0,0,2746.309,11380.048,4235.489,894.478,787.067,401.328,52.191,1070.033,513.39,3259.791,5291.091,770.955,140.105,0,971.85,0,0,0,0,0,3047.186
10010,3,7,43359.15609,1400,3390,18505.802,63141.798,0,0,0,0,0,0,0,0,0,8769.67,10585.792,10797.754,2559.876,0,1036.644,496.941,807.483,10224.429,1830.152,7984.893,3921.45,129.248,512.373,0,803.66,0,0,0,0,0,2681.434
10011,1,1,12617.29519,6400,771,2469.205,8424.926,0,0,0,0,0,0,0,0,0,0,269.094,1305.911,1464.45,0,571.391,243.434,67.08,447.497,0,787.006,1405.637,128.161,0,0,38.184,0,0,0,0,0,1697.083
10012,2,4,46656.39005,4007,1706,11065.529,37755.586,78.531,7710.993,6349.272,0,945.827,415.894,0,0,0,29854.88,0,0,1843.812,0,0,135.399,54.513,0,0,1914.914,671.12,405.59,0,0,105.995,0,0,0,0,0,2769.363
10013,3,6,19773.98254,1327,2935,14766.758,50384.179,7.634,777.916,0,777.916,0,0,0,0,0,13041.975,10480.076,4539.776,6096.702,0,1900.735,854.548,253.386,2837.993,229.03,3468.741,2041.095,234.503,559.442,0,207.358,0,0,0,0,0,3638.82
10014,2,3,13323.80513,6449,674,6750.579,23032.974,118.88,11867.343,11867.343,0,0,0,0,0,0,14957.604,856.899,0,1779.754,0,701.008,131.705,0,0,0,509.643,1123.165,0,0,0,0,0,301.212,0,0,0,2671.985
10015,4,8,8939.448526,5274,1053,16585.761,56590.618,1119.81,95332.724,35184.304,59167.96,980.459,0,0,0,0,7085.453,5561.327,0,3747.175,1793.094,1129.967,356.855,93.356,1888.255,787.932,10332.656,4067.586,2309.732,330.989,0,1494.611,0,0,0,0,0,15611.629
10016,3,7,52454.76377,1013,3705,20554.014,70130.297,0,0,0,0,0,0,0,0,0,6735.761,8346.723,26798.316,1873.67,0,1188.484,708.872,489.676,6181.64,1201,9801.11,2725.07,114.92,420.081,0,1182.781,0,0,0,0,0,2362.193
10017,3,5,29285.59493,2446,2019,11924,40685,0,0,0,0,0,0,0,0,0,0,4403.312,14369.812,2040.055,1029.806,0,435.184,249.796,3174.02,0,2197.85,6905.438,198.449,153.868,0,2637.493,0,0,0,0,0,2889.609
10018,1,2,43752.28522,6647,609,2297.369,7838.623,457.779,48668.277,27349.164,19026.258,2292.855,0,0,0,0,0,0,0,3547.506,0,0,146.453,75.356,784.983,86.741,445.642,887.039,223.603,0,0,115.389,0,0,0,0,0,1525.913
10019,4,10,12939.02491,3927,521,4732.068,16145.815,548.313,55546.73,19508.491,28805.848,7232.391,0,0,0,0,248.534,869.949,0,4577.054,863.401,1544.406,93.307,85.965,1754.607,605.519,1730.438,1030.182,197.999,44.203,0,0,0,0,0,0,0,2500.249
10020,3,5,25702.10247,4001,1742,8973.455,30617.427,0,0,0,0,0,0,0,0,0,0,6552.888,0,2591.585,994.024,1074.968,237.694,165.122,1690.857,0,11756.009,1917.531,0,0,0,108.12,0,472.74,0,0,0,3055.888
10021,4,10,25946.70986,2034,420,3677.314,12546.996,557.226,57325.953,15962.538,38032.785,3330.629,0,0,0,0,307.905,0,0,2003.025,0,0,489.25,101.874,1052.56,217.056,1985.118,2778.68,0,0,0,1126.422,0,0,0,0,0,2485.107
10022,3,5,28387.66056,4089,1548,16276.03,55533.815,809.909,85883.647,30833.748,52742.255,2307.644,0,0,0,0,0,7425.076,0,1707.111,1115.283,0,675.578,142.195,3017.249,0,4135.819,3360.396,941.185,0,0,354.703,0,0,0,0,0,32659.221
