"","State","Year","Measurement","Energy Type","Value"
"1","Alabama","1990","DD at lowest NG consumption","Natural Gas","65"
"2","Alabama","1990","Lowest NG consumption","Natural Gas","583.415502718454"
"3","Alabama","1990","Curvature","Natural Gas","-0.000618806915247077"
"4","Alabama","1990","NG consumption at lowest DD","Natural Gas","4380.78408388132"
"5","Alabama","1990","DDmin","Natural Gas","-1561"
"6","Alabama","1990","NG consumption at highest DD","Natural Gas","583.415502718454"
"7","Alabama","1990","DDmax","Natural Gas","65"
"8","Alabama","1991","DD at lowest NG consumption","Natural Gas","93"
"9","Alabama","1991","Lowest NG consumption","Natural Gas","646.953767592037"
"10","Alabama","1991","Curvature","Natural Gas","0.00200734460255428"
"11","Alabama","1991","NG consumption at lowest DD","Natural Gas","5071.75209618149"
"12","Alabama","1991","DDmin","Natural Gas","-1449"
"13","Alabama","1991","NG consumption at highest DD","Natural Gas","646.953767592038"
"14","Alabama","1991","DDmax","Natural Gas","93"
"15","Alabama","1992","DD at lowest NG consumption","Natural Gas","-32"
"16","Alabama","1992","Lowest NG consumption","Natural Gas","655.612347324628"
"17","Alabama","1992","Curvature","Natural Gas","0.000416190120030133"
"18","Alabama","1992","NG consumption at lowest DD","Natural Gas","4460.98425864872"
"19","Alabama","1992","DDmin","Natural Gas","-1481"
"20","Alabama","1992","NG consumption at highest DD","Natural Gas","655.612347324628"
"21","Alabama","1992","DDmax","Natural Gas","-32"
"22","Alabama","1993","DD at lowest NG consumption","Natural Gas","-60"
"23","Alabama","1993","Lowest NG consumption","Natural Gas","735.124603363253"
"24","Alabama","1993","Curvature","Natural Gas","0.00117411307375856"
"25","Alabama","1993","NG consumption at lowest DD","Natural Gas","4825.14904221784"
"26","Alabama","1993","DDmin","Natural Gas","-1501"
"27","Alabama","1993","NG consumption at highest DD","Natural Gas","735.124603363253"
"28","Alabama","1993","DDmax","Natural Gas","-60"
"29","Alabama","1994","DD at lowest NG consumption","Natural Gas","103"
"30","Alabama","1994","Lowest NG consumption","Natural Gas","597.726871971827"
"31","Alabama","1994","Curvature","Natural Gas","0.00210341707141688"
"32","Alabama","1994","NG consumption at lowest DD","Natural Gas","4072.53701147199"
"33","Alabama","1994","DDmin","Natural Gas","-1224"
"34","Alabama","1994","NG consumption at highest DD","Natural Gas","597.726871971827"
"35","Alabama","1994","DDmax","Natural Gas","103"
"36","Alabama","1995","DD at lowest NG consumption","Natural Gas","111"
"37","Alabama","1995","Lowest NG consumption","Natural Gas","712.724461382874"
"38","Alabama","1995","Curvature","Natural Gas","0.00276212445446385"
"39","Alabama","1995","NG consumption at lowest DD","Natural Gas","4442.96411358276"
"40","Alabama","1995","DDmin","Natural Gas","-1283"
"41","Alabama","1995","NG consumption at highest DD","Natural Gas","712.724461382874"
"42","Alabama","1995","DDmax","Natural Gas","111"
"43","Alabama","1996","DD at lowest NG consumption","Natural Gas","101"
"44","Alabama","1996","Lowest NG consumption","Natural Gas","494.541217442619"
"45","Alabama","1996","Curvature","Natural Gas","0.000226570299089825"
"46","Alabama","1996","NG consumption at lowest DD","Natural Gas","4710.11681728719"
"47","Alabama","1996","DDmin","Natural Gas","-1427"
"48","Alabama","1996","NG consumption at highest DD","Natural Gas","494.541217442618"
"49","Alabama","1996","DDmax","Natural Gas","101"
"50","Alabama","1997","DD at lowest NG consumption","Natural Gas","52"
