"","state","energy type","curvature","DD at lowest energy use","DDmax","DDmin","energy use at highest DD","energy use at lowest DD","lowest energy use"
"1","Alabama","NG","0.190807258547503","0.0181682822320457","0.0239340189612785","0.280331611410274","0.000215917787794631","0.0574935216709297","0.00021591778779463"
"2","Arizona","NG","0.800517433842931","0.164073424180398","0.290587112018686","0.97545759272818","3.5170998298418e-06","0.00139896249094544","2.17528477537872e-08"
"3","Arkansas","NG","0.864648675383709","0.00275733618052289","0.182014390649354","0.587020053979701","0.00255056744789756","3.52775985236535e-05","8.22330647957768e-07"
"4","California","NG","0.40884022357427","0.00700600232263778","0.532612837027531","0.670226634319432","2.86564949025867e-07","0.000123629139740796","2.78561551160729e-12"
"5","Colorado","NG","0.664382147662333","0.13319265464677","0.0233933634452322","0.112187170366015","5.64318077631238e-08","2.2015588046157e-06","2.50948833123101e-13"
"6","Connecticut","NG","0.00139772145219339","0.0241987365653017","0.0276282774920806","0.0766668869768897","2.26556343618759e-11","0.469383851633977","1.9051958722631e-11"
"7","Delaware","NG","0.101225618536978","0.250360812262577","0.0808397067170767","0.969640033379812","0.109797223860435","0.00713276544109572","0.0733827090251658"
"8","Florida","NG","0.0032138702614869","0.102148689866796","0.743785669897309","0.354414298855328","0.00396892334114462","0.0322735374936293","9.17568970075474e-05"
"9","Georgia","NG","0.0111927463831212","0.0810318318285698","0.941535671500837","0.299449114716129","2.33300204808395e-07","0.0222678607220245","2.10913227199369e-06"
"10","Idaho","NG","0.00573603536632129","0.0110879608306902","0.535508312722377","0.70533546922423","0.00454347670269387","0.0370082946533728","0.000120008584472917"
"11","Illinois","NG","3.78053396407438e-09","0.307504921035921","0.110709907219589","0.551757986401257","1.46539928545329e-05","5.32464280694657e-10","1.76102502841796e-05"
"12","Indiana","NG","0.744053159921076","0.902905451361754","0.672688608427136","0.866065118911618","1.23171103511733e-07","0.00426378348835021","1.13928491426385e-07"
"13","Iowa","NG","0.526642473212904","0.903912956064391","0.724400952306177","0.602317660499593","2.30824981746413e-06","0.016159294542522","9.29837449390628e-07"
"14","Kansas","NG","0.07001502262613","0.572853459013146","0.431215851878889","0.550089019510579","6.62458212322313e-05","0.00307917355141764","6.55995718895797e-05"
"15","Kentucky","NG","0.0705903376884997","0.0355164622455216","0.497335945384584","0.299292061158522","0.000492038052730028","0.000222724335768065","2.92151049304225e-06"
"16","Louisiana","NG","0.0148828411772474","0.516921876236506","0.957333508133171","0.363923210088815","9.00805176575518e-07","0.00278309151171718","1.49077548557911e-08"
"17","Maine","NG","0.256307421017501","0.0493437270966707","0.7309832680814","0.768220125206881","8.56626163363295e-06","0.000541775963086861","3.0951341090545e-08"
"18","Maryland","NG","1.59015177180133e-08","0.62802637292965","0.62802637292965","0.379437589780758","0.00051563716168778","5.14217796779273e-08","0.000515637161687784"
"19","Massachusetts","NG","0.0109008325994235","0.0240741767602769","0.910505551849351","0.414127904377482","1.05360908518785e-07","0.181686888971252","1.62187524743623e-10"
"20","Michigan","NG","0.0623536774600623","0.360006248608667","0.182840381556118","0.860211684365473","0.100967604329903","0.0664248943897211","0.0879391042180463"
"21","Minnesota","NG","0.50280219498247","0.499318531159885","0.494162536482541","0.579201567188843","7.92479590470264e-08","0.268324412831915","7.92479590470335e-08"
