"SAGDP9S Real GDP by state 1/"
"Real GDP by state: All industry total (Millions of chained 1997 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1990","1991","1992","1993","1994","1995","1996","1997"
"00000","United States",6638210.2,6627809.0,6828525.2,6967715.7,7288326.6,7539096.2,7871720.5,8284431.7
"01000","Alabama",83766.4,86115.5,89813.9,91167.6,94803.1,98023.9,101379.3,104805.2
"02000","Alaska",28772.4,25821.4,26150.7,26047.8,26187.9,27608.5,27271.2,27581.3
"04000","Arizona",81606.3,81945.8,90282.0,94916.4,104104.4,112019.5,120868.5,129279.1
"05000","Arkansas",44496.2,46497.8,49260.3,50756.0,53640.5,55836.1,58346.3,60332.9
"06000","California",906102.9,893112.2,891630.9,888069.6,904778.2,940599.3,978299.5,1037091.2
"08000","Colorado",88932.5,90780.1,97058.4,103456.6,110528.9,116820.7,123144.2,133203.8
"09000","Connecticut",121175.6,118215.9,119831.9,118314.6,121001.5,128538.1,131912.8,140279.6
"10000","Delaware",25887.4,26929.5,27177.7,26946.0,28749.8,29941.3,30503.0,31450.2
"11000","District of Columbia",51174.6,50240.5,50597.6,51310.1,51289.9,49888.7,49232.1,49701.8
"12000","Florida",304324.4,305979.1,317416.4,329410.2,345550.3,358418.8,376851.4,393074.5
"13000","Georgia",165062.2,167209.2,176730.9,184788.5,198125.0,209291.7,223306.9,235200.1
"15000","Hawaii",39175.9,39755.7,40834.4,40152.4,40061.8,39552.1,39132.4,39064.1
"16000","Idaho",20161.3,20592.5,22021.9,23939.6,25845.3,27995.5,28927.3,30311.7
"17000","Illinois",324011.9,323640.5,336296.0,343469.6,364916.1,374858.3,389704.0,408047.8
"18000","Indiana",128196.9,128214.7,136438.5,140644.9,149157.2,153785.3,160020.4,167366.3
"19000","Iowa",63460.1,63818.2,66861.6,66912.9,72502.9,74568.3,78834.1,83113.2
"20000","Kansas",60671.6,61275.1,63062.0,63516.2,66731.5,67530.9,70361.2,74146.8
"21000","Kentucky",78206.3,78908.3,83287.8,85809.8,91062.9,94258.6,97781.4,103621.2
