State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,4048508.00,553120.00,3679056.00,2354343.00,29950111.00,3303862.00,3289056.00,669063.00,603814.00,13018365.00,6506531.00,1112703.00,1011882.00,11446979.00,5555097.00,2779769.00,2480683.00,3692584.00,4219179.00,1231296.00,4797431.00,6018664.00,9310462.00,4387283.00,2577426.00,5126370.00,799824.00,1580664.00,1218629.00,1111831.00,7757158.00,1519933.00,18002855.00,6656987.00,637364.00,10861837.00,3147105.00,2858547.00,11895604.00,1004649.00,3499064.00,696667.00,4890626.00,17044714.00,1729722.00,564526.00,6213526.00,4900780.00,1792481.00,4902265.00,453401.00
1991,4091025.00,569273.00,3762394.00,2370666.00,30414114.00,3367567.00,3288640.00,680495.00,593239.00,13289497.00,6621279.00,1131412.00,1038915.00,11535973.00,5602062.00,2791227.00,2495209.00,3714686.00,4240950.00,1235439.00,4856176.00,5998652.00,9395022.00,4427429.00,2591230.00,5157770.00,807837.00,1590805.00,1285046.00,1107055.00,7784269.00,1547115.00,18029532.00,6748135.00,634199.00,10933683.00,3166471.00,2918745.00,11943160.00,1003990.00,3559470.00,701445.00,4946886.00,17339904.00,1771941.00,567141.00,6283853.00,5013443.00,1798212.00,4952675.00,457739.00
1992,4139269.00,587073.00,3867333.00,2394098.00,30875920.00,3459995.00,3274997.00,690158.00,584183.00,13504775.00,6759474.00,1149926.00,1066490.00,11635197.00,5648649.00,2806923.00,2526042.00,3756358.00,4270849.00,1235748.00,4902545.00,5993474.00,9470323.00,4471503.00,2610193.00,5193686.00,822436.00,1602406.00,1330694.00,1112766.00,7827770.00,1580750.00,18082032.00,6831850.00,635427.00,11007609.00,3204174.00,2973934.00,11980819.00,1000571.00,3600576.00,708698.00,5013999.00,17650479.00,1821498.00,570115.00,6383315.00,5139011.00,1805462.00,5004636.00,463491.00
1993,4193114.00,596993.00,3993390.00,2423743.00,31147208.00,3560884.00,3272325.00,699475.00,576358.00,13713593.00,6894092.00,1161508.00,1101204.00,11725984.00,5701965.00,2820525.00,2547605.00,3792288.00,4284749.00,1238256.00,4942504.00,6010884.00,9529240.00,4521709.00,2635574.00,5237757.00,839876.00,1612149.00,1380197.00,1122191.00,7874891.00,1614937.00,18140894.00,6947412.00,637229.00,11070385.00,3228829.00,3034490.00,12022128.00,997852.00,3634507.00,716258.00,5085666.00,17996764.00,1875993.00,574004.00,6464795.00,5247704.00,1816179.00,5055318.00,469033.00
1994,4232965.00,600624.00,4147561.00,2450605.00,31317179.00,3653910.00,3268346.00,708416.00,564982.00,13961798.00,7045900.00,1173903.00,1135459.00,11804986.00,5745626.00,2829422.00,2569118.00,3823215.00,4306500.00,1237687.00,4985411.00,6031352.00,9584481.00,4566028.00,2663450.00,5281206.00,854923.00,1621551.00,1456388.00,1133054.00,7918796.00,1653329.00,18156652.00,7060959.00,639762.00,11111451.00,3246119.00,3087142.00,12042545.00,993412.00,3666456.00,723038.00,5163016.00,18338319.00,1930436.00,578900.00,6536771.00,5334896.00,1818490.00,5095504.00,474982.00
1995,4262731.00,601345.00,4306908.00,2480121.00,31493525.00,3738061.00,3265293.00,718265.00,551273.00,14185403.00,7188538.00,1180490.00,1165000.00,11884935.00,5791819.00,2840860.00,2586942.00,3855248.00,4327978.00,1237438.00,5023650.00,6062335.00,9659871.00,4605445.00,2690788.00,5324610.00,868522.00,1635142.00,1525777.00,1145604.00,7965523.00,1682417.00,18150928.00,7185403.00,641548.00,11155493.00,3265547.00,3141421.00,12044780.00,989203.00,3699943.00,728251.00,5241168.00,18679706.00,1976774.00,582827.00,6601392.00,5431024.00,1820560.00,5137004.00,478447.00
1996,4290403.00,604918.00,4432308.00,2504858.00,31780829.00,3812716.00,3267030.00,727090.00,538273.00,14426911.00,7332225.00,1184434.00,1187706.00,11953003.00,5834908.00,2848473.00,2598266.00,3881051.00,4338763.00,1241436.00,5057142.00,6085393.00,9739184.00,4647723.00,2709925.00,5367888.00,876656.00,1647657.00,1596476.00,1160768.00,8009624.00,1706151.00,18143805.00,7307658.00,642858.00,11187032.00,3289634.00,3195087.00,12038008.00,987858.00,3738974.00,730699.00,5313576.00,19006240.00,2022253.00,586352.00,6665491.00,5509963.00,1818983.00,5173828.00,480085.00
1997,4320281.00,608846.00,4552207.00,2524007.00,32217708.00,3891293.00,3268514.00,735024.00,528752.00,14683350.00,7486094.00,1189322.00,1210638.00,12011509.00,5872370.00,2854396.00,2616339.00,3907816.00,4351390.00,1245215.00,5092914.00,6115476.00,9785450.00,4687726.00,2731826.00,5407113.00,878706.00,1656042.00,1675581.00,1173239.00,8054178.00,1722939.00,18143184.00,7428672.00,640945.00,11212498.00,3314259.00,3243254.00,12015888.00,986966.00,3790066.00,730855.00,5378433.00,19355427.00,2065397.00,588665.00,6732878.00,5604105.00,1815588.00,5200235.00,480031.00
1998,4351037.00,615205.00,4667277.00,2538202.00,32682794.00,3968967.00,3272563.00,744066.00,521426.00,14908230.00,7636522.00,1190472.00,1230923.00,12069774.00,5907617.00,2861025.00,2638667.00,3934310.00,4362758.00,1247554.00,5130072.00,6144407.00,9820231.00,4726411.00,2751335.00,5437562.00,879533.00,1660772.00,1743772.00,1185823.00,8095542.00,1733535.00,18159175.00,7545828.00,637808.00,11237752.00,3339478.00,3282055.00,12002329.00,987704.00,3839578.00,730789.00,5432679.00,19712389.00,2100562.00,590579.00,6789225.00,5687832.00,1811688.00,5222124.00,480045.00
1999,4369862.00,619500.00,4778332.00,2551373.00,33145121.00,4056133.00,3282031.00,753538.00,519000.00,15111244.00,7788240.00,1185497.00,1251700.00,12128370.00,5942901.00,2869413.00,2654052.00,3960825.00,4372035.00,1253040.00,5171634.00,6175169.00,9863775.00,4775508.00,2768619.00,5468338.00,882779.00,1666028.00,1809253.00,1201134.00,8143412.00,1739844.00,18196601.00,7650789.00,633666.00,11256654.00,3358044.00,3316154.00,11994016.00,990819.00,3885736.00,733133.00,5483535.00,20044141.00,2129836.00,593740.00,6872912.00,5756361.00,1806928.00,5250446.00,479602.00
