"","state","energy type","curvature","DD at lowest energy use","DDmax","DDmin","energy use at highest DD","energy use at lowest DD","lowest energy use"
"1","Alabama","electricity","0.158044668549088","7.17049991476052e-05","0.290587112018686","0.97545759272818","0.0191338147634376","0.000203335090097305","2.44012946350564e-07"
"2","Arizona","electricity","0.000300956150006295","7.82912114371409e-05","0.182014390649354","0.587020053979701","3.33854981834606e-09","0.867821705476663","0.028650100993848"
"3","Arkansas","electricity","6.21080841055714e-06","5.05584113301599e-06","0.532612837027531","0.670226634319432","0.0007866471295859","1.26991196151064e-07","3.79474970365143e-10"
"4","California","electricity","0.000138530912723864","0.0395404471333824","0.0233933634452322","0.112187170366015","5.14754300820525e-06","0.726721694443585","0.846178338352905"
"5","Colorado","electricity","2.7419769295532e-10","1.48913241228563e-07","0.0276282774920806","0.0766668869768897","5.51352518457924e-09","0.036920680393243","2.73714540625455e-05"
"6","Connecticut","electricity","0.0163723442537064","2.01773285922725e-06","0.0808397067170767","0.969640033379812","2.24888212354959e-05","0.251288535223773","0.0195531051938448"
"7","Delaware","electricity","0.00152231108184996","0.00662129431357042","0.743785669897309","0.354414298855328","1.2504356464954e-05","0.000135950289993031","0.00686817354265189"
"8","Florida","electricity","0.598776981776979","0.172615866735649","0.941535671500837","0.299449114716129","0.0420988814569534","0.582120311285222","0.536610928510189"
"9","Georgia","electricity","0.309248274002732","0.000747132658734881","0.535508312722377","0.70533546922423","0.109229066349235","0.000513023352486083","7.81947517255346e-08"
"10","Idaho","electricity","0.594167451857169","0.225948902398821","0.110709907219589","0.551757986401257","0.0379465606233518","0.0970496908786525","5.04857799068084e-09"
"11","Illinois","electricity","0.0159751190814357","0.000123731891249656","0.672688608427136","0.866065118911618","2.24926117431859e-13","2.2898629210427e-05","4.82340482649913e-12"
"12","Indiana","electricity","0.148223857326823","0.00924351880871571","0.724400952306177","0.602317660499593","0.0143607391029794","0.0257501022163123","0.00298710950703532"
"13","Iowa","electricity","0.000292298203676569","0.775036953154042","0.431215851878889","0.550089019510579","0.00106842289562304","0.000237348576861058","2.81410338509014e-05"
"14","Kansas","electricity","6.11780651232017e-05","0.000188507583074829","0.497335945384584","0.299292061158522","0.00634836986177863","1.28903848418138e-05","2.68134286689963e-05"
"15","Kentucky","electricity","0.699507279969866","0.119261822882684","0.957333508133171","0.363923210088815","0.0323888374460468","0.000814881263773718","1.9760044999647e-06"
"16","Louisiana","electricity","0.00176437455800881","0.000969401876702742","0.7309832680814","0.768220125206881","3.09945965727264e-05","4.8209369363661e-08","1.08911615304674e-11"
"17","Maine","electricity","2.16925200346144e-07","2.99174149813586e-08","0.62802637292965","0.379437589780758","5.67417172701743e-11","0.000125191246242951","2.63446498955024e-06"
"18","Maryland","electricity","0.0336075321717576","0.0164799952445146","0.910505551849351","0.414127904377482","0.00462261513726741","0.0178264959760036","0.213958895004206"
"19","Massachusetts","electricity","0.00186995295402394","0.00533808664779611","0.182840381556118","0.860211684365473","2.12433746482344e-08","0.108485138856442","1.81482835882307e-05"
"20","Michigan","electricity","0.0084349144116984","0.148249948919504","0.494162536482541","0.579201567188843","0.000429786662121662","2.05809077558027e-08","1.44568787622238e-07"
"21","Minnesota","electricity","0.00728013708900728","0.714389165027638","0.143839369037268","0.530019988064028","0.00934327307525308","4.20532209165346e-06","1.76856650592349e-05"
"22","Mississippi","electricity","0.0373265142577676","0.0011015546944439","0.179952808723249","0.984915907916954","0.000797401255148905","8.17557445237125e-07","2.81245310663222e-08"
"23","Missouri","electricity","0.00207687597997863","6.54696341968591e-06","0.435509990787106","0.573562470174743","0.0063664548947318","2.88891624060464e-05","2.59731277946676e-06"
"24","Montana","electricity","5.70651319737618e-05","0.00178297746864426","0.0617328713528871","0.182165377451567","1.90886088843012e-07","0.00137031650310262","1.30424304016444e-12"
"25","Nebraska","electricity","1.61464349140444e-07","0.645850746353177","0.339410712060658","0.108650155948584","2.70989114536424e-08","1.88940098966208e-05","8.10642056082965e-07"
"26","Nevada","electricity","0.105899470884329","0.30406845642414","0.0537595227708954","0.0179667148305289","1.18221068988468e-06","0.000275082048329552","1.34426373447786e-08"
"27","New Hampshire","electricity","0.0179453115080195","4.71909610014483e-05","0.00423158329244509","0.648061885472319","0.011073985729872","3.89862350414731e-07","2.30227766878638e-05"
"28","New Jersey","electricity","0.00775665764509964","3.66613302434662e-07","0.238059640901755","0.468297406480001","1.75235521273778e-08","0.000548334188402749","2.00362712042599e-07"
