,state,energy type,curvature,DD at lowest energy use,DDmax,DDmin,energy use at highest DD,energy use at lowest DD,lowest energy use,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,electricity,2.34E-05,3.139846743,1.257525999,0.081280788,13.53316019,27.67158249,15.67712166,,,,,,,,,,,,,,,,,,,,,,,,
2,Arizona,electricity,4.60E-05,-6.018883415,-1.512862616,-1.421182266,30.2125996,0.28945129,2.624032877,,,,,,,,,,,,,,,,,,,,,,,,
3,Arkansas,electricity,4.46E-05,4.58045977,0.991789819,0.921182266,18.56365505,29.76056073,15.03092889,,,,,,,,,,,,,,,,,,,,,,,,
4,California,electricity,3.55E-05,-1.019157088,2.307881773,2.03256705,7.058297983,0.270553603,0.107830046,,,,,,,,,,,,,,,,,,,,,,,,
5,Colorado,electricity,4.07E-05,-18.31143952,3.089490969,3.3727422,20.68445476,2.853076366,3.870584606,,,,,,,,,,,,,,,,,,,,,,,,
6,Connecticut,electricity,2.17E-05,-5.368363437,2.433223864,0.12014231,13.94110757,2.675670984,2.710535333,,,,,,,,,,,,,,,,,,,,,,,,
7,Delaware,electricity,4.81E-05,-2.120689655,0.402846196,-2.676245211,20.40307344,17.67175312,5.410412325,,,,,,,,,,,,,,,,,,,,,,,,
8,Florida,electricity,-2.21E-05,-1.934044882,-0.035851122,-3.016967707,6.257259974,2.855151842,1.303281844,,,,,,,,,,,,,,,,,,,,,,,,
9,Georgia,electricity,1.20E-05,2.383962781,0.701696771,-0.98166393,7.984325594,20.20282159,11.04177044,,,,,,,,,,,,,,,,,,,,,,,,
10,Idaho,electricity,1.80E-05,2.75561029,2.785714286,1.581828134,-21.83024906,-10.18745547,-21.66291138,,,,,,,,,,,,,,,,,,,,,,,,
11,Illinois,electricity,3.91E-06,-14.34126984,0.793103448,-0.5651341,3.158351309,2.07362883,2.126853659,,,,,,,,,,,,,,,,,,,,,,,,
12,Indiana,electricity,3.31E-05,-2.864258347,0.609195402,-1.734811166,22.54649281,11.20001866,6.057346464,,,,,,,,,,,,,,,,,,,,,,,,
13,Iowa,electricity,6.69E-05,-0.277504105,1.493431856,2.141215107,41.0177657,38.96974016,17.4446673,,,,,,,,,,,,,,,,,,,,,,,,
