"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0283346641620893,1847.43411149177,2916.91442848653,497,0,-497
"2","1990-02",0.028330519768331,1185.77905594521,1738.10702081315,320,5,-315
"3","1990-03",0.0283293310629974,1253.53760964608,1405.85298900495,259,12,-247
"4","1990-04",0.0283240897349636,1149.21820607658,1107.74540677843,176,35,-141
"5","1990-05",0.0283260853249967,1249.73517820307,709.939674431605,35,144,109
"6","1990-06",0.0283307559281039,1653.72819992526,433.858432785118,0,371,371
"7","1990-07",0.0283398242764252,2110.90448982894,376.420270400587,0,439,439
"8","1990-08",0.0283521830453093,2072.04188055109,355.568189921665,0,490,490
"9","1990-09",0.0283685955863247,2016.31667305112,361.10171632309,17,346,329
"10","1990-10",0.0283898516867521,1358.50063462123,406.793667756729,143,92,-51
"11","1990-11",0.028420587640666,1143.66354794316,893.239551688669,272,6,-266
"12","1990-12",0.028456386795193,1381.62030857684,1422.48540959904,479,4,-475
"13","1991-01",0.0284981780289876,1672.93602168581,1937.41852451019,629,0,-629
"14","1991-02",0.0285439990565945,1421.00873837035,2208.42430244633,446,0,-446
"15","1991-03",0.0285975913772487,1308.14596276743,1781.86547686448,302,23,-279
"16","1991-04",0.0286544889432538,1177.17666475136,1030.18098133492,61,66,5
"17","1991-05",0.0287134760028574,1278.62053594281,544.562500577263,9,250,241
"18","1991-06",0.0287742788638553,1749.34558602121,418.159507232182,0,347,347
"19","1991-07",0.0288490165690055,2070.12950123176,378.437137811419,0,478,478
"20","1991-08",0.0289280920482704,2253.16836226577,360.647923777365,0,434,434
"21","1991-09",0.0290129187587445,1805.51985702839,365.799610425454,17,294,277
"22","1991-10",0.0291052944048518,1264.68060785618,471.718660969647,106,77,-29
"23","1991-11",0.0292064374710579,1234.07468749981,1021.41844427392,468,5,-463
"24","1991-12",0.0293171924159773,1501.40682825121,1679.79483715233,506,8,-498
"25","1992-01",0.02943451579951,1764.9561022046,2303.26711499129,678,0,-678
"26","1992-02",0.0295391356837562,1452.9258166814,2429.91671637696,438,0,-438
"27","1992-03",0.0296286765770565,1272.83764406796,1468.41951980124,349,3,-346
"28","1992-04",0.0297016659184858,1282.09502083909,1311.76021953882,172,47,-125
"29","1992-05",0.029760796238987,1268.61899746272,709.590487237186,47,117,70
"30","1992-06",0.0298052989376421,1594.45562340416,462.796647459716,1,277,276
"31","1992-07",0.0298362005798491,2160.46694607956,371.234546286685,0,442,442
"32","1992-08",0.0298509648874964,1926.7531007358,341.597075491454,0,319,319
"33","1992-09",0.0298538278184996,1650.93459602387,357.323803633778,5,241,236
"34","1992-10",0.0298437802124324,1206.91042569562,449.171038989621,130,8,-122
"35","1992-11",0.0298224639916817,1180.36628280821,883.280810914187,408,6,-402
"36","1992-12",0.0297896499199545,1621.79684197765,1883.09981934953,601,0,-601
"37","1993-01",0.0297433346623383,1603.58328528449,2100.85607778554,551,0,-551
"38","1993-02",0.0297124152580669,1402.05678896071,2119.10439502966,576,0,-576
"39","1993-03",0.029694948205296,1504.8823753296,2253.22472496838,453,2,-451
"40","1993-04",0.0296884472148804,1200.22034942597,1463.74997595362,216,7,-209
"41","1993-05",0.0296945323080693,1230.4276832664,734.74225361619,29,123,94
"42","1993-06",0.0297122635205847,1838.09404529687,422.918394934149,1,360,359
"43","1993-07",0.0297422171538902,2419.76368757582,368.163687880766,0,530,530
"44","1993-08",0.0297835030864468,2282.38854822916,341.547734574019,0,462,462
"45","1993-09",0.0298384800870637,1833.3497094191,341.727402502835,13,261,248
"46","1993-10",0.0299065822616908,1267.75791842357,391.72030560408,150,52,-98
"47","1993-11",0.0299901960919222,1238.28869495277,988.251361062807,429,13,-416
"48","1993-12",0.0300876495357492,1604.17976908095,1724.11414350442,650,0,-650
"49","1994-01",0.0301980358478419,2054.20841392931,2744.02949764872,799,0,-799
"50","1994-02",0.0303073426749619,1529.4021641553,2726.82288095772,462,2,-460
"51","1994-03",0.0304102855302785,1408.26703359183,1774.01987086144,330,6,-324
"52","1994-04",0.0305046434765223,1344.63076797679,1164.83835264983,110,81,-29
"53","1994-05",0.0305974250704993,1361.46760982101,564.03719750187,34,112,78
"54","1994-06",0.0306835113689283,1857.18694833851,393.631197879424,0,378,378
"55","1994-07",0.0307645120869653,2102.22212488927,347.181789873779,0,382,382
"56","1994-08",0.0308405465123457,2092.5917372083,337.24933556549,0,374,374
"57","1994-09",0.0309117754592621,2065.68150664922,337.520751135261,10,210,200
"58","1994-10",0.0309794957807688,1248.81598948973,380.5730783693,100,46,-54
"59","1994-11",0.0310450922993398,1136.48858708499,661.994644587645,245,5,-240
"60","1994-12",0.0311074466729399,1496.09938457254,1280.06723960274,500,0,-500
"61","1995-01",0.031166038550009,1839.04895581557,2119.18287971186,645,0,-645
"62","1995-02",0.0312271909905011,1525.66289183718,2337.19383828821,539,1,-538
"63","1995-03",0.0312901115703364,1366.49865056874,1926.29342620255,264,15,-249
"64","1995-04",0.0313516028570279,1138.35914963203,936.983755772595,127,51,-76
"65","1995-05",0.031416111103298,1493.5655891042,559.572626655462,29,219,190
"66","1995-06",0.0314798311207896,1949.50432620175,396.746511595928,2,294,292
"67","1995-07",0.0315438787648564,2355.21572542461,354.950318694134,0,483,483
"68","1995-08",0.0316094076799908,2653.21825396304,328.903186436092,0,522,522
"69","1995-09",0.0316748176562701,1995.65402945254,323.620416293618,14,252,238
"70","1995-10",0.0317421057705724,1230.22299688973,389.906642711936,134,59,-75
"71","1995-11",0.0318147568179532,1218.37412165063,986.112493617324,505,2,-503
"72","1995-12",0.031891602023091,1767.5648273114,1910.43400296178,676,2,-674
"73","1996-01",0.03197173224952,2246.03209701417,2750.4731872817,719,0,-719
"74","1996-02",0.03205149963267,1827.66532327596,2832.37311608488,587,6,-581
"75","1996-03",0.0321294729408312,1492.81668884636,2031.09057438686,492,4,-488
"76","1996-04",0.0322050199174381,1376.63278126235,1593.80476089534,210,26,-184
"77","1996-05",0.0322808300999599,1573.07604508461,742.939863803143,23,244,221
"78","1996-06",0.032354660027025,2102.85199880565,370.755555572424,0,339,339
"79","1996-07",0.0324278863680702,2577.31075095952,325.985822989264,0,438,438
"80","1996-08",0.0324986647222934,2241.31391631276,308.66926406367,0,397,397
"81","1996-09",0.0325692741044537,1881.12967636209,332.10306775193,8,211,203
"82","1996-10",0.0326408200004921,1220.84957954116,413.809995079913,131,44,-87
"83","1996-11",0.0327123892316978,1246.58269023946,869.060700601302,410,6,-404
"84","1996-12",0.0327881933248483,1725.08674770401,1672.56968021438,537,2,-535
"85","1997-01",0.0328649711464162,1997.75976329146,2338.70328445868,651,1,-650
"86","1997-02",0.0329416969676762,1576.61088257433,2289.32077100884,439,2,-437
"87","1997-03",0.033016347193053,1327.90244115435,1339.49563226657,195,25,-170
"88","1997-04",0.0330876708061232,1224.75201580985,799.375471973706,220,9,-211
"89","1997-05",0.0331584032239264,1345.74104271623,662.956460387802,54,91,37
"90","1997-06",0.0332264146755375,1627.55335733676,402.561403809148,3,253,250
"91","1997-07",0.0332925054670433,2529.12391795392,349.267565012686,0,456,456
"92","1997-08",0.0333544161723934,2376.11903228587,310.253451529469,0,378,378
"93","1997-09",0.0334160556169142,2060.33373392953,312.98552036595,0,278,278
"94","1997-10",0.0334780884886914,1487.32117209366,359.110432565231,171,84,-87
"95","1997-11",0.033541477121195,1415.71323213076,991.013327715254,481,0,-481
"96","1997-12",0.0336062534573279,1772.19180914586,1977.57068005405,670,0,-670
"97","1998-01",0.0336693344518336,1911.15506701495,2409.18561662234,567,0,-567
"98","1998-02",0.0337416857321848,1672.71621148451,2291.64117601095,482,0,-482
"99","1998-03",0.0338200700187938,1578.00575861565,1860.55006378856,420,17,-403
"100","1998-04",0.0338998206407729,1303.59531881603,1138.69409008408,152,23,-129
"101","1998-05",0.0339849199771395,1613.9187406376,584.486431114724,12,255,243
"102","1998-06",0.034074720356737,2542.01743036362,345.98908282585,2,449,447
"103","1998-07",0.034169444457767,2886.09868785276,300.720255688117,0,502,502
"104","1998-08",0.0342679724079113,2520.90997882638,293.440222011054,0,459,459
