"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0294766300561248,1385.25538134889,1789.419640506,528,0,-528
"2","1990-02",0.0294094413580403,1271.59808780588,1663.00378888979,429,3,-426
"3","1990-03",0.02933385367428,1082.07028101317,1199.57487798456,210,38,-172
"4","1990-04",0.0292172647818892,880.15665000238,651.000901058384,49,126,77
"5","1990-05",0.0291126073968783,952.093738352498,421.709841430483,15,252,237
"6","1990-06",0.0289986495362247,1294.58139237048,337.433567407356,0,611,611
"7","1990-07",0.0288834227708322,1782.45506328665,273.652706642924,0,659,659
"8","1990-08",0.0287619133456406,1648.15988025053,250.951484469523,0,556,556
"9","1990-09",0.0286376942526436,1583.4865738847,270.797720249857,0,469,469
"10","1990-10",0.0285143787322413,1102.25962902401,304.620826401181,37,188,151
"11","1990-11",0.0284126612161439,901.683220852899,498.607048391096,226,18,-208
"12","1990-12",0.0283126247972033,1161.58877988385,1302.20583874577,589,0,-589
"13","1991-01",0.0282184022637367,1465.77462639604,1828.42395560964,511,0,-511
"14","1991-02",0.0281483728670881,1111.6644652752,1328.029405234,223,1,-222
"15","1991-03",0.0281191417269824,1014.99667899318,1166.76897994815,376,0,-376
"16","1991-04",0.028111145929355,975.434862243469,931.861775944227,103,36,-67
"17","1991-05",0.0281191811561522,902.078764937908,468.614484454048,29,210,181
"18","1991-06",0.0281421332591647,1151.82645421076,348.637081745219,4,413,409
"19","1991-07",0.0282326236532208,1565.82993667804,299.867607958869,0,658,658
"20","1991-08",0.028348742511579,1741.24089485741,247.462324584943,0,654,654
"21","1991-09",0.0284964938787185,1590.82756303061,257.695916140997,0,458,458
"22","1991-10",0.0286835359764157,1266.74005608564,307.601676623999,71,296,225
"23","1991-11",0.0289150536331897,957.709767373862,540.027803908152,266,18,-248
"24","1991-12",0.029194701467567,1217.32565735691,1326.72317042566,459,0,-459
"25","1992-01",0.0295090988485473,1335.23964375423,1589.46651911041,509,0,-509
"26","1992-02",0.0297966275406565,1127.07827389159,1196.11907925511,293,0,-293
"27","1992-03",0.0300468255636757,1005.5393632822,1015.24511381049,234,1,-233
"28","1992-04",0.0302531103577543,874.36501470584,652.688932475453,50,147,97
"29","1992-05",0.0304275489784281,1118.31134888394,339.736361679098,8,318,310
"30","1992-06",0.030566801898409,1290.87814484395,317.765118395967,0,478,478
"31","1992-07",0.0306755914216727,1611.37250303369,265.106448545221,0,637,637
"32","1992-08",0.0307426520504175,1734.5295227771,227.437252879221,0,624,624
"33","1992-09",0.0307871599212938,1520.8607582133,242.073914350965,0,492,492
"34","1992-10",0.0308047214683158,1250.4683125749,277.446127382588,20,212,192
"35","1992-11",0.0308028333531037,917.003921404577,436.12620860873,364,0,-364
"36","1992-12",0.0307805738669744,1315.95765159701,1413.00877662719,562,0,-562
"37","1993-01",0.0307290724031736,1344.88899866821,1515.98539851891,420,0,-420
"38","1993-02",0.0307104351605772,1094.88779888279,1132.36514718943,366,0,-366
"39","1993-03",0.0307161354675863,1005.72572273779,1118.38624858844,205,10,-195
"40","1993-04",0.0307352094333185,850.879949728473,595.782710477961,72,93,21
"41","1993-05",0.0307750127764462,1031.76593245257,353.828178068524,11,339,328
"42","1993-06",0.0308314273952795,1341.28006757566,298.375814481622,4,504,500
"43","1993-07",0.0309070710712178,1746.31029241883,225.583631168921,0,631,631
"44","1993-08",0.030997989447393,1734.93034611286,216.428891374175,0,619,619
"45","1993-09",0.0311146679859097,1576.00173724228,229.964784376847,3,440,437
"46","1993-10",0.0312545261224413,1193.9779819369,265.137295169421,50,186,136
"47","1993-11",0.0314281012357561,922.149901805512,494.117340200709,305,0,-305
"48","1993-12",0.0316278524555753,1210.41073891662,1217.82428848845,488,0,-488
"49","1994-01",0.0318496159338204,1345.27027197999,1505.78355394351,459,0,-459
"50","1994-02",0.032072213004421,1233.6381195032,1367.9296673137,399,0,-399
