"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.02585044552159,1577.38360741919,3975.95844166803,610,0,-610
"2","1990-02",0.0258354959165856,1143.68500280113,2542.3643958097,449,0,-449
"3","1990-03",0.0258295862755072,1098.64878893869,2115.82198765542,369,17,-352
"4","1990-04",0.0258236036331591,1026.35495099617,1739.70200250662,193,46,-147
"5","1990-05",0.0258321275319166,971.444361646746,985.753394175984,50,90,40
"6","1990-06",0.0258492326365299,1338.4692438631,622.939638055553,0,395,395
"7","1990-07",0.0258771429225823,1932.84363383162,525.394192640291,0,471,471
"8","1990-08",0.0259144355453805,1755.23427101129,505.370658031648,0,459,459
"9","1990-09",0.0259621260012246,1922.12076412086,531.777712882799,12,338,326
"10","1990-10",0.0260212860975046,1234.86592637141,671.754541645081,221,47,-174
"11","1990-11",0.0260980271835898,1005.99728076353,1483.34191022537,307,3,-304
"12","1990-12",0.026186715576665,1135.02716540777,2180.7292500731,740,0,-740
"13","1991-01",0.0262886903945759,1561.58357333405,3847.0128205331,881,0,-881
"14","1991-02",0.0263912834985831,1266.59333496121,3141.3777476718,515,0,-515
"15","1991-03",0.0264994847729443,1138.56429094625,2301.76147540328,339,18,-321
"16","1991-04",0.0266074839459757,983.564573448679,1351.53113361261,95,43,-52
"17","1991-05",0.0267137142781497,999.365986222873,757.327611478636,13,251,238
"18","1991-06",0.0268178463110107,1551.09540703772,570.951777933837,0,393,393
"19","1991-07",0.026936034453949,1951.70240751431,499.089576680781,0,497,497
"20","1991-08",0.0270556108629709,1983.99647436605,490.555365410618,0,428,428
"21","1991-09",0.0271785070153217,1748.65011050108,528.52802978531,50,246,196
"22","1991-10",0.0273071792385242,1206.11660447917,687.85877296253,116,55,-61
"23","1991-11",0.0274433200968635,1080.09089470811,1756.66558068181,549,2,-547
"24","1991-12",0.0275881262761187,1232.85032509473,2470.37239853989,619,0,-619
"25","1992-01",0.0277375708907644,1403.17090944957,3220.47264464281,753,0,-753
"26","1992-02",0.0278749616487725,1243.20944455407,3026.62480005311,484,0,-484
"27","1992-03",0.0279971226719801,1094.52554930636,1936.32377107435,380,0,-380
"28","1992-04",0.0281020778133925,1051.27759632306,1720.19197787079,172,51,-121
"29","1992-05",0.0281934705267153,994.997620961463,832.333817959214,65,120,55
"30","1992-06",0.0282702780270944,1217.15463004811,614.85775056413,0,271,271
"31","1992-07",0.028333904056313,1831.95936273559,534.907486292277,0,449,449
"32","1992-08",0.0283809237694101,1850.15101907878,502.93592044285,2,285,283
"33","1992-09",0.0284170944395692,1536.58291580472,489.836755311842,29,197,168
"34","1992-10",0.0284410656197371,1133.34675971988,674.529379863693,137,20,-117
"35","1992-11",0.0284550890218313,1030.44574532182,1396.65321310553,501,1,-500
"36","1992-12",0.0284588748438664,1310.42126313842,2755.28620671012,726,0,-726
"37","1993-01",0.0284497077771447,1558.76298013633,3622.86945661469,816,0,-816
"38","1993-02",0.028457211484014,1361.11931822345,3166.47900837058,683,0,-683
"39","1993-03",0.0284787956626942,1338.9308474302,2992.19058341659,503,2,-501
"40","1993-04",0.0285111066000716,1150.70580354263,2206.00102902214,266,12,-254
"41","1993-05",0.0285564069842562,1036.77054809663,1000.61188591848,35,100,65
"42","1993-06",0.0286134478386867,1245.90910233736,580.171738114769,4,337,333
"43","1993-07",0.028683057887107,1972.33323505423,490.637016240899,0,565,565
"44","1993-08",0.0287640448475798,2294.86568732528,449.436359261133,0,511,511
"45","1993-09",0.0288596934882804,1910.39476818355,486.930014488435,31,194,163
"46","1993-10",0.0289692594202005,1143.92856062326,694.592159753344,231,31,-200
"47","1993-11",0.0290960805859247,1114.69752743084,1773.08818947396,579,4,-575
"48","1993-12",0.0292378830147124,1340.05313943724,2721.79278522359,705,0,-705
"49","1994-01",0.0293934400375453,1692.75262925249,3837.5863732115,897,0,-897
"50","1994-02",0.0295443522018991,1514.1287648823,3505.85287838615,645,0,-645
"51","1994-03",0.0296832852483105,1274.21761719146,2486.18142791444,409,2,-407
"52","1994-04",0.0298071406860043,1082.70301971719,1648.54250799237,136,71,-65
"53","1994-05",0.029925691640694,1063.24602881382,789.363345086967,66,104,38
"54","1994-06",0.0300318055902609,1442.64349916468,521.345606262204,0,426,426
"55","1994-07",0.0301277309884228,2029.81932978537,467.413634698099,0,403,403
"56","1994-08",0.03021363749122,1797.1588383129,419.256148230238,0,348,348
"57","1994-09",0.0302897517100461,1661.02278713088,483.416572446291,31,187,156
"58","1994-10",0.0303578840350064,1230.36441696293,620.725936955182,148,68,-80
"59","1994-11",0.0304199619791051,1045.67937759851,1187.02055464169,334,7,-327
"60","1994-12",0.0304744153699187,1270.5661281203,2239.34159064225,651,0,-651
"61","1995-01",0.0305205067029517,1620.4100109187,3304.3657887114,766,1,-765
"62","1995-02",0.0305729643853417,1435.24332861291,2998.02722142651,585,0,-585
"63","1995-03",0.0306306542065442,1343.31238750292,2470.50012627048,381,15,-366
"64","1995-04",0.0306891044458653,1058.75533929669,1289.28818288834,177,34,-143
"65","1995-05",0.0307544740265691,1054.42509912836,814.965328731233,54,148,94
"66","1995-06",0.0308214522420826,1451.03869403793,537.9950423842,1,280,279
"67","1995-07",0.0308915705962574,1883.84485879527,431.064883939791,0,463,463
"68","1995-08",0.0309664128826244,2327.00288932439,401.676876428979,0,566,566
"69","1995-09",0.0310437397386247,2129.05340292202,449.555041491778,53,199,146
"70","1995-10",0.031126309428839,1220.66698367554,558.110178529823,136,35,-101
"71","1995-11",0.0312189508103936,1109.09832753323,1516.5459164389,525,1,-524
"72","1995-12",0.0313200357976994,1389.15713986228,3026.5126758724,767,0,-767
"73","1996-01",0.0314283003542058,1824.59433837328,3873.31150169423,856,0,-856
"74","1996-02",0.0315344488064468,1669.78344264045,3744.06693888697,614,2,-612
"75","1996-03",0.0316365007021365,1381.14652410728,2639.19137077693,597,0,-597
"76","1996-04",0.0317335875257469,1240.52771687955,2079.37583779736,221,27,-194
"77","1996-05",0.0318294737648514,1140.16185188176,843.4232959478,16,239,223
"78","1996-06",0.0319210534146514,1591.47288168126,515.009483256404,0,348,348
"79","1996-07",0.0320102696179577,2061.69364118173,398.169127091333,0,439,439
"80","1996-08",0.0320945760352344,2097.84025326819,408.537250255546,0,401,401
"81","1996-09",0.0321771831840369,1785.45147471735,446.257685458468,23,180,157
"82","1996-10",0.0322596697028569,1213.25048709944,608.683216574082,147,25,-122
"83","1996-11",0.0323407996945686,1132.56705733421,1608.40720159302,569,0,-569
"84","1996-12",0.0324264990723747,1451.72731318249,2682.0367056718,651,1,-650
"85","1997-01",0.0325122613861171,1762.53797497328,3529.8123602662,840,2,-838
"86","1997-02",0.0325918308083573,1610.55683251563,3302.13385967247,555,0,-555
"87","1997-03",0.0326624241081128,1317.02445145425,2103.98532425866,327,0,-327
"88","1997-04",0.0327223391962046,1106.49445533192,1401.27555601572,274,3,-271
"89","1997-05",0.0327754472491361,1068.07418275018,988.396386780972,54,84,30
"90","1997-06",0.0328188225762634,1312.54552866889,527.030698226489,1,280,279
"91","1997-07",0.0328536353870396,2010.11104924927,436.516420645574,0,508,508
"92","1997-08",0.0328767929362859,2242.74431593677,389.39819041513,0,392,392
"93","1997-09",0.0328937990569891,1906.04995075815,402.187797606062,2,251,249
"94","1997-10",0.0329056240829332,1432.85012374071,570.102412803437,211,84,-127
"95","1997-11",0.0329136435712177,1254.41758796461,1699.58071234268,533,0,-533
