"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0406290388490642,746.139107808837,2864.85047941371,516,0,-516
"2","1990-02",0.0405903788044077,689.091225816032,2693.49597226327,497,0,-497
"3","1990-03",0.0405417317668504,650.632689645326,2193.01945061131,342,1,-341
"4","1990-04",0.0404676124950687,580.813043219168,1366.88049329881,153,6,-147
"5","1990-05",0.0403931150896706,569.148921625666,1124.76878576054,139,21,-118
"6","1990-06",0.0403081859428836,603.296284845141,911.032153646512,31,142,111
"7","1990-07",0.0402166882930939,742.357879020411,816.768392143289,0,278,278
"8","1990-08",0.0401162538594022,780.100814379285,807.647421367876,3,223,220
"9","1990-09",0.0400086335333049,712.893389061676,797.808118681971,4,140,136
"10","1990-10",0.0398956179434303,635.581295882311,881.156259048857,60,45,-15
"11","1990-11",0.039787289725313,601.677968465185,1444.11749052336,319,3,-316
"12","1990-12",0.0396740716818628,690.499390248369,2754.20321378493,636,0,-636
"13","1991-01",0.0395580055242511,771.119189640004,2943.43749475328,506,0,-506
"14","1991-02",0.039444389401681,650.068282970598,1902.3053302328,279,0,-279
"15","1991-03",0.0393412741224614,620.35992243168,2173.52509306392,496,0,-496
"16","1991-04",0.0392392223483287,603.086896384248,1652.58545945597,265,0,-265
"17","1991-05",0.0391358111602213,549.020807594889,1244.45849734485,194,11,-183
"18","1991-06",0.0390306407479104,587.213943145934,1018.0402718942,52,43,-9
"19","1991-07",0.0389490832278362,649.908390840866,890.279802195965,0,210,210
"20","1991-08",0.0388710735400332,678.175442468077,816.783677750019,1,190,189
"21","1991-09",0.0387996106506193,700.328207396948,831.127149627094,5,175,170
"22","1991-10",0.0387384166272349,698.806057136124,930.259673699588,104,130,26
"23","1991-11",0.0386899551919173,626.431375604663,1390.69869548652,278,6,-272
"24","1991-12",0.0386558803183437,679.312234745681,2373.03826736059,499,0,-499
"25","1992-01",0.0386299756241939,730.588424969602,2753.46858781151,522,0,-522
"26","1992-02",0.0386032160738152,663.141465074099,2174.72874225884,328,0,-328
"27","1992-03",0.0385708008618603,606.175005083768,1653.2108740487,336,0,-336
"28","1992-04",0.0385298011020991,587.384482066653,1314.74177593682,125,23,-102
"29","1992-05",0.0384855823120099,574.356453654403,1000.35787520318,16,61,45
