"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0506134688948091,1305.32149088343,2203.57569037999,941,0,-941
"2","1990-02",0.0505693414592864,1028.51179173955,1867.55961569212,899,0,-899
"3","1990-03",0.0505112790316817,1034.01643376978,1645.16771335884,801,0,-801
"4","1990-04",0.050432653234634,881.996321273948,1219.32591846321,524,5,-519
"5","1990-05",0.0503441649032718,788.518501100147,724.082076727391,296,0,-296
"6","1990-06",0.0502415020727298,800.730027753481,441.880595233989,28,85,57
"7","1990-07",0.05012629842164,956.496913278006,361.255836385963,6,235,229
"8","1990-08",0.0499975182685947,1010.46962594871,305.655814798915,4,199,195
"9","1990-09",0.0498558880569578,901.444337918697,367.283546493842,143,54,-89
"10","1990-10",0.0497021516545973,757.307499920212,544.756121922238,290,28,-262
"11","1990-11",0.0495406194959294,858.154751326224,1050.44815272535,629,0,-629
"12","1990-12",0.049367149323006,1035.14712576631,1580.87323560055,873,0,-873
"13","1991-01",0.0491825876043195,1223.502767873,2087.30112707801,1171,0,-1171
"14","1991-02",0.049027185309696,1038.57017962568,1873.58866266973,894,0,-894
"15","1991-03",0.0489044391009165,992.498857342269,1645.45479892068,790,0,-790
"16","1991-04",0.0488103133957625,884.701799005721,1127.17980934728,433,8,-425
"17","1991-05",0.0487437819628834,783.280106870343,649.078254873489,142,80,-62
"18","1991-06",0.0487046811359031,868.964469030211,385.345684350061,24,139,115
"19","1991-07",0.0487041018246838,990.038254177322,300.671938391615,2,229,227
"20","1991-08",0.0487333858232486,973.26111997975,308.314206833052,1,210,209
"21","1991-09",0.0487939043789577,899.911301977492,357.068045026092,155,56,-99
"22","1991-10",0.0488873813541501,793.117252681037,639.073811598419,356,2,-354
"23","1991-11",0.0490150259991964,879.316777619169,1129.65533194506,672,0,-672
"24","1991-12",0.0491777243650049,1101.55935618156,1715.00147791967,974,0,-974
"25","1992-01",0.0493728450318608,1220.79109103108,2198.97068162805,1116,0,-1116
"26","1992-02",0.049540961889674,1128.68862198163,2165.91877473266,999,0,-999
"27","1992-03",0.0496798592483077,1036.64698536966,1905.1152684074,961,0,-961
"28","1992-04",0.0497881432408286,930.230400213389,1413.28794009803,608,0,-608
"29","1992-05",0.0498682285692095,828.275112415201,797.619620171214,250,16,-234
"30","1992-06",0.0499193810205581,801.630391057123,460.139552405581,46,51,5
"31","1992-07",0.0499425140614941,901.270280865738,371.419547579514,10,145,135
"32","1992-08",0.0499352872889957,885.815736906747,328.862724533506,17,111,94
"33","1992-09",0.0499015676988397,875.351999216052,381.392117713064,129,50,-79
"34","1992-10",0.0498404277142587,808.984979527079,749.936638540968,513,0,-513
"35","1992-11",0.0497533743992797,954.639343672643,1279.98631745471,750,0,-750
"36","1992-12",0.0496402045634091,1164.51555957205,1933.55806000242,1049,0,-1049
"37","1993-01",0.0494990926194383,1195.51461484073,2221.13286246245,1092,0,-1092
"38","1993-02",0.0493789244602167,1123.77800873102,2444.4249023496,1166,0,-1166
"39","1993-03",0.0492779944745324,1123.17685418344,2065.72538454257,991,0,-991
"40","1993-04",0.0491940991982153,932.938416152577,1335.22652919013,520,0,-520
"41","1993-05",0.0491287945949133,754.309666657534,643.02087961241,174,10,-164
"42","1993-06",0.0490812897183233,801.556431202098,420.757085181379,58,111,53
"43","1993-07",0.0490521792858328,1034.69120276187,343.47762935673,0,240,240
"44","1993-08",0.0490407149708261,979.315145582401,349.750043043453,4,200,196
"45","1993-09",0.0490491148266341,946.404094451548,372.546806949394,156,70,-86
"46","1993-10",0.0490769208575894,790.320720470201,765.273841140029,512,0,-512
"47","1993-11",0.0491263659231997,890.379976031999,1295.52672066496,733,0,-733
"48","1993-12",0.0491959770016575,1085.32485976027,1685.22455329683,1061,0,-1061
"49","1994-01",0.0492849809277692,1378.95824338826,2575.67468898467,1441,0,-1441
"50","1994-02",0.0494014229155163,1255.20910189066,2630.78447555023,1183,0,-1183
"51","1994-03",0.0495405182610629,1141.26786195755,2157.57419853696,936,0,-936
"52","1994-04",0.0497002650788072,898.024060085118,1334.94543220546,488,0,-488
"53","1994-05",0.0498870571762352,755.560416661228,714.856780789857,280,10,-270
"54","1994-06",0.0500962457821665,838.492456618368,461.962111696533,24,141,117
"55","1994-07",0.0503293048999602,1132.5684487796,337.987618307798,0,317,317
"56","1994-08",0.0505863494153002,1046.41503463057,304.609771828529,21,135,114
"57","1994-09",0.0508675311226893,854.400403397938,342.999082332509,108,17,-91
"58","1994-10",0.0511740554329502,805.031209799977,554.731997466645,438,0,-438
"59","1994-11",0.0515072322441873,822.208694522053,829.056279473026,599,0,-599
"60","1994-12",0.0518660559075011,1075.65980769017,1508.45844021483,929,0,-929
"61","1995-01",0.0522500652862764,1132.38584610291,2048.08975511941,1013,0,-1013
"62","1995-02",0.0526008711605202,1120.90150087338,2176.80618048922,1103,0,-1103
"63","1995-03",0.0529177099385583,983.975770136592,1928.16332521916,810,0,-810
"64","1995-04",0.0531975062073828,863.864357005107,1375.77393686653,603,0,-603
"65","1995-05",0.0534444816187776,780.314056423046,795.189676169029,293,2,-291
"66","1995-06",0.0536549800758837,883.651400307533,461.156144225938,37,91,54
"67","1995-07",0.0538300583148632,1114.61415824558,345.934701676246,1,267,266
"68","1995-08",0.0539708270463955,1151.29954049764,292.618610097733,15,175,160
"69","1995-09",0.0540757498579809,823.080316449554,342.562981792871,165,37,-128
"70","1995-10",0.054146765742371,735.878116843683,489.455041023915,321,0,-321
"71","1995-11",0.0541872497385829,998.295423603669,1141.30967408786,815,0,-815
"72","1995-12",0.0541960783949553,1274.43397591206,2114.07734729002,1202,0,-1202
"73","1996-01",0.0541723758862868,1313.44881823906,2699.65046601214,1246,0,-1246
"74","1996-02",0.0541860427944671,1171.22080314085,2364.73636570087,1089,0,-1089
"75","1996-03",0.0542357111434267,1065.01952320451,2066.21029921394,987,0,-987
"76","1996-04",0.054320782409147,883.736478663057,1455.35594365942,556,0,-556
"77","1996-05",0.0544438323470698,830.65803208514,761.891418138122,306,26,-280
"78","1996-06",0.054602718812475,862.295072664443,421.45001670883,25,88,63
"79","1996-07",0.0547987635178979,1019.79845526297,359.904472577081,0,140,140
"80","1996-08",0.0550302000784408,994.576343983262,315.557620909103,4,158,154
"81","1996-09",0.0552992213129944,908.347744362065,328.111588651879,126,57,-69
"82","1996-10",0.0556069132279782,824.743418383678,608.587992836948,470,0,-470
"83","1996-11",0.0559524210456495,998.205068589636,1164.92975057078,847,0,-847
"84","1996-12",0.0563398952839658,1186.26074514388,1932.492211788,914,0,-914
"85","1997-01",0.0567662328556626,1268.93549013473,2095.87294757125,1193,0,-1193
"86","1997-02",0.0571632056813892,1036.80991143526,2191.07276101879,883,0,-883
"87","1997-03",0.057528765685339,1053.555849672,1734.87746285376,921,0,-921
"88","1997-04",0.0578616081707307,859.253913203695,1467.46143799612,611,0,-611
"89","1997-05",0.058164414929608,823.504470474626,781.484798949136,338,0,-338
"90","1997-06",0.0584350287780813,883.955964680786,462.469399658312,76,115,39
"91","1997-07",0.0586742289182099,1103.37556813089,317.839706948189,5,196,191
"92","1997-08",0.0588797257002376,1007.44191545058,302.201725873318,9,135,126
"93","1997-09",0.0590554627080482,834.568855972089,335.151361674941,126,34,-92
"94","1997-10",0.0592021348141964,839.699696749006,538.229782456727,469,1,-468
"95","1997-11",0.0593207454719494,998.506782396648,1212.8062643078,787,0,-787
"96","1997-12",0.0594113591211761,1250.39380722027,1973.38989972102,1016,0,-1016
"97","1998-01",0.059470886978009,1176.39245975002,2045.16345161105,994,0,-994
"98","1998-02",0.0595411123936761,997.691986873671,1823.28950349066,844,0,-844
"99","1998-03",0.0596187748866653,1060.26866427609,1648.57848507547,804,0,-804
"100","1998-04",0.0596991789121545,845.806950399175,1187.63018449699,489,0,-489
"101","1998-05",0.0597863763954094,846.241506977531,612.992479323227,136,26,-110
"102","1998-06",0.0598797381996,897.688161583312,390.366340577442,75,97,22
"103","1998-07",0.0599795163650646,1150.95978544752,335.688010775668,0,226,226
"104","1998-08",0.0600846101444042,1105.28650827856,277.041592768944,3,225,222
"105","1998-09",0.0601977885070468,933.188800985593,306.260882643755,65,68,3
"106","1998-10",0.0603189960584333,828.364694671818,501.848067587728,387,0,-387
"107","1998-11",0.060449233505775,957.439489549379,1066.7212544558,697,0,-697
"108","1998-12",0.0605895484429741,1230.07624055388,1471.17293360242,874,0,-874
"109","1999-01",0.0607364165484142,1382.92454694404,2369.66160239,1167,0,-1167
"110","1999-02",0.0608922340248057,1036.19720466158,2030.13043824176,935,0,-935
"111","1999-03",0.0610508512256308,1151.06393470848,1929.1245980553,867,0,-867
"112","1999-04",0.0612081160564676,859.310164816906,1208.4773854904,507,0,-507
"113","1999-05",0.061366966874902,803.584636519244,663.879372842436,206,12,-194
"114","1999-06",0.0615265017793967,1028.256332048,413.083574793697,24,150,126
"115","1999-07",0.0616871989102736,1402.49800823006,351.783920549628,2,309,307
"116","1999-08",0.0618482926707275,1123.76836736646,282.362337430061,10,162,152
"117","1999-09",0.062011040446933,969.382581001453,349.989285069286,75,69,-6
"118","1999-10",0.0621750060762605,827.389958540316,497.332844428576,449,0,-449
"119","1999-11",0.0623422151865552,935.957014577802,996.904116436867,577,0,-577
"120","1999-12",0.0625114189488513,1225.48299098659,1557.49940484062,954,0,-954
"121","2000-01",0.0626788558247016,1374.413173237,2219.46508140101,1234,0,-1234
"122","2000-02",0.0628419980393439,1088.29049915637,2446.24026448835,979,0,-979
"123","2000-03",0.0629963273685579,981.741939361642,1589.11454925542,725,0,-725
"124","2000-04",0.0631385345888886,856.994924708913,1014.55764158547,568,0,-568
"125","2000-05",0.0632765351122997,856.535860732805,705.748354477632,234,28,-206
"126","2000-06",0.0634046146723794,978.467134898991,398.42217120437,69,99,30
"127","2000-07",0.0635222652323098,1051.80429934691,300.688456446179,6,93,87
"128","2000-08",0.0636336975852904,1067.29225197539,194.351740088744,21,117,96
"129","2000-09",0.0637366979685976,950.547679796186,308.018125303479,145,60,-85
"130","2000-10",0.0638329817419384,863.284672101866,711.20877396776,419,0,-419
"131","2000-11",0.0639244002759869,921.063550479327,1192.42187841452,720,0,-720
"132","2000-12",0.0640087131953538,1303.28356971574,2124.37117897884,1181,0,-1181
"133","2001-01",0.0640889827305807,1362.60350143142,2674.63285189099,1181,0,-1181
"134","2001-02",0.0641591987476217,1034.07691785408,1971.08081480886,968,0,-968
"135","2001-03",0.0642171048178408,1107.13497628328,1946.77806489319,940,0,-940
"136","2001-04",0.0642621147123766,916.439226254475,1159.89633530906,500,1,-499
"137","2001-05",0.0642961507441465,815.324300011397,415.462750127031,185,37,-148
"138","2001-06",0.0643167100238827,993.211597348304,383.656478153319,26,147,121
"139","2001-07",0.0643259858938404,1130.03561775481,255.24591117134,11,147,136
"140","2001-08",0.0643225766078273,1277.38777275082,319.242957473129,0,268,268
"141","2001-09",0.0643065820905567,941.573744251798,280.351575251684,89,54,-35
"142","2001-10",0.0642859336589432,842.465996658286,673.043213873231,365,3,-362
"143","2001-11",0.0642507465383393,945.633966558687,1137.71360540851,561,0,-561
"144","2001-12",0.0642055318029048,1207.29568697107,1708.09693589456,830,0,-830
