"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0556272709332135,1702.84166461557,2664.75207226788,741,0,-741
"2","1990-02",0.0555722285633333,1221.46084518295,1763.578942851,631,0,-631
"3","1990-03",0.0555365843875186,1210.87154613167,1660.53752707496,582,11,-571
"4","1990-04",0.0554906019891885,1096.42123054048,1310.27271970123,366,32,-334
"5","1990-05",0.055481962829176,918.399807930905,736.856657562524,113,17,-96
"6","1990-06",0.0554912624280582,940.543588149886,425.90283100025,6,222,216
"7","1990-07",0.05552567815667,1346.37241733077,299.235493999859,0,390,390
"8","1990-08",0.0555804645026207,1424.59301113119,270.946204249623,0,311,311
"9","1990-09",0.0556587779689715,1308.71769820522,309.567441411021,63,128,65
"10","1990-10",0.0557639035813914,925.77272848076,361.095029532268,185,75,-110
"11","1990-11",0.055915379390488,999.800278445332,784.64841733035,462,0,-462
"12","1990-12",0.0560946466915561,1176.38957674362,1346.83219473755,700,0,-700
"13","1991-01",0.0563057083845431,1456.1163110888,2024.8098195418,910,0,-910
"14","1991-02",0.0564883807988787,1376.40690908662,1970.70894613859,685,0,-685
"15","1991-03",0.0566586958504707,1224.93502568696,1745.46176128873,581,1,-580
"16","1991-04",0.0567979015039353,1093.67992020629,1284.44547738422,305,16,-289
"17","1991-05",0.0569010461953126,926.566515669068,659.776093948596,51,193,142
"18","1991-06",0.0569672483938427,1252.8673789335,339.733897388628,5,278,273
"19","1991-07",0.0570480757360547,1447.31622572552,271.754777601599,0,396,396
"20","1991-08",0.0571030971972469,1549.92807630416,298.661604879372,0,364,364
"21","1991-09",0.0571385390526071,1386.44578106641,280.588120119641,58,144,86
"22","1991-10",0.0571621862317042,980.62576845021,417.911097744167,237,22,-215
"23","1991-11",0.0571792994917456,1024.20910129191,874.841994535364,541,2,-539
"24","1991-12",0.0571934900051135,1224.80528216127,1425.34388325966,752,0,-752
"25","1992-01",0.0571921613711681,1505.40881859562,2080.31568169956,889,0,-889
"26","1992-02",0.0571742791269863,1496.24650720981,2260.52513061717,781,0,-781
"27","1992-03",0.05713003908172,1288.61877347611,1845.66335096351,725,0,-725
"28","1992-04",0.0570534890545871,1174.65933267593,1509.24814576053,385,4,-381
"29","1992-05",0.0569557777471978,959.872840483785,839.619828427318,177,31,-146
"30","1992-06",0.0568338007948715,961.082115539781,478.052364162523,13,142,129
"31","1992-07",0.0566917763038627,1263.07159620233,312.486092627185,0,353,353
