"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0236758611315603,1803.39956481468,237.130284490398,85,113,28
"2","1990-02",0.0236314552595737,1322.12971378979,122.989728042347,41,142,101
"3","1990-03",0.0235850603947673,1244.51742722592,105.385991403498,22,144,122
"4","1990-04",0.023519438452232,1237.3518928248,87.2796546552189,16,194,178
"5","1990-05",0.0234624838220033,1452.9754774771,67.3030582359671,0,399,399
"6","1990-06",0.0234029679655351,1847.38092747549,57.9412250568479,0,476,476
"7","1990-07",0.0233451240579401,1992.0659497724,54.6655517692104,0,527,527
"8","1990-08",0.0232862781822009,2087.71916214151,49.7534025862595,0,538,538
"9","1990-09",0.0232283144866652,2025.73641756607,50.8760809065396,0,476,476
"10","1990-10",0.0231731558377926,1864.16697406192,52.0009456654606,12,364,352
"11","1990-11",0.023131884615242,1455.93154853719,74.2351546334509,33,151,118
"12","1990-12",0.023093891932471,1323.86555748848,117.800333082234,82,118,36
"13","1991-01",0.0230614098001168,1425.62546546991,130.523992297572,97,116,19
"14","1991-02",0.023032110571368,1355.33436412771,148.008162250981,94,70,-24
"15","1991-03",0.0230149097938524,1366.3124452102,128.001442108365,50,153,103
"16","1991-04",0.0229993215840381,1354.56677344325,87.8730975574721,3,292,289
"17","1991-05",0.0229826061090119,1660.87240987155,62.3232035509884,0,429,429
"18","1991-06",0.022964264936489,1840.35771040831,57.9574914300199,0,459,459
"19","1991-07",0.0229726134051391,1987.71668030843,52.9246213819356,0,526,526
"20","1991-08",0.022985268666607,2097.50345581146,49.3546562932092,0,534,534
"21","1991-09",0.0230055731059105,2063.30268602904,52.1757984398901,0,470,470
"22","1991-10",0.0230377185086641,1722.31897110932,53.140394313084,4,309,305
"23","1991-11",0.0230845268399484,1428.67074115056,90.9994253473103,100,119,19
"24","1991-12",0.0231479501628523,1414.72248339701,134.917640693737,91,103,12
"25","1992-01",0.0232210133589882,1543.67501544133,177.312779550856,200,33,-167
"26","1992-02",0.0232927822896883,1510.20796897745,188.328160830408,91,74,-17
"27","1992-03",0.0233577854183002,1312.26805736537,118.582756154601,60,98,38
"28","1992-04",0.0234126291917997,1264.74104250328,107.374410764034,31,167,136
"29","1992-05",0.0234634752814656,1331.22521485311,74.9047995124753,6,271,265
"30","1992-06",0.0235085344931018,1702.95684226608,58.5775587990427,0,461,461
"31","1992-07",0.0235501349116006,2089.19828567189,53.7872468972513,0,554,554
"32","1992-08",0.0235824203767046,2137.58293746223,49.9539265373045,0,509,509
"33","1992-09",0.0236150852231114,1980.80550885889,50.5953834093655,0,471,471
"34","1992-10",0.0236457839877524,1722.00822568614,54.4153484653176,4,257,253
"35","1992-11",0.0236782783077749,1407.91795398546,75.8507408099194,53,215,162
"36","1992-12",0.0237120407006663,1502.08400682104,139.974035368024,110,78,-32
"37","1993-01",0.0237424331312913,1440.25399405742,130.803710778045,73,124,51
"38","1993-02",0.0237825642875856,1364.64366231973,147.776928676221,138,26,-112
"39","1993-03",0.0238281035641084,1407.04614890464,151.990460500651,93,84,-9
"40","1993-04",0.023873388409858,1346.14868374821,116.839841526527,23,120,97
"41","1993-05",0.0239223181554676,1336.9539618579,75.9284406729828,0,313,313
"42","1993-06",0.0239728078353007,1788.55039376114,60.780477972258,0,481,481
"43","1993-07",0.0240263120875707,2117.21984210641,53.3742944048097,0,556,556
"44","1993-08",0.0240808409862107,2297.43623816155,48.4929199314003,0,552,552
"45","1993-09",0.0241420174390833,2129.59779084128,52.4031902189983,0,481,481
"46","1993-10",0.0242085917020409,1844.85763333148,55.2039754577702,3,331,328
"47","1993-11",0.0242862208813281,1558.76424140332,78.6182302436802,60,180,120
"48","1993-12",0.0243710269827683,1527.76335022285,125.118508053885,194,41,-153
"49","1994-01",0.024460914905704,1692.5387238437,212.106199323017,180,58,-122
"50","1994-02",0.0245502994515265,1484.19672190155,162.412664008635,74,126,52
"51","1994-03",0.0246268304550677,1362.85915189802,114.292606905186,48,152,104
"52","1994-04",0.0246853566982694,1484.66513600258,89.2966854075241,7,281,274
"53","1994-05",0.0247422728361618,1672.40881982902,63.087719959539,0,371,371
"54","1994-06",0.0247856559202606,1915.14973779046,57.6569717333566,0,486,486
"55","1994-07",0.0248192876519894,2155.96111510767,53.3217139894364,0,507,507
"56","1994-08",0.0248434682874557,2051.48511991304,51.2333301658309,0,493,493
"57","1994-09",0.0248585904464138,2049.11128614251,54.7663492767752,0,428,428
"58","1994-10",0.024867657889474,1787.35776538909,54.6079591220475,2,320,318
"59","1994-11",0.0248738417962972,1593.18451130075,63.5913051622318,13,222,209
"60","1994-12",0.0248745409798901,1527.26508424727,95.6253206179186,101,95,-6
"61","1995-01",0.0248685436154197,1579.9308764824,171.38155918143,198,29,-169
"62","1995-02",0.0248838145517836,1686.83925148339,187.580502933217,163,54,-109
"63","1995-03",0.024918474574909,1387.92616881867,121.8505939756,24,129,105
"64","1995-04",0.0249651783095979,1408.39514622548,85.6064618296085,9,229,220
"65","1995-05",0.025033982711183,1748.68553446311,64.0918570282031,0,442,442
"66","1995-06",0.0251161429227482,2155.4263422243,56.9242975588871,0,442,442
"67","1995-07",0.0252141060805565,2173.83102101367,54.4050183742023,0,541,541
"68","1995-08",0.0253304000917828,2182.43247472347,48.6295249771262,0,551,551
"69","1995-09",0.0254612609801294,2230.19635218242,55.2089302779474,0,476,476
"70","1995-10",0.0256111350529277,2040.42163080934,50.5010144885184,4,377,373
"71","1995-11",0.0257879377945834,1672.62176701226,75.7942388907777,87,114,27
"72","1995-12",0.025988962501034,1494.26350378279,134.589103840494,208,63,-145
"73","1996-01",0.0262120858886859,2013.69301847813,212.997517769872,214,53,-161
"74","1996-02",0.0263812679534443,1722.88321848716,193.352114466479,178,58,-120
"75","1996-03",0.0264933264788241,1597.43522088984,154.640781658521,151,84,-67
"76","1996-04",0.0265469585690541,1456.9464145551,123.056271767609,28,178,150
"77","1996-05",0.0265486478422094,1589.70462560344,76.1300427646604,1,390,389
"78","1996-06",0.0264933953438267,1994.74632731442,58.8061922038961,0,439,439
"79","1996-07",0.0263846498820771,2148.35533177742,55.3534809807154,0,547,547
"80","1996-08",0.0262184610737584,2346.11277191731,49.0678760858036,0,512,512
"81","1996-09",0.0260003498619614,2203.31717811631,51.3652722882544,0,457,457
"82","1996-10",0.0257330124319265,1895.3329746993,55.8898591011014,6,292,286
"83","1996-11",0.0254145816414932,1568.30757850016,72.1251654326486,51,135,84
"84","1996-12",0.0250542942259995,1499.72758077423,117.320466876901,127,72,-55
"85","1997-01",0.0246449548092048,1674.0650117225,144.729167192343,155,71,-84
"86","1997-02",0.0244238345950735,1565.62917557192,137.993212338576,66,127,61
"87","1997-03",0.0243860970281583,1488.43708536799,85.2381633126402,6,229,223
"88","1997-04",0.0245285148307225,1459.80017808069,67.4149875642617,15,180,165
"89","1997-05",0.0248559809858414,1547.52264671576,62.7527430460815,0,352,352
"90","1997-06",0.0253631631597518,1967.20764040498,56.8431997224922,0,446,446
"91","1997-07",0.0260507001506423,2230.05126701778,52.04800561872,0,542,542
"92","1997-08",0.0269123746756196,2251.11013341126,49.0865934591886,0,534,534
"93","1997-09",0.0279555159496191,2234.93858739055,46.1383350915591,0,463,463
"94","1997-10",0.0291807681041558,2017.77486316983,49.7006946538364,12,302,290
"95","1997-11",0.0305898665390968,1552.37687639131,78.2483739807557,63,117,54
"96","1997-12",0.0321826542339782,1542.13724227937,133.631754132915,166,86,-80
"97","1998-01",0.0339504590032682,1755.43988596559,165.224548865392,124,77,-47
"98","1998-02",0.0355538106167269,1543.87025568535,150.384054647345,123,54,-69
"99","1998-03",0.0369857715424938,1511.85523353888,136.33285165549,118,95,-23
"100","1998-04",0.0382331523182928,1507.67083685522,109.2555867747,11,203,192
"101","1998-05",0.0393087430231063,1644.67086232045,66.5518080405509,0,404,404
"102","1998-06",0.0402113609503352,2294.02586613284,56.3090495719426,0,578,578
"103","1998-07",0.0409423743759628,2502.66645201701,50.9279861577726,0,583,583
"104","1998-08",0.0414985323032152,2439.72609269242,46.855017368234,0,569,569
"105","1998-09",0.041889260472641,2371.09566089114,47.4167719193898,0,487,487
"106","1998-10",0.0421145288934666,2179.52213850165,49.4331591508378,2,381,379
"107","1998-11",0.042177554716523,1712.99705647394,60.7768212150605,14,216,202
"108","1998-12",0.0420813677260501,1656.52823729028,81.3985558343239,70,152,82
"109","1999-01",0.0418134308100955,1802.675192109,152.505414399011,124,82,-42
"110","1999-02",0.0415820556276344,1470.7898838452,110.053522677838,98,69,-29
"111","1999-03",0.041368032493451,1453.16069469598,121.005009793807,67,60,-7
"112","1999-04",0.0411592582863869,1590.29121549661,94.2734699142491,9,283,274
"113","1999-05",0.0409667080205802,1750.43401695275,65.6167040923474,4,329,325
"114","1999-06",0.0407888407381041,2038.62632778899,57.0163790903378,0,439,439
"115","1999-07",0.0406285045131199,2211.93975873796,53.7952360549111,0,543,543
