"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0256146668745302,1530.89344463298,2722.03458959883,496,0,-496
"2","1990-02",0.0255787634180682,1069.71045276098,1974.30306356109,336,3,-333
"3","1990-03",0.0255412999092093,1100.77129444322,1687.25595249761,274,14,-260
"4","1990-04",0.0254834279724424,1010.61882859316,1067.03591419295,172,29,-143
"5","1990-05",0.0254356176861921,1145.65375331944,629.403221641909,34,153,119
"6","1990-06",0.0253855984093976,1554.57924424167,523.835798379648,0,355,355
"7","1990-07",0.0253380053849063,1981.83898049469,483.22604388927,0,451,451
"8","1990-08",0.0252899096616945,1906.73295920572,479.997484149487,0,450,450
"9","1990-09",0.0252433783741047,1716.45496246643,492.172959935991,16,296,280
"10","1990-10",0.0252005295080945,1226.73813389909,883.563826230204,125,88,-37
"11","1990-11",0.0251735789566793,1056.05186682631,1501.81299361477,286,4,-282
"12","1990-12",0.0251508796159005,1256.91735473662,2558.15455698313,488,1,-487
"13","1991-01",0.0251349076526515,1391.55836891737,3042.40045804837,627,0,-627
"14","1991-02",0.0251245677128416,1215.41553650061,2191.26009353108,454,3,-451
"15","1991-03",0.0251297094360164,1151.3646074154,1785.35596796145,304,18,-286
"16","1991-04",0.0251387240879065,1007.07567116845,841.186075195141,82,71,-11
"17","1991-05",0.0251485338222578,1196.26910496553,618.992316318808,9,229,220
"18","1991-06",0.0251585294044695,1562.59450062323,505.014104256276,0,313,313
"19","1991-07",0.0252001363046712,1899.78587548438,486.584619483718,0,448,448
"20","1991-08",0.0252484747802207,1873.52974038897,482.571602063127,0,384,384
"21","1991-09",0.0253072171652639,1566.23767928014,469.904933059816,18,260,242
"22","1991-10",0.0253809950351985,1148.0745774887,782.836951997964,107,54,-53
"23","1991-11",0.02547292473934,1121.03319554156,2019.42958856065,445,5,-440
"24","1991-12",0.0255851572276664,1276.91438511169,2554.99273904714,513,9,-504
"25","1992-01",0.0257098487099958,1486.43577966895,3092.40976985842,647,0,-647
"26","1992-02",0.0258281154337938,1274.61076854438,2341.14833178092,433,0,-433
"27","1992-03",0.0259338486623359,1126.85895849234,2053.96820160736,379,6,-373
"28","1992-04",0.0260232539859849,1111.82877992418,1181.8696385266,191,42,-149
"29","1992-05",0.0261032626229425,1127.64101147869,756.257740567319,58,107,49
"30","1992-06",0.0261718890027908,1347.94467447499,565.730695949434,4,264,260
"31","1992-07",0.0262317709100501,1891.1000428365,506.233512259293,0,443,443
"32","1992-08",0.0262763551996755,1810.88501398391,475.058515499435,0,326,326
"33","1992-09",0.0263165540738153,1474.96288746404,510.737787085376,9,236,227
"34","1992-10",0.0263497545551069,1122.35866929335,838.93405167892,158,12,-146
"35","1992-11",0.0263801945758192,1080.03552497309,2050.25937404765,389,10,-379
"36","1992-12",0.0264072899059974,1402.21839611985,2937.24913790791,631,0,-631
"37","1993-01",0.0264258492721871,1399.95587727405,2837.94050693313,537,1,-536
"38","1993-02",0.0264617482724724,1245.1589263046,2854.11874353449,588,0,-588
"39","1993-03",0.0265100947313999,1285.94566693013,2470.24844974518,481,3,-478
"40","1993-04",0.0265645168664927,1052.76007644442,1461.14421411678,233,9,-224
"41","1993-05",0.0266293353254129,1160.45427429258,698.521833017877,26,131,105
"42","1993-06",0.0267021716043746,1696.93478929907,487.458152064363,0,351,351
"43","1993-07",0.0267846015240361,2346.66177674771,474.320332268245,0,544,544
"44","1993-08",0.0268743410787123,2131.67447888593,459.417958881674,0,447,447
"45","1993-09",0.0269776307848713,1711.38882005649,452.85910246651,10,297,287
"46","1993-10",0.027093019140024,1130.39586818272,956.929541851619,140,48,-92
"47","1993-11",0.0272268143469399,1127.08636572315,1800.14902020854,411,13,-398
"48","1993-12",0.027374628235956,1393.0911340728,3184.82523623967,662,0,-662
"49","1994-01",0.027534060340545,1710.76667797753,3694.75068866197,798,0,-798
"50","1994-02",0.0276903471500789,1271.21868765247,2587.34260104835,465,2,-463
"51","1994-03",0.0278295698742644,1143.21269653091,1857.85584786512,323,9,-314
"52","1994-04",0.0279458811942953,1071.28772262745,815.934955636984,110,72,-38
"53","1994-05",0.028057862250719,1206.55694220027,681.839154868272,49,103,54
"54","1994-06",0.0281520088688934,1633.9004810243,502.048366799462,0,361,361
"55","1994-07",0.0282326190129449,1884.78941495607,460.792668802166,0,372,372
"56","1994-08",0.0283000460507471,1815.82642834611,481.450367964066,0,342,342
"57","1994-09",0.0283547503508987,1460.34832133735,445.255956310685,5,186,181
"58","1994-10",0.0284001738519057,1149.36284509435,820.92754432403,129,30,-99
"59","1994-11",0.0284399603275435,1079.28500835637,1437.40035503342,259,6,-253
"60","1994-12",0.0284711647400266,1300.52594309891,2411.04206868809,517,1,-516
"61","1995-01",0.0284924201755859,1529.95977141713,3084.23755746222,644,0,-644
"62","1995-02",0.0285385560020889,1299.15600873464,2855.24478630895,576,1,-575
"63","1995-03",0.0286073886463557,1175.97223198947,1598.39128144939,267,7,-260
"64","1995-04",0.0286904692284476,1024.76452401625,909.689848044016,134,51,-83
"65","1995-05",0.0287992810088124,1341.76870539571,597.062824820575,25,207,182
"66","1995-06",0.0289237694142424,1682.77896412053,482.428995992677,1,279,278
"67","1995-07",0.0290667045318503,2154.04699808214,450.903216188246,0,472,472
"68","1995-08",0.0292309600023346,2249.99335818097,449.769491805319,0,465,465
"69","1995-09",0.0294121852191121,1586.4480229015,496.59586798799,17,210,193
"70","1995-10",0.029615468073332,1204.79956294119,905.953263487096,130,69,-61
"71","1995-11",0.0298499107036604,1166.98566547086,2230.93786782526,502,4,-498
"72","1995-12",0.0301124021518325,1514.36603836955,3178.36887355404,688,0,-688
"73","1996-01",0.0304004972777304,1692.72848330763,3617.42470082362,732,0,-732
"74","1996-02",0.0306258999284285,1440.3855779951,2874.17162792352,570,2,-568
"75","1996-03",0.0307849629933126,1332.937209542,2649.54758392975,520,0,-520
"76","1996-04",0.0308762025061319,1138.11431990418,1461.66228694765,211,29,-182
"77","1996-05",0.0309071398699617,1464.14590104464,631.316064358207,34,233,199
"78","1996-06",0.030872024894795,1860.56743792292,459.528884919692,0,318,318
"79","1996-07",0.030774879325957,2194.73945471321,468.133759464867,0,433,433
"80","1996-08",0.0306111583523467,2025.87331250115,436.78645688309,0,366,366
"81","1996-09",0.0303872942645803,1577.35626978343,453.526284288857,9,203,194
"82","1996-10",0.0301064595454509,1184.73992241805,844.887717501322,144,36,-108
