"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0201382055117163,3791.32702007312,1563.49615223333,1076,0,-1076
"2","1990-02",0.020105421943837,3079.95545767056,1532.72838469512,1017,0,-1017
"3","1990-03",0.0200717780685867,3041.01662717689,1162.24330680437,744,0,-744
"4","1990-04",0.0200207089573588,2749.3958183112,677.324405729896,399,0,-399
"5","1990-05",0.0199790194162612,2446.08064388758,509.436726541928,369,0,-369
"6","1990-06",0.019935922233322,2700.07567354936,385.095610423126,144,76,-68
"7","1990-07",0.0198954884168993,3689.75675020342,184.586219308858,12,224,212
"8","1990-08",0.0198551485350773,3493.73456225287,170.263731128244,26,181,155
"9","1990-09",0.019816714751729,3488.70359397798,197.40846921842,51,79,28
"10","1990-10",0.0197820369074921,2728.36155771784,369.463507364564,551,0,-551
"11","1990-11",0.0197617797937311,2805.79983755039,946.727486393038,830,0,-830
"12","1990-12",0.0197457409802499,3389.33475724724,1473.46065147169,1487,0,-1487
"13","1991-01",0.0197360706773472,4034.46403402892,2258.89764582276,1330,0,-1330
"14","1991-02",0.0197295785373191,3150.71332309391,1544.16653040212,782,0,-782
"15","1991-03",0.0197348356746762,2958.45899759033,1111.31442255669,810,0,-810
"16","1991-04",0.0197417173166946,2596.1608170482,951.957018574887,589,0,-589
"17","1991-05",0.0197475534057536,2731.89992164177,727.045518496499,393,0,-393
"18","1991-06",0.0197518331477533,3396.35876025592,409.280135584044,151,12,-139
"19","1991-07",0.0197818616432546,4027.53826981375,201.597064005322,9,200,191
"20","1991-08",0.0198160219007664,3344.89272906459,185.564317458544,4,223,219
"21","1991-09",0.0198575174891121,3165.27901395519,224.407130177373,140,34,-106
"22","1991-10",0.0199103794206955,2791.30643329101,323.97239789277,528,0,-528
"23","1991-11",0.0199773223979782,3055.57449665116,1120.30025447277,933,0,-933
"24","1991-12",0.0200602267640141,3418.475445502,1602.67374125292,1134,0,-1134
"25","1992-01",0.0201523282854264,3530.17743031848,1891.63433604847,1136,0,-1136
"26","1992-02",0.0202476417891855,3041.76314275699,1394.72934807576,791,0,-791
"27","1992-03",0.020340817574498,2879.13415960223,965.64363588516,613,0,-613
"28","1992-04",0.0204285021105932,2663.45649058717,745.082661383393,418,2,-416
"29","1992-05",0.0205166208859352,2388.69732900419,453.137575897614,168,27,-141
"30","1992-06",0.0206033770449842,2558.57907886343,250.882532160922,82,114,32
"31","1992-07",0.0206909784504032,2910.1135134675,236.04543585819,34,112,78
"32","1992-08",0.0207736486968974,2816.94224087779,184.841717904478,62,211,149
"33","1992-09",0.0208607859666515,2431.58703160641,275.962318667531,211,17,-194
"34","1992-10",0.0209500473670793,2668.27181771414,429.819215594634,443,7,-436
"35","1992-11",0.0210450669401267,3241.43218105049,1025.54085227421,987,0,-987
"36","1992-12",0.0211452875812995,3601.40113192637,1943.85120945001,1299,0,-1299
"37","1993-01",0.0212461019210334,3665.3699713325,2256.40612227752,1384,0,-1384
"38","1993-02",0.0213492250098026,2965.20735690462,1946.78066646578,1150,0,-1150
"39","1993-03",0.0214504204602305,3177.46993560949,1690.27551631945,861,0,-861
"40","1993-04",0.0215441119885938,2474.85569908971,1032.25775497791,591,0,-591
"41","1993-05",0.021634165907431,2437.20231251945,682.387043602607,205,30,-175
"42","1993-06",0.0217185437622906,2597.78003466565,328.43521200718,203,28,-175
"43","1993-07",0.0217987125406386,3529.69931850075,296.114580553303,124,24,-100
"44","1993-08",0.0218727368135534,3839.68644311002,245.362777864148,76,72,-4
