"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0284601496290351,201.030689797916,6689.84070849121,972,0,-972
"2","1990-02",0.0284500653328922,172.232705296361,6050.09878558652,932,0,-932
"3","1990-03",0.028434799408978,173.388612982451,4890.42758512829,721,5,-716
"4","1990-04",0.0284101404863787,126.312450991914,3518.90594948719,492,36,-456
"5","1990-05",0.028382896404503,119.804458385539,2204.24296511147,250,4,-246
"6","1990-06",0.0283503353695442,108.481645561417,1160.59310257598,21,188,167
"7","1990-07",0.0283135095797623,121.445734162487,978.177064755721,5,242,237
"8","1990-08",0.0282717735654575,115.651251407259,1013.02838899619,7,213,206
"9","1990-09",0.0282256071909704,115.536934304535,1183.97674399331,94,143,49
"10","1990-10",0.0281755052074083,128.802798247457,2840.94995863227,431,6,-425
"11","1990-11",0.0281242476077823,164.503577352743,3828.68835893292,604,0,-604
"12","1990-12",0.0280692148683985,222.232128673279,7143.82015382575,1140,0,-1140
"13","1991-01",0.0280109774930628,253.838140709325,8631.58890415867,1373,0,-1373
"14","1991-02",0.0279673941935807,182.077863403626,5851.43851899016,962,0,-962
"15","1991-03",0.0279406618863567,170.77012829141,5105.75272553505,746,1,-745
"16","1991-04",0.0279281416449496,143.716840790537,3011.41315263354,345,9,-336
"17","1991-05",0.0279291170789518,133.354379106975,1696.63871283774,111,169,58
"18","1991-06",0.027943421110305,116.217209449342,1028.52155417968,3,275,272
"19","1991-07",0.0279781174725795,111.435874797774,946.505551679037,0,336,336
"20","1991-08",0.0280275728554012,117.962650573506,941.492462877263,0,287,287
"21","1991-09",0.0280925929369693,116.74307186292,1496.25524348476,151,153,2
"22","1991-10",0.0281742045310531,131.523333986681,2528.92814596095,351,8,-343
"23","1991-11",0.0282730967128235,178.632782874551,5670.14321125965,882,0,-882
"24","1991-12",0.0283897428448205,207.45683689341,6594.77504273877,1054,0,-1054
"25","1992-01",0.0285223491440171,214.96312084281,7443.69973678333,1131,0,-1131
"26","1992-02",0.0286412168813901,171.634502107153,5836.45655799547,896,0,-896
"27","1992-03",0.0287449760229243,149.080529688408,5478.49493122552,781,0,-781
"28","1992-04",0.0288327802172227,122.293305885036,3769.42899389429,512,1,-511
"29","1992-05",0.0289062205993903,120.561283695331,2078.58940930093,210,50,-160
"30","1992-06",0.0289648629144012,108.748561622043,1197.31165291688,41,114,73
"31","1992-07",0.0290093247596762,118.079450283567,959.056607019756,4,186,182
"32","1992-08",0.0290381315654332,120.223011224432,1030.25097155458,34,109,75
"33","1992-09",0.0290537862504855,118.691551952721,1267.90358936486,130,68,-62
"34","1992-10",0.0290557121711928,130.714494436221,2646.88214524073,404,3,-401
"35","1992-11",0.0290448920687275,174.315008301894,5057.00045030378,787,0,-787
"36","1992-12",0.0290212077511917,226.287860089766,7139.9070363225,1119,0,-1119
"37","1993-01",0.0289834928307341,245.070067349787,7891.69210956114,1223,0,-1223
"38","1993-02",0.02896876067383,195.928669421922,6840.49001615742,1125,0,-1125
"39","1993-03",0.0289758694401677,194.511587092841,6242.366700364,947,0,-947
"40","1993-04",0.0290033488072534,133.664010058205,3892.75898718668,540,0,-540
"41","1993-05",0.0290521532826105,131.890074750915,1674.24242089996,132,42,-90
