"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0232620900679219,2216.02630330719,4981.33262911456,898,0,-898
"2","1990-02",0.0232466235093577,1780.88637468621,3921.13715244252,827,0,-827
"3","1990-03",0.0232260396296366,1753.63411318008,3349.02871939663,666,10,-656
"4","1990-04",0.0231946590851999,1537.04580322198,2582.28489853874,474,28,-446
"5","1990-05",0.0231616612793522,1414.01034448948,1369.20268427099,205,5,-200
"6","1990-06",0.0231233594224839,1583.76696495585,771.923912045502,27,184,157
"7","1990-07",0.0230811664811548,2094.6243770784,589.537431207242,4,247,243
"8","1990-08",0.0230342097747265,1914.96577685424,603.386198831626,9,189,180
"9","1990-09",0.0229831302468978,2147.07395354456,712.787580276072,91,128,37
"10","1990-10",0.0229285867908134,1497.79740406684,1643.08493574789,387,6,-381
"11","1990-11",0.0228743006290626,1547.60804663915,2536.81172978111,551,0,-551
"12","1990-12",0.0228167479914561,1816.03606424023,4192.25479441746,996,0,-996
"13","1991-01",0.0227566865306268,2285.766256655,5592.52599999933,1222,0,-1222
"14","1991-02",0.0227150794644987,1960.72525200113,4302.83486361684,885,0,-885
"15","1991-03",0.0226948808603786,1775.2114868131,3618.59806741712,698,1,-697
"16","1991-04",0.0226925681290322,1513.7450961462,2057.35783765275,325,7,-318
"17","1991-05",0.0227071908969547,1483.11750880599,1083.65715912497,78,175,97
"18","1991-06",0.0227385308082675,2109.99388076272,610.335183989096,2,275,273
"19","1991-07",0.0227960786551788,2590.34529317378,564.17106219986,0,335,335
"20","1991-08",0.0228722955759291,2123.6050478722,565.8486426194,0,263,263
"21","1991-09",0.0229682806345187,2127.48686343823,749.396786904229,136,155,19
"22","1991-10",0.0230854417030905,1533.72660100172,1453.98145262681,289,21,-268
"23","1991-11",0.0232247461522703,1586.10627900467,3240.23545120977,794,0,-794
"24","1991-12",0.0233868852835774,2021.91213227948,4331.02406794755,960,0,-960
"25","1992-01",0.0235694768538235,2073.96361478422,4991.09413156743,1089,0,-1089
"26","1992-02",0.023735674907104,1906.80062588952,4212.12103367696,832,0,-832
"27","1992-03",0.0238836031645001,1739.00734373973,3625.6222918236,762,0,-762
"28","1992-04",0.0240120854243936,1617.35585699368,2692.63829813939,460,5,-455
"29","1992-05",0.0241232937952776,1442.62520037271,1447.96413778164,210,45,-165
"30","1992-06",0.0242166255879967,1511.22121408451,882.710928600637,51,96,45
"31","1992-07",0.0242929273418373,1814.87201532916,664.119174361384,1,228,227
"32","1992-08",0.0243501566410208,1764.15277474188,630.753085245747,24,115,91
"33","1992-09",0.0243917695260516,1663.40470341404,753.492286370692,112,79,-33
"34","1992-10",0.0244169678445155,1447.14496819012,1589.47890379005,401,3,-398
"35","1992-11",0.0244271113198959,1619.54245541425,3030.21600236843,690,0,-690
"36","1992-12",0.0244220334997773,2029.19947790377,4604.60773700549,1031,0,-1031
