"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0229398459500297,3158.93006779912,5514.63822837332,1088,0,-1088
"2","1990-02",0.0229274278350086,2339.97308348002,4163.02104288391,1038,0,-1038
"3","1990-03",0.0229129100746109,2361.68469596335,3747.55617010663,778,0,-778
"4","1990-04",0.0228927498527819,2145.92986607151,2861.25247834123,521,25,-496
"5","1990-05",0.0228726576754932,1862.15148458732,1626.17003054418,258,3,-255
"6","1990-06",0.0228503309228602,2106.85617183853,955.26689042009,28,197,169
"7","1990-07",0.0228266447837166,2801.79527591798,635.89916066284,4,246,242
"8","1990-08",0.0228010479867288,2644.68944826273,595.130284535013,3,229,226
"9","1990-09",0.0227739344903043,2594.35241388725,622.110728315509,102,150,48
"10","1990-10",0.0227457114810092,1989.44005252855,1114.62814022862,445,7,-438
"11","1990-11",0.0227187136131559,2102.08164130621,2244.29177025074,696,0,-696
"12","1990-12",0.0226907301446559,2528.88677401,3744.08787115268,1381,0,-1381
"13","1991-01",0.0226622364610883,3254.99849364697,6232.21958831571,1580,0,-1580
"14","1991-02",0.0226482060167981,2578.41073176795,4558.72292411049,1005,0,-1005
"15","1991-03",0.022650518240427,2449.36362995149,3675.03771002762,798,1,-797
"16","1991-04",0.0226669568248194,2043.5730199,2301.19084250949,412,12,-400
"17","1991-05",0.0226969226066166,2062.16871273503,1381.93418727605,147,141,-6
"18","1991-06",0.0227402765222333,2762.10751309104,772.675328181507,1,259,258
"19","1991-07",0.0228030437739478,3401.74544442931,571.419630241082,1,286,285
"20","1991-08",0.0228804389157387,2964.32134886305,585.885513441428,3,229,226
"21","1991-09",0.0229731524589796,2701.57631515211,680.924568522486,176,112,-64
"22","1991-10",0.0230820675982411,2085.43779485395,1581.17354704626,463,3,-460
"23","1991-11",0.0232077821621202,2238.52200459236,3448.10531796486,1085,0,-1085
"24","1991-12",0.0233507112881266,2696.62468184618,4789.87821758437,1167,0,-1167
"25","1992-01",0.0235093130639971,3145.34749268454,4789.25050642525,1183,0,-1183
"26","1992-02",0.0236451086084178,2595.91177466065,4499.53416585943,957,0,-957
"27","1992-03",0.0237569212803404,2458.21359499014,3278.15251903631,811,0,-811
"28","1992-04",0.0238440227954774,2257.54196810623,2648.77695491146,560,1,-559
"29","1992-05",0.0239078006351183,1966.44158298629,1287.62155640144,189,46,-143
"30","1992-06",0.0239478878434605,2051.04463771193,843.562425235936,24,115,91
"31","1992-07",0.0239648303474203,2659.62160139175,596.285164673419,16,129,113
"32","1992-08",0.0239573605833676,2679.53918245844,642.979537585344,48,85,37
"33","1992-09",0.0239276584886435,2267.33475690634,726.251488759728,165,49,-116
"34","1992-10",0.023875231870378,2042.24510916899,1434.44854602933,439,3,-436
