"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0245044457803179,1216.85014038518,6571.88325995772,827,0,-827
"2","1990-02",0.0244969004088669,989.102538708648,4784.54487538038,764,0,-764
"3","1990-03",0.0244893505685273,931.795208549703,3965.72646363905,570,3,-567
"4","1990-04",0.0244766037479652,883.080104542327,3285.99039843619,362,20,-342
"5","1990-05",0.0244670364729426,817.269384767748,1957.23966526466,147,44,-103
"6","1990-06",0.0244572764206713,1152.47906404658,1071.89724100159,3,378,375
"7","1990-07",0.0244486131366674,1750.25020775767,792.869825366083,1,420,419
"8","1990-08",0.0244402425219291,1490.31708712451,731.065315932212,1,402,401
"9","1990-09",0.024432749505427,1690.61360979797,770.797051206734,26,275,249
"10","1990-10",0.0244267409597619,1014.80556675009,1094.7769676616,253,25,-228
"11","1990-11",0.0244256695180662,852.867747525881,2211.68337822196,456,6,-450
"12","1990-12",0.0244262939725141,1017.30826881969,3882.15866439079,1103,0,-1103
"13","1991-01",0.0244293307536254,1305.78456529285,7391.56711629394,1202,0,-1202
"14","1991-02",0.0244361662889911,1045.20810364937,5300.47166807439,629,0,-629
"15","1991-03",0.0244495894418763,900.050922540498,3840.81078744409,512,5,-507
"16","1991-04",0.0244663282895443,855.225321316127,2353.38663501343,229,14,-215
"17","1991-05",0.0244855077369902,877.682395923848,1550.41098264499,57,172,115
"18","1991-06",0.0245069426405108,1287.06042367352,859.937676385877,0,361,361
"19","1991-07",0.0245395425054396,1860.24284921846,753.021066727799,0,508,508
"20","1991-08",0.0245762436930932,1710.61979490432,707.681616898093,0,418,418
"21","1991-09",0.0246180732049898,1501.66998826334,730.714039448937,71,211,140
"22","1991-10",0.024666327424948,962.841318131606,1077.76253870984,245,54,-191
"23","1991-11",0.0247218655870194,954.385217015784,3146.27011349741,818,0,-818
"24","1991-12",0.0247852614539857,1069.67425138665,4746.14556855821,854,0,-854
"25","1992-01",0.0248542462928284,1125.9545723222,5448.7223355468,854,0,-854
"26","1992-02",0.0249130823042394,984.407095357227,4705.31250595257,654,0,-654
"27","1992-03",0.0249600546825522,906.766828356024,3390.06342102823,508,1,-507
"28","1992-04",0.0249941106004552,880.343158007714,2968.65540855789,301,15,-286
"29","1992-05",0.0250172160664226,830.955685806146,1624.00680461403,116,71,-45
"30","1992-06",0.0250288217784318,924.239650804102,1117.3833529395,15,157,142
"31","1992-07",0.0250296764296755,1367.21663555752,826.631925755549,0,366,366
"32","1992-08",0.0250179505619694,1425.37027961111,743.747543689761,3,213,210
"33","1992-09",0.0249967070591665,1193.82072346814,767.863664097935,45,168,123
"34","1992-10",0.0249652148718543,938.401312336163,1033.09696054766,248,24,-224
"35","1992-11",0.0249246555644745,914.117311971841,2602.10189596281,758,0,-758
"36","1992-12",0.0248748586486372,1151.79485973162,5426.31896907869,1015,0,-1015
"37","1993-01",0.0248143742128552,1255.31031755388,6706.22532340175,1192,0,-1192
"38","1993-02",0.0247744046561207,1083.73005246529,5715.30516221939,978,0,-978
"39","1993-03",0.0247535801183821,1055.26652231713,5541.92276260765,725,0,-725
"40","1993-04",0.0247501312317819,938.922811048252,3888.90759720393,416,0,-416
"41","1993-05",0.0247652410536144,823.272825361383,2005.14321325734,99,50,-49
"42","1993-06",0.0247982378421344,1073.85904795362,1042.48078374148,16,254,238
"43","1993-07",0.0248495364592221,1621.29580788499,793.835426571912,0,429,429
"44","1993-08",0.0249184831269427,1848.59444374034,712.630397231301,1,421,420
"45","1993-09",0.0250067720373397,1490.48201995063,762.948143517882,80,81,1
"46","1993-10",0.0251139748750349,877.931903457221,1133.7908565414,336,23,-313
"47","1993-11",0.0252418085358651,913.054733362163,2876.23923914952,753,0,-753
"48","1993-12",0.0253890327085105,1129.20843498654,4893.65897019752,898,0,-898
"49","1994-01",0.02555495117606,1188.62651536786,6548.02663814771,1132,0,-1132
"50","1994-02",0.0257026665720937,1034.12925972392,5559.05043760746,947,0,-947
"51","1994-03",0.0258283332850968,967.657244710511,3625.22368519272,525,2,-523
"52","1994-04",0.0259303394447902,861.774642943234,2425.93286097624,322,28,-294
"53","1994-05",0.0260138789262762,954.281186278884,1304.87593150097,88,95,7
"54","1994-06",0.026075211278379,1604.10756446474,804.84938325691,1,380,379
"55","1994-07",0.0261155550067897,1688.03565526358,739.449151304302,0,359,359
"56","1994-08",0.0261350303775396,1777.82382891348,692.645470850158,0,390,390
"57","1994-09",0.0261337877586524,1136.0020205137,678.688886485872,49,158,109
"58","1994-10",0.0261128063998721,904.838921568571,1607.55723625641,221,33,-188
"59","1994-11",0.0260731155964425,992.514306758226,2704.02626168502,581,0,-581
"60","1994-12",0.0260139092808252,1084.98398207705,4556.78759593154,880,0,-880
"61","1995-01",0.0259348215080442,1158.33939593855,5954.39077999575,1057,0,-1057
"62","1995-02",0.0258821536975495,954.543567887333,4667.60456073467,724,0,-724
"63","1995-03",0.025855282272583,1003.076375862,4052.30175743552,631,1,-630
"64","1995-04",0.0258518797487826,830.095476553161,2390.51528288538,383,1,-382
"65","1995-05",0.025875091548421,899.165497938108,1632.56284623721,188,11,-177
"66","1995-06",0.0259221652818774,1204.07425111098,868.991790769588,7,205,198
"67","1995-07",0.025993866428291,1901.16720099903,764.485080951659,0,443,443
"68","1995-08",0.0260909892591349,2067.90459256641,691.015098430683,0,480,480
"69","1995-09",0.0262123615977836,1309.83245506389,771.27316370713,104,170,66
"70","1995-10",0.0263593907973077,934.677500164262,1435.83824211727,235,21,-214
"71","1995-11",0.0265345863159544,945.623325734647,2819.45092699819,682,0,-682
"72","1995-12",0.0267371343612016,1201.04272215881,5676.91369987071,1005,0,-1005
"73","1996-01",0.0269664106498836,1292.46961835271,7036.77202116209,1171,0,-1171
"74","1996-02",0.027148029446614,1062.93676665018,5749.82417947089,828,0,-828
"75","1996-03",0.0272809496644097,1041.11618876602,4657.294123896,820,0,-820
"76","1996-04",0.027364724009458,898.535142678292,2631.32270013727,329,11,-318
"77","1996-05",0.0274013752399074,1041.68193135524,1272.50352252107,81,141,60
"78","1996-06",0.0273893007628733,1520.31037462696,722.201446481151,5,314,309
"79","1996-07",0.0273295803751285,1851.69249440413,764.337366701534,0,389,389
"80","1996-08",0.0272209443718732,1628.58562962834,682.373097322192,0,327,327
"81","1996-09",0.0270651522608428,1226.42450526888,820.464546343043,76,108,32
"82","1996-10",0.0268630837898343,994.837836537201,1314.58424192705,256,18,-238
"83","1996-11",0.0266141608314793,991.550242320597,3924.01613351318,794,0,-794
"84","1996-12",0.0263214131220321,1236.61521482923,5973.43972671636,1011,0,-1011
"85","1997-01",0.0259825612960572,1251.40413608062,5980.91017330883,1131,0,-1131
"86","1997-02",0.025822471684827,1026.92549051919,4578.98450217809,821,0,-821
"87","1997-03",0.0258394999654505,977.132889392504,3315.04571059669,550,0,-550
"88","1997-04",0.0260324973725727,897.624760008551,2418.93453934773,442,0,-442
"89","1997-05",0.0264029713530576,874.225090079921,1352.12606939159,142,39,-103
"90","1997-06",0.0269490460597397,1363.38477642436,623.030385349303,0,251,251
"91","1997-07",0.0276707940018754,1971.91142745325,697.777523208449,1,437,436
"92","1997-08",0.0285660039419182,1769.55730776807,606.705718650345,1,343,342
"93","1997-09",0.0296369228611865,1401.0456404385,612.759805403373,20,199,179
"94","1997-10",0.030883565516412,1268.68059505533,887.60250327119,278,78,-200
"95","1997-11",0.0323062786999878,870.315058470796,3392.46459384912,705,0,-705
"96","1997-12",0.0339047527860707,1271.46891884828,4248.5758976655,986,0,-986
"97","1998-01",0.0356758480409858,1222.37484328039,5435.67828182538,996,0,-996
"98","1998-02",0.0372684907518187,995.741387213492,4665.45359579743,692,0,-692
"99","1998-03",0.0386805996789967,1112.37923162583,4624.31343744963,814,3,-811
"100","1998-04",0.0399080622951435,936.727329652906,2875.48387867707,353,5,-348
"101","1998-05",0.0409552662743107,1138.32704313088,1478.08517938874,35,180,145
"102","1998-06",0.0418220133957072,1674.92582149112,857.495811158057,28,333,305
"103","1998-07",0.0425089324791015,2141.89693936839,715.306351667335,0,467,467
"104","1998-08",0.0430151438968506,2087.08727523371,633.058685387832,0,431,431
"105","1998-09",0.0433438807936008,1682.86338587934,605.379654758665,8,329,321
