"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0212706006131884,1733.63713057856,2875.28975751481,725,0,-725
"2","1990-02",0.0212594966969878,1325.72042186528,2482.22634519904,588,0,-588
"3","1990-03",0.0212470473325568,1276.68047419,1878.55099790863,507,8,-499
"4","1990-04",0.0212278575504779,1174.44787782433,1476.18768000959,360,24,-336
"5","1990-05",0.0212106312051329,1069.01913494907,721.296566598944,115,35,-80
"6","1990-06",0.0211918626756505,1278.88978134931,470.847509933661,9,231,222
"7","1990-07",0.0211728879485339,1708.13452279919,404.946682275833,0,332,332
"8","1990-08",0.0211528698888691,1634.81096351605,378.829619613025,1,284,283
"9","1990-09",0.0211324113890671,1430.93737613419,404.196759385982,50,177,127
"10","1990-10",0.0211121357862828,1148.18973013545,971.362375500883,281,17,-264
"11","1990-11",0.0210956053889713,1179.23271549796,1686.37399060836,457,1,-456
"12","1990-12",0.02107945661314,1432.79714458976,2764.18261458382,775,0,-775
"13","1991-01",0.0210644200215134,1830.90660595416,3415.0047443427,965,0,-965
"14","1991-02",0.0210594351483586,1482.39994254158,2831.3806996447,727,0,-727
"15","1991-03",0.0210673757916184,1399.51217017488,2103.86847756834,525,2,-523
"16","1991-04",0.0210848621592504,1090.74510150936,1006.26477574246,202,15,-187
"17","1991-05",0.0211109831631818,1235.97927555439,529.167061687781,34,199,165
"18","1991-06",0.0211455328495249,1641.2371729177,403.607165643426,0,289,289
"19","1991-07",0.02119770253463,2001.22525727119,374.042365332304,0,397,397
"20","1991-08",0.0212601899103489,1840.95128911834,341.54673673783,0,322,322
"21","1991-09",0.0213340453451143,1496.32083148381,434.405531810971,80,205,125
"22","1991-10",0.0214206063627393,1171.44274001959,910.55064493828,231,33,-198
"23","1991-11",0.0215207684983061,1318.40012996018,2237.98252877625,631,0,-631
"24","1991-12",0.0216351422995085,1560.23810690911,2820.19440165299,764,0,-764
"25","1992-01",0.0217613692429272,1814.24595493136,3435.14913187747,923,0,-923
"26","1992-02",0.0218768661217519,1513.79092097759,2474.30434569252,676,0,-676
"27","1992-03",0.0219798404068532,1374.38807154939,2269.20665813729,611,0,-611
"28","1992-04",0.0220691792667702,1239.5024612548,1212.49686175134,304,22,-282
"29","1992-05",0.0221469627678798,1098.04296022288,761.138661049765,151,57,-94
"30","1992-06",0.0222126175069847,1251.43301445161,531.328007376918,21,134,113
"31","1992-07",0.0222669488414606,1804.73325675019,383.565507476241,0,346,346
"32","1992-08",0.0223080140227371,1591.79755172062,409.168192281729,3,186,183
"33","1992-09",0.0223390941142896,1313.49700279972,407.905711278208,53,120,67
"34","1992-10",0.0223594257884789,1117.51667015708,973.688077088531,306,3,-303
"35","1992-11",0.0223702958216562,1222.0060769424,2016.38820729482,562,0,-562
"36","1992-12",0.0223715433888786,1707.05555347882,3057.38602841657,886,0,-886
"37","1993-01",0.022361624378665,1776.22163232678,3206.62082682368,855,0,-855
"38","1993-02",0.0223668948219374,1581.55335818268,3205.21178452813,878,0,-878
"39","1993-03",0.0223858769457599,1653.39749056026,2643.66970493874,720,0,-720
"40","1993-04",0.0224166543294749,1236.60106492273,1432.9588047338,364,0,-364
"41","1993-05",0.0224605110378833,1053.9796213265,547.645780565463,71,58,-13
"42","1993-06",0.0225167262887624,1440.32020366637,490.456035041936,28,233,205
"43","1993-07",0.0225857634903091,2183.21910611252,369.428606531381,0,459,459
"44","1993-08",0.022666929013127,1960.79194790728,325.604279293322,0,352,352
"45","1993-09",0.0227620906683962,1249.80867754792,403.474107618743,52,116,64
"46","1993-10",0.0228708113499253,1093.44724458144,1103.14518933159,326,1,-325
"47","1993-11",0.0229949966699285,1344.01250624154,2175.13672654168,617,1,-616
"48","1993-12",0.0231333321993323,1676.35448595597,3286.99452315148,905,0,-905
"49","1994-01",0.0232850990828855,2261.92342991442,4420.09993624014,1199,0,-1199
"50","1994-02",0.0234269816307388,1735.59998495663,3012.4200458555,789,0,-789
"51","1994-03",0.023554757106679,1540.92789260632,2399.73031133298,648,0,-648
"52","1994-04",0.0236666356042853,1198.18820077306,1025.9252588022,236,25,-211
"53","1994-05",0.0237682677775852,1077.58476089382,658.841806587971,177,29,-148
"54","1994-06",0.0238555399681465,1667.54867663732,358.488681885237,2,294,292
"55","1994-07",0.0239297607222287,1975.30725722204,334.90598236871,0,345,345
"56","1994-08",0.023991039284137,1722.65276494243,344.018409727435,1,253,252
"57","1994-09",0.0240395195801516,1260.93184333419,369.003270222854,43,76,33
"58","1994-10",0.0240762627511775,1074.18225275847,799.82203277289,244,6,-238
"59","1994-11",0.0241023966659594,1182.6649927538,1476.33135792426,423,1,-422
"60","1994-12",0.024117026553328,1650.25783933892,2598.55524162361,734,0,-734
"61","1995-01",0.0241197406979498,1955.35142791559,3496.21384056927,941,0,-941
"62","1995-02",0.0241367859946323,1629.19665085528,3070.28007181527,856,0,-856
"63","1995-03",0.0241674931688005,1365.78188918679,2094.59625148542,533,0,-533
"64","1995-04",0.0242092726003927,1100.32710270249,1032.44923168091,291,17,-274
