"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0260790421609204,1545.6206038057,3172.93706265241,329,7,-322
"2","1990-02",0.0260774186740257,1034.76289164122,1667.07813564571,200,17,-183
"3","1990-03",0.0260795751560646,1047.96397419777,1470.08686189595,166,46,-120
"4","1990-04",0.0260823643346846,1030.63279603932,1093.46085068819,72,102,30
"5","1990-05",0.0260908372375265,1302.04685774857,711.533215976615,1,288,287
"6","1990-06",0.0261029451560601,1944.97371691167,580.282439017935,0,496,496
"7","1990-07",0.0261194573031583,2219.46118247093,519.590490165707,0,504,504
"8","1990-08",0.0261398743870696,2115.72270010549,505.291255484348,0,530,530
"9","1990-09",0.0261645380548671,2190.36148742109,520.439832616962,2,414,412
"10","1990-10",0.0261938041171825,1562.28264057369,601.08739124944,108,138,30
"11","1990-11",0.0262297639682135,1092.9590997577,1120.43810837443,162,33,-129
"12","1990-12",0.0262704347138467,1199.59090004246,1724.88331238257,354,24,-330
"13","1991-01",0.0263162406292419,1412.82090318913,2599.75195180217,503,0,-503
"14","1991-02",0.0263355900328303,1195.94546200735,2252.0243940054,289,4,-285
"15","1991-03",0.0263301989916165,1113.75205673881,1614.8281312392,167,57,-110
"16","1991-04",0.026298084826862,1095.53399430512,936.646143186232,22,157,135
"17","1991-05",0.0262387439723236,1361.75814559437,648.246863762661,1,332,331
"18","1991-06",0.0261521103367702,1843.23681688244,577.425975795599,0,446,446
"19","1991-07",0.0260436149276215,2153.17135927971,487.119779293197,0,522,522
"20","1991-08",0.025909005571745,2199.79440282644,484.010096926814,0,483,483
"21","1991-09",0.0257489435943742,1985.83524179991,502.520966000393,4,339,335
"22","1991-10",0.0255642355669942,1396.574166654,576.710348291393,31,175,144
"23","1991-11",0.0253554062985154,1261.77019519174,1321.93375936419,361,27,-334
"24","1991-12",0.0251227915827502,1293.48180738765,1922.36613665105,314,21,-293
"25","1992-01",0.0248650865557128,1431.09277070679,2503.35112264142,516,0,-516
"26","1992-02",0.0246358299589782,1253.00436870113,2339.13139504181,265,5,-260
"27","1992-03",0.0244338682140493,1084.77850801319,1432.55347888625,161,16,-145
"28","1992-04",0.024258476838422,1068.44552993754,1151.44580606568,78,82,4
"29","1992-05",0.024110626466271,1261.71767106536,708.881036739314,18,223,205
"30","1992-06",0.0239899039020972,1719.88918926634,579.172539270979,0,412,412
"31","1992-07",0.0238966298633237,2273.1464197451,522.99422474026,0,520,520
"32","1992-08",0.0238297376056345,2053.78802699606,495.702862599465,0,417,417
"33","1992-09",0.0237908443531145,1870.53723532764,509.176574010586,1,358,357
"34","1992-10",0.023779521291357,1372.88198732909,561.596124987255,16,100,84
"35","1992-11",0.0237964073203535,1159.94998822649,1057.51427711501,313,14,-299
"36","1992-12",0.0238414350434306,1308.2172443115,2125.14099566942,340,2,-338
"37","1993-01",0.0239138599026509,1301.30815817105,2166.95504458787,396,2,-394
"38","1993-02",0.0239980868285158,1166.68860870559,2122.59989411427,354,1,-353
"39","1993-03",0.0240934212283062,1182.08840583992,2003.9091949181,268,11,-257
"40","1993-04",0.0241989188678571,1054.61620622938,1408.01745802203,124,43,-81
"41","1993-05",0.0243152709731541,1204.79646488852,743.368070845086,1,194,193
"42","1993-06",0.0244421244613204,1764.2384444188,559.388171274996,0,441,441
"43","1993-07",0.0245797294247437,2285.22767156331,532.454976516591,0,538,538
"44","1993-08",0.0247277235375805,2412.89432419253,463.130836594426,0,568,568
"45","1993-09",0.0248870743416434,2255.8037505413,476.052521385178,2,399,397
"46","1993-10",0.0250575370092726,1729.44454331524,532.299551781956,73,149,76
"47","1993-11",0.0252400879688188,1218.77565636266,1289.87085078249,321,34,-287
"48","1993-12",0.0254339998500693,1268.16872490927,1988.33702626612,443,4,-439
"49","1994-01",0.0256388423562393,1591.14015859621,2958.67831243789,550,3,-547
"50","1994-02",0.0258343853368,1332.05650741962,2368.47836179206,335,17,-318
"51","1994-03",0.0260183697957675,1171.2948536768,1662.79030959412,215,38,-177
"52","1994-04",0.0261898137986451,1134.85869003395,1019.74613120068,74,142,68
"53","1994-05",0.0263516901121316,1395.32977718454,626.848062513596,6,236,230
"54","1994-06",0.0265017836364484,1837.3910316604,511.280826083186,0,448,448
"55","1994-07",0.0266407608308328,2210.76155129028,482.917526421658,0,474,474
"56","1994-08",0.0267686503937838,2064.55005499563,430.74555135607,0,462,462
"57","1994-09",0.0268854993648744,2097.75535745884,471.899718514044,1,329,328
"58","1994-10",0.0269918493289001,1583.42659013609,539.834788411525,47,158,111
"59","1994-11",0.0270882832285566,1281.60033071148,747.754571047256,116,47,-69
"60","1994-12",0.02717429280092,1214.80077491167,1489.08071050574,351,5,-346
"61","1995-01",0.0272496260291179,1445.34401143898,2400.19290599221,453,3,-450
"62","1995-02",0.0273314278243695,1282.13162868437,2216.60468147172,325,4,-321
"63","1995-03",0.0274193235863288,1232.49446714587,1660.59344479845,175,52,-123
"64","1995-04",0.0275118905846853,1157.58477778124,932.722467187937,55,100,45
"65","1995-05",0.0276110622383915,1527.91852996577,608.27720493875,4,329,325
"66","1995-06",0.0277151615525658,2077.33148012445,554.354337071129,0,403,403
"67","1995-07",0.0278246765368509,2272.48214685559,439.037233165588,0,547,547
"68","1995-08",0.0279401233909258,2278.05552732087,422.172216951617,0,580,580
"69","1995-09",0.0280608104075916,2515.64863218894,453.237570315512,4,390,386
"70","1995-10",0.0281876457769114,1759.51697191252,517.234992224917,42,128,86
"71","1995-11",0.0283222196373672,1214.26314368083,1095.3914529507,267,19,-248
"72","1995-12",0.0284640696231037,1295.0583216034,1846.05590088234,456,26,-430
"73","1996-01",0.0286128550755184,1685.03878077801,2959.34999278338,487,2,-485
"74","1996-02",0.0287018081358644,1491.27242345708,2564.8202255456,383,30,-353
"75","1996-03",0.0287303463153322,1352.71589792487,1872.02110001639,337,24,-313
"76","1996-04",0.0286982550075802,1173.59867181537,1286.0409594119,99,89,-10
"77","1996-05",0.028606812686992,1445.85554457283,638.675572478963,5,362,357
"78","1996-06",0.0284550981019322,2063.4148900252,492.742043279584,0,419,419
"79","1996-07",0.0282438081744701,2368.03008077403,453.513339738952,0,533,533
"80","1996-08",0.0279722289598168,2362.11979059803,456.136563824095,0,471,471
"81","1996-09",0.0276414504507309,2173.59715674896,457.26198767816,4,347,343
"82","1996-10",0.0272520195614063,1586.06244698889,523.379770608945,42,122,80
"83","1996-11",0.0268036161903906,1206.6321179931,873.991322698113,193,34,-159
"84","1996-12",0.0262980120838747,1262.96093810395,1536.36165118452,334,12,-322
"85","1997-01",0.0257338721915207,1624.32958179673,2436.6711371794,475,16,-459
"86","1997-02",0.0254360467027276,1448.05177910066,2306.88110615096,318,14,-304
"87","1997-03",0.0254036453078358,1254.172103067,1417.87481262854,90,65,-25
"88","1997-04",0.0256360461910929,1120.47699142311,907.206695274427,101,29,-72
"89","1997-05",0.0261341192260188,1240.83806309855,712.543864937059,3,238,235
"90","1997-06",0.0268967839534577,1805.49483329998,523.928331245336,0,407,407
"91","1997-07",0.0279240552448614,2274.23016069692,433.80921977284,0,548,548
"92","1997-08",0.0292145900195402,2458.99913544638,426.18469786127,0,512,512
"93","1997-09",0.0307696579530058,2406.1142281944,424.52309892431,0,413,413
"94","1997-10",0.0325892536470944,1948.6107076032,500.291830762617,83,172,89
"95","1997-11",0.0346736010514952,1312.64251002049,1035.92983810843,282,9,-273
"96","1997-12",0.0370225459965573,1375.08178127835,1973.91890887698,477,1,-476
"97","1998-01",0.0396341132746839,1562.91712246177,2311.78379587859,348,2,-346
"98","1998-02",0.0419877769565043,1324.01542527929,2059.65922759607,320,0,-320
"99","1998-03",0.0440824807474317,1291.95189384665,1745.11341587326,257,48,-209
"100","1998-04",0.0459156770442269,1216.76512841591,1005.57044106223,64,68,4
"101","1998-05",0.0474904351650572,1486.98172022759,610.367896940458,0,368,368
"102","1998-06",0.0488067783096915,2342.0138891147,449.58499759072,0,548,548
"103","1998-07",0.0498652672934946,2777.56413563714,439.442636123821,0,617,617
"104","1998-08",0.0506654112913646,2689.23766452058,393.401336976517,0,581,581
"105","1998-09",0.0512095257915418,2497.27965037421,425.932162730212,0,471,471
"106","1998-10",0.0514977878560094,2125.61856473229,442.410906027979,24,199,175
"107","1998-11",0.0515310542010302,1367.39456998958,670.206862410638,110,40,-70
"108","1998-12",0.0513100762357369,1356.14186703655,1237.19605161839,363,43,-320
"109","1999-01",0.0508320515475927,1653.20838646158,2303.447293807,347,18,-329
"110","1999-02",0.0503783101649133,1389.56986517848,1538.98665016359,228,28,-200
"111","1999-03",0.0499452056121712,1282.69755096265,1377.68907421123,194,6,-188
"112","1999-04",0.0495305405534751,1344.76988701928,951.477986555132,33,208,175
"113","1999-05",0.0491370578927074,1708.73967624974,571.737785217309,1,278,277
"114","1999-06",0.0487645641210094,2202.71593663821,481.461207422953,0,444,444
"115","1999-07",0.0484136747354832,2454.00844042917,443.718304733155,0,522,522
"116","1999-08",0.0480839734806237,2633.70447363413,415.079543636064,0,617,617
"117","1999-09",0.0477762708936642,2575.18892709961,419.223176676925,3,343,340
"118","1999-10",0.0474900406680309,1912.25704478382,482.047951520355,60,136,76
"119","1999-11",0.0472262499486624,1287.34860953541,720.732682454979,166,15,-151
"120","1999-12",0.0469834775141659,1316.17766679871,1454.42451244063,423,6,-417
"121","2000-01",0.0467584820866075,1621.86281786296,2154.15574370313,374,9,-365
"122","2000-02",0.0465695083456042,1500.64430929557,1906.4509600544,235,32,-203
"123","2000-03",0.0464117924510389,1318.15404802055,1090.04497029192,98,68,-30
"124","2000-04",0.0462817117876703,1271.88663093209,896.885536636883,61,79,18
"125","2000-05",0.0461832735545449,1553.30189925987,498.744284447286,0,380,380
"126","2000-06",0.046111784823384,2173.59711886232,438.427947230409,0,450,450
"127","2000-07",0.0460662053722311,2627.11400325802,416.031435021598,0,568,568
"128","2000-08",0.0460487778110981,2762.5096263203,391.409642954306,0,590,590
"129","2000-09",0.0460577636648872,2567.94195137044,413.22706422528,7,397,390
"130","2000-10",0.0460941852206165,1815.27928256237,531.379680553579,57,155,98
"131","2000-11",0.046159356004566,1416.19329166718,1025.32686318527,306,47,-259
"132","2000-12",0.0462521370755049,1688.11550800211,2292.37940191718,613,0,-613
"133","2001-01",0.0463750561976674,1973.90487427172,3107.24702698097,581,0,-581
"134","2001-02",0.0464901544653596,1506.1835395262,1987.71849459428,239,31,-208
"135","2001-03",0.0465964394511945,1266.23219164645,1163.32858318445,271,7,-264
"136","2001-04",0.0466939483812053,1302.19483547806,766.068026797691,33,183,150
"137","2001-05",0.0467843094896566,1516.1677334229,483.845942331384,0,293,293
"138","2001-06",0.0468661980217807,1929.42197370916,396.252858845256,0,408,408
"139","2001-07",0.0469413221436578,2348.49965405188,451.671500150854,0,531,531
"140","2001-08",0.0470089796209117,2503.98562260013,370.46512982077,0,506,506
"141","2001-09",0.047069407778697,2224.83844242166,385.27351911097,6,344,338
"142","2001-10",0.0471279868246842,1649.10616233123,540.55399410877,85,101,16
"143","2001-11",0.0471782682661045,1243.54264504519,806.596454540115,106,41,-65
"144","2001-12",0.0472232829454356,1358.98078674673,1407.17061123133,320,20,-300
"145","2002-01",0.0472631957057058,1847.04694967739,2169.03978039177,426,26,-400
"146","2002-02",0.0473135188738518,1563.7316204927,2033.15370163018,421,1,-420
"147","2002-03",0.0473755828303799,1524.77040442339,1697.01203634747,249,62,-187
"148","2002-04",0.0474465254600877,1375.87245047227,977.029498253977,30,190,160
"149","2002-05",0.0475268893339272,1784.01950898042,472.024654633359,7,295,288
"150","2002-06",0.0476164404483787,2067.3001523908,443.067636306405,0,423,423
"151","2002-07",0.0477169820988154,2415.30085097952,397.436206424636,0,536,536
"152","2002-08",0.0478270570060883,2570.25433517051,370.943528196778,0,519,519
"153","2002-09",0.0479466410518118,2563.78078687893,386.311686789375,0,422,422
"154","2002-10",0.0480772040888419,2048.17838612892,421.50906126951,20,212,192
"155","2002-11",0.0482192201445039,1405.93378530467,695.084422275801,259,18,-241
"156","2002-12",0.0483739246662902,1529.48016540503,1838.53045026821,419,3,-416
"157","2003-01",0.0485390415072464,1921.20238615815,2456.87739476358,575,0,-575
"158","2003-02",0.0487074299299251,1804.00796715263,2369.92041863706,370,1,-369
"159","2003-03",0.048875965154904,1484.48406430362,1382.45448452186,174,11,-163
"160","2003-04",0.0490432646162353,1314.05556620901,669.578350246242,56,115,59
"161","2003-05",0.0492095516908853,1711.31820475473,469.977498433504,0,371,371
"162","2003-06",0.0493688800562583,2223.73574208417,355.64120860794,0,439,439
"163","2003-07",0.0495266974326738,2459.6672172054,398.600146668259,0,499,499
"164","2003-08",0.0496849093578113,2577.94034827587,354.607462313434,0,536,536
"165","2003-09",0.0498445463758308,2521.33923296647,389.388404344834,1,345,344
"166","2003-10",0.0500049499119207,1887.30463499674,432.403340034824,29,133,104
"167","2003-11",0.0501669786191693,1435.67965363353,518.6987254656,148,78,-70
"168","2003-12",0.0503323945895628,1645.68232605932,1638.09815687629,480,0,-480
"169","2004-01",0.0504999105608588,1935.83058062568,2117.39593812043,446,8,-438
"170","2004-02",0.0506767612658868,1751.27954182031,2018.50704476278,432,0,-432
"171","2004-03",0.0508608912173521,1541.68848572755,1451.4697341617,88,51,-37
"172","2004-04",0.0510495670399936,1323.46650535826,720.263330657419,62,97,35
"173","2004-05",0.0512443688078713,1538.70479346708,490.665389411948,9,292,283
"174","2004-06",0.0514476792276833,2194.66772851446,396.416085418043,0,437,437
"175","2004-07",0.051657014926219,2515.34735455043,381.786788268033,0,517,517
"176","2004-08",0.0518714219101488,2599.11664493853,344.22902600607,0,465,465
"177","2004-09",0.0520915057466479,2478.06753124948,370.391041293477,0,406,406
"178","2004-10",0.052315614783222,2045.20622028885,378.856909808341,9,308,299
"179","2004-11",0.0525460586066582,1677.96456299523,478.207674685215,118,59,-59
"180","2004-12",0.0527803646088454,1542.54492763971,1154.52310665942,759,0,-759
"181","2005-01",0.0530162985516271,1898.08294471227,2024.89891990118,342,17,-325
"182","2005-02",0.0532663044660479,1645.43821146821,1637.06791129821,270,13,-257
"183","2005-03",0.0535241364668145,1426.85658457434,1254.81548587267,227,18,-209
"184","2005-04",0.053789008261027,1346.69802605468,689.407353810264,41,68,27
"185","2005-05",0.0540636379837754,1455.58298905036,448.92802164065,16,270,254
"186","2005-06",0.0543519677113703,2233.05959623502,375.638398508316,0,466,466
"187","2005-07",0.0546536111885758,2733.09953078294,349.240645171353,0,555,555
"188","2005-08",0.0549727249792683,2743.25537742565,342.950093993402,0,576,576
"189","2005-09",0.0553119342659564,2278.5031125012,222.461038686438,0,496,496
"190","2005-10",0.0556765371853885,2148.77580248803,423.124312511856,79,177,98
"191","2005-11",0.0560758393626257,1456.75480741042,698.311413885422,184,68,-116
"192","2005-12",0.0565091170609996,1568.04641474586,1419.18962047888,478,4,-474
"193","2006-01",0.0569884651412376,1806.17657163194,1493.79659404648,296,5,-291
"194","2006-02",0.0573716755696705,1604.96625594591,1354.47919295038,377,0,-377
"195","2006-03",0.0576619221164874,1566.84387315968,893.790752453512,149,48,-101
"196","2006-04",0.0578561435981501,1523.33986569907,565.721424931105,10,172,162
"197","2006-05",0.0579574566560873,1705.0221874102,350.284924976945,1,268,267
"198","2006-06",0.0579640079084605,2256.14326933241,357.481366162118,0,443,443
"199","2006-07",0.0578779887418843,2752.84379676037,322.035425639493,0,503,503
"200","2006-08",0.0577022512114315,2846.4213283424,314.91365135475,0,546,546
"201","2006-09",0.0574348030944142,2599.2080099774,318.931889427086,0,332,332
"202","2006-10",0.0570807124897193,1964.29306716706,359.439254048464,45,151,106
"203","2006-11",0.0566400831864032,1519.7163585058,799.973007203919,231,18,-213
"204","2006-12",0.0561106368323877,1753.83832106158,1349.32559888495,383,1,-382
"205","2007-01",0.0554976015238198,1936.33554651152,1983.89050696193,456,7,-449
"206","2007-02",0.0549592497924766,1988.51072945488,1611.32396126157,398,0,-398
"207","2007-03",0.0544892872236291,1619.41366209025,1130.14421198991,118,56,-62
"208","2007-04",0.0540803265414069,1425.23885176714,603.926899874716,102,74,-28
"209","2007-05",0.0537313040471935,1637.08903679941,463.107590142011,0,258,258
"210","2007-06",0.0534370275007793,2094.99122554091,354.39313125761,0,438,438
"211","2007-07",0.0531949534586108,2481.18131950168,319.8578112976,0,461,461
"212","2007-08",0.0530040741065132,2697.22101171703,314.119549041616,0,561,561
"213","2007-09",0.0528628516356805,2652.91955659497,302.659743527923,0,401,401
"214","2007-10",0.052771244648606,2068.13833475924,374.724355442272,56,190,134
"215","2007-11",0.0527265001815483,1519.36175501437,616.837021664794,193,28,-165
"216","2007-12",0.0527292758908591,1623.09296555872,1154.89077695351,307,34,-273
"217","2008-01",0.0527798008160035,2035.67729364196,1844.84661111504,506,5,-501
"218","2008-02",0.0528228209331418,1898.42056050066,1394.87307025376,301,9,-292
"219","2008-03",0.0528571162171218,1544.8968501303,1065.43011835729,198,37,-161
"220","2008-04",0.0528844789202941,1445.9427067814,593.596808869074,60,106,46
"221","2008-05",0.0529007260311409,1602.26192886559,468.748600924361,1,304,303
"222","2008-06",0.052908608115066,2336.45088195766,335.307796085271,0,462,462
"223","2008-07",0.052906507770918,2608.70850858465,287.49802029434,0,523,523
"224","2008-08",0.0528942878431655,2678.923904815,296.523196758732,0,476,476
"225","2008-09",0.0528733943483453,2219.47522662338,322.023303889032,0,309,309
"226","2008-10",0.0528439972302228,1761.85145952325,398.859109704817,76,110,34
"227","2008-11",0.0528057228834328,1433.53230171472,697.393849883151,246,4,-242
"228","2008-12",0.0527597947878053,1763.5883087118,1341.076299273,361,18,-343
"229","2009-01",0.0527029262048125,2002.1519979468,1689.25446991054,422,5,-417
"230","2009-02",0.0526795536052814,1798.99950583132,1343.47199975671,265,9,-256
"231","2009-03",0.0526869189275737,1599.49293811563,982.459164145681,160,38,-122
"232","2009-04",0.0527263017113624,1415.91533969548,591.102369205975,72,94,22
"233","2009-05",0.0527953372816094,1675.99686494232,406.204087717899,1,286,285
"234","2009-06",0.0528941431068609,2174.00471768289,342.267686170774,0,481,481
"235","2009-07",0.0530222572023933,2893.8143956566,299.602399711241,0,521,521
"236","2009-08",0.0531796657850096,2669.12366669313,302.679658768615,0,481,481
"237","2009-09",0.0533645620306243,2361.47762185404,297.319521887488,0,372,372
"238","2009-10",0.0535788584246066,1997.70714954901,408.06821763531,79,158,79
"239","2009-11",0.0538220631394039,1475.19799531036,638.839544689737,205,1,-204
"240","2009-12",0.0540957116987265,1773.58890182448,1492.0818797927,485,1,-484
"241","2010-01",0.0543950669802955,2509.62424876062,2301.73585770189,597,2,-595
"242","2010-02",0.0546274170142694,2109.94898653449,1945.94544004932,549,0,-549
"243","2010-03",0.054792978488739,1945.99292190868,1661.27801872672,315,3,-312
"244","2010-04",0.0548903980868707,1417.32557459949,654.820877959033,22,82,60
"245","2010-05",0.0549197736507277,1647.58131806255,348.313322013385,1,372,371
"246","2010-06",0.0548812045983873,2447.31611062722,316.396721522055,0,525,525
"247","2010-07",0.0547729017719858,2829.74971269283,288.34659942964,0,552,552
"248","2010-08",0.0545949565076687,2923.06821396285,273.652161717653,0,587,587
"249","2010-09",0.0543474432788179,2643.72835287836,288.187864315767,0,432,432
"250","2010-10",0.0540312631396051,2026.80330332763,337.358579656354,31,132,101
"251","2010-11",0.0536489621287029,1506.29920067346,642.12640474248,192,34,-158
"252","2010-12",0.0531983736743502,1877.77170606337,1783.07479793697,510,1,-509
"253","2011-01",0.0526776513959459,2346.29971191389,2144.33828577197,559,0,-559
"254","2011-02",0.0522163138515544,2174.46229172936,1753.47271651744,361,25,-336
"255","2011-03",0.05181288022976,1592.96744548064,955.96285835492,125,52,-73
"256","2011-04",0.0514637272656903,1523.49591723095,470.209071241914,24,185,161
"257","2011-05",0.0511713462003537,1757.02016269285,382.962290322875,12,289,277
"258","2011-06",0.0509358157552062,2452.33942611418,327.708164780909,0,544,544
"259","2011-07",0.0507541730326826,2887.96721678511,291.154631757199,0,571,571
"260","2011-08",0.0506284901555424,2866.62580099321,276.835558779393,0,643,643
"261","2011-09",0.0505571328510958,2598.96556989333,302.179111837686,0,328,328
"262","2011-10",0.0505428947911861,1838.34325861019,399.225896659525,74,95,21
"263","2011-11",0.0505854341870559,1430.01308670523,694.730703237842,189,48,-141
"264","2011-12",0.0506831033593686,1731.09357217952,1321.50223493945,385,4,-381
"265","2012-01",0.050835302733085,1966.9872127555,1334.83662279265,293,9,-284
"266","2012-02",0.050952373113179,1625.23613012042,1066.23723607974,252,12,-240
"267","2012-03",0.0510288838816755,1536.59941335719,695.779352041889,45,125,80
"268","2012-04",0.0510673742698804,1504.05407207244,401.924165650327,15,135,120
"269","2012-05",0.0510676947164214,1742.37242847058,345.786410951419,0,342,342
"270","2012-06",0.0510277879060107,2353.73701999341,296.981143821804,0,459,459
"271","2012-07",0.0509485410069833,2685.49799981482,299.653558229556,0,524,524
"272","2012-08",0.0508291107211462,2689.8288762902,291.521127866721,0,504,504
