"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0226870806415057,5177.50940531034,97.2732477074173,1242,0,-1242
"2","1990-02",0.0226735603682585,4291.29913584979,76.7294560511362,1275,0,-1275
"3","1990-03",0.0226513750007764,4194.99212918596,73.1414932838183,1092,0,-1092
"4","1990-04",0.0226180766969367,3748.43566078065,59.7383847185194,701,0,-701
"5","1990-05",0.0225776355960874,3374.48211464048,42.7825776890287,444,0,-444
"6","1990-06",0.0225284654474836,3207.07245698797,26.7289373706939,109,19,-90
"7","1990-07",0.0224711826382964,3527.00071586338,17.8124848066996,23,126,103
"8","1990-08",0.0224054163297868,3785.98708533202,16.9150838913462,26,130,104
"9","1990-09",0.0223314492463235,3526.41163690362,19.5779172897353,232,4,-228
"10","1990-10",0.0222495710760945,3137.91259027547,24.0178136060784,479,0,-479
"11","1990-11",0.022161388070856,3501.14061156122,49.7986525477917,828,0,-828
"12","1990-12",0.0220653831927737,4087.83847416737,73.7856441845071,1128,0,-1128
"13","1991-01",0.0219618836536737,4774.66206569036,94.2051396143719,1514,0,-1514
"14","1991-02",0.021871819198547,4290.49915083675,93.2898246769696,1175,0,-1175
"15","1991-03",0.0217964466154065,4025.61783722279,83.4979199212935,1022,0,-1022
"16","1991-04",0.0217342550302541,3593.19801324835,67.4933626460363,662,0,-662
"17","1991-05",0.021684844402029,3194.43124719792,40.8407743514284,282,6,-276
"18","1991-06",0.021648132823852,3256.71408669335,28.4028719164489,100,59,-41
"19","1991-07",0.0216281497804666,3653.11884245601,21.2994418465682,29,110,81
"20","1991-08",0.0216217012813283,3672.61877555234,16.860094004525,32,117,85
"21","1991-09",0.0216292638923946,3451.43828164125,23.0697835842282,269,6,-263
"22","1991-10",0.0216514405643439,3160.52573688707,31.9420638255856,517,0,-517
"23","1991-11",0.0216886446930852,3521.69051852058,49.6905188906345,827,0,-827
"24","1991-12",0.0217411707038351,4222.44499654434,90.521365969538,1374,0,-1374
"25","1992-01",0.0218080370782978,4870.52565969215,113.617898229566,1475,0,-1475
"26","1992-02",0.0218677145753932,4516.51991734064,123.403175818213,1319,0,-1319
"27","1992-03",0.0219194058393524,4216.20292083183,108.322676616327,1215,0,-1215
"28","1992-04",0.0219626119004594,3797.48628718831,85.2398011029911,793,0,-793
"29","1992-05",0.0219982093174371,3349.70452630185,58.6013916972417,418,13,-405
"30","1992-06",0.0220259341256408,3195.84654238492,32.849938117535,104,15,-89
"31","1992-07",0.02204611680637,3367.73835051078,21.3056859226203,74,28,-46
"32","1992-08",0.0220579105411345,3363.68633441587,19.5264974033137,42,45,3
"33","1992-09",0.0220627115181685,3361.65273390859,15.0855581083597,229,12,-217
"34","1992-10",0.0220601825594213,3314.96609673614,36.374229427003,644,0,-644
"35","1992-11",0.0220508675966477,3647.51575206082,62.0873002564411,932,0,-932
"36","1992-12",0.0220346921739856,4327.88442968991,98.4279059643078,1243,0,-1243
"37","1993-01",0.0220109919606823,4794.81323141878,127.652937841893,1444,0,-1444
"38","1993-02",0.0219962811295737,4480.57971380755,135.60055155474,1522,0,-1522
"39","1993-03",0.0219899301442918,4458.80787415275,101.016647897169,1193,0,-1193
"40","1993-04",0.0219911250559145,3837.76645288235,62.9020680707177,705,0,-705
"41","1993-05",0.0220004229844995,3171.17442451045,33.6604660738115,347,0,-347
"42","1993-06",0.0220175259587848,3102.10634219684,26.5701125996419,125,35,-90
"43","1993-07",0.0220426436312641,3730.13607063453,19.4823021678575,25,102,77
"44","1993-08",0.0220754945008519,3661.39073166588,19.4800494593612,15,93,78
"45","1993-09",0.0221168882160192,3603.32006114154,23.9056840833402,223,9,-214
"46","1993-10",0.0221666540363808,3298.78248984695,54.8928737599216,686,0,-686
"47","1993-11",0.0222256147700199,3600.34315255589,77.9159955313481,870,0,-870
"48","1993-12",0.0222932287076339,4155.38791534584,114.228719962853,1234,0,-1234
"49","1994-01",0.022369210826671,5006.97726367721,151.439636167726,1774,0,-1774
"50","1994-02",0.0224414760208044,4676.00441159969,119.579253493605,1427,0,-1427
"51","1994-03",0.0225082390014597,4480.99643624421,102.764913330406,1109,0,-1109
"52","1994-04",0.0225687453480409,3695.12946759305,61.1325609802719,727,0,-727
"53","1994-05",0.022625354741132,3205.15072758068,43.4183763840604,446,0,-446
"54","1994-06",0.0226763355120623,3257.67796242019,28.3573465356561,78,67,-11
"55","1994-07",0.0227222261606878,4113.91085985604,20.3833751599091,0,181,181
"56","1994-08",0.0227630623035565,4105.9309546986,19.4983949150022,47,59,12
"57","1994-09",0.0227988935345378,3486.22810205955,26.59020058205,243,0,-243
"58","1994-10",0.0228301529392907,3227.32521181794,45.2063289938703,536,0,-536
"59","1994-11",0.0228573028763938,3362.46003364799,69.145781302563,793,0,-793
"60","1994-12",0.0228799600358231,4061.62089029109,103.730144955057,1191,0,-1191
"61","1995-01",0.0228979428279386,4717.59692287327,115.269152039917,1332,0,-1332
"62","1995-02",0.0229269481443743,4331.29139579832,123.260754027152,1379,0,-1379
"63","1995-03",0.0229667077962769,4122.34338808146,99.3236965054719,1072,0,-1072
"64","1995-04",0.0230161393399973,3524.46537145888,71.8304981372944,816,0,-816
"65","1995-05",0.0230767358745058,3207.40270608601,42.5644109761069,419,0,-419
"66","1995-06",0.0231472021836064,3459.49774625589,24.8263721954182,81,64,-17
"67","1995-07",0.0232279002378241,4009.02893230112,21.2760867722605,9,139,130
"68","1995-08",0.0233192037460748,4295.72369605171,21.2715824565519,36,95,59
"69","1995-09",0.0234205487419672,3393.87296001762,27.4682470232926,313,3,-310
"70","1995-10",0.0235325912094066,3190.25544888615,42.5183557837129,450,0,-450
"71","1995-11",0.0236565023970973,3628.74909739379,85.8974202875013,955,0,-955
"72","1995-12",0.0237918670109095,4646.51608135265,133.677457397258,1386,0,-1386
"73","1996-01",0.0239383529468594,5136.1360429333,140.716504860251,1513,0,-1513
"74","1996-02",0.0240481526000165,4425.86148909553,126.51867925753,1325,0,-1325
"75","1996-03",0.0241208027372007,4140.32320922175,121.172731892165,1167,0,-1167
"76","1996-04",0.024156116006586,3674.98487864468,71.6186543130337,716,0,-716
"77","1996-05",0.0241550563582289,3293.59323235008,43.3113603514098,442,0,-442
"78","1996-06",0.0241168811970082,3498.94729640515,25.6248988510729,104,22,-82
"79","1996-07",0.0240420990460597,3908.68403129115,22.0833474452337,25,44,19
"80","1996-08",0.0239301135605243,3841.45354500334,20.3097390217116,27,69,42
"81","1996-09",0.023781738417863,3535.37631886093,24.716733019008,211,13,-198
"82","1996-10",0.023597370085052,3472.02132640814,59.1256604428471,615,0,-615
"83","1996-11",0.023376719208703,3705.24436353304,92.632756202852,964,0,-964
"84","1996-12",0.0231211774327766,4509.70576072787,105.84302594021,1065,0,-1065
"85","1997-01",0.0228296522121619,4915.60467233501,146.388262898424,1486,0,-1486
"86","1997-02",0.0226851454327106,4217.52030577707,117.266432636116,1213,0,-1213
"87","1997-03",0.0226869264623691,3975.35417002763,125.178191733007,1224,0,-1224
"88","1997-04",0.0228345138455358,3719.63541103905,74.9142235976136,786,0,-786
"89","1997-05",0.0231286850770752,3261.24805794647,49.3448508631731,502,0,-502
"90","1997-06",0.0235686539393039,3656.26283122059,29.9524054844212,124,48,-76
"91","1997-07",0.0241545619218641,4035.3881629399,18.4955170687707,16,105,89
"92","1997-08",0.0248855044975899,3970.2956995148,22.8926854682202,48,56,8
"93","1997-09",0.0257626693529676,3532.60313181966,26.4074431552396,238,0,-238
"94","1997-10",0.0267862185997371,3387.45602513544,58.0818256245601,616,0,-616
"95","1997-11",0.0279564835835839,3700.66430697909,94.142700137332,956,0,-956
"96","1997-12",0.0292735073588708,4690.49176427226,124.914625697712,1279,0,-1279
"97","1998-01",0.0307360448786874,4887.49554780882,133.686531570508,1363,0,-1363
"98","1998-02",0.0320603649947141,4140.48777849454,111.686235619434,1070,0,-1070
