"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0286922053723429,1760.96050712013,3158.36140746588,742,0,-742
"2","1990-02",0.0286651077807277,1216.66750150743,2063.94225849563,631,0,-631
"3","1990-03",0.0286297634581239,1209.4701917893,2022.07926803906,554,18,-536
"4","1990-04",0.028577092565598,1096.21773596162,1575.39313624202,348,36,-312
"5","1990-05",0.0285218132963832,912.993675629204,816.11479669601,114,23,-91
"6","1990-06",0.0284580324747746,943.757512510099,609.217994356026,8,230,222
"7","1990-07",0.0283880190827187,1390.66233174033,504.170478447507,0,374,374
"8","1990-08",0.0283103872605332,1407.48147727881,453.971462062644,1,278,277
"9","1990-09",0.0282261674371854,1263.72611848871,472.37770125302,65,126,61
"10","1990-10",0.0281364131768623,912.906756694917,609.332008562809,202,63,-139
"11","1990-11",0.028047038504067,959.635423430986,1100.86354340875,467,0,-467
"12","1990-12",0.027952427747576,1263.04662818443,1844.17300403524,732,0,-732
"13","1991-01",0.0278537779577927,1474.26346426415,2694.79883290101,942,0,-942
"14","1991-02",0.0277626670256819,1346.77064249856,2341.24832597788,688,0,-688
"15","1991-03",0.0276837880723524,1216.67277000837,2046.85909142881,582,1,-581
"16","1991-04",0.0276115925858309,1006.66399906649,1339.97228010912,287,25,-262
"17","1991-05",0.0275446367156864,1029.21331605989,724.73128113835,40,207,167
"18","1991-06",0.0274826552508953,1281.95641798651,524.225562577043,4,278,274
"19","1991-07",0.0274405134519634,1545.35273485718,491.177714290115,0,433,433
"20","1991-08",0.0274064277865352,1525.59345850462,458.614174429632,0,383,383
"21","1991-09",0.0273821427789768,1222.17485293805,487.473300274853,61,160,99
"22","1991-10",0.0273698407973202,1008.09860504357,831.828174924759,248,23,-225
"23","1991-11",0.0273709789635824,1091.89788164815,1491.85831185371,558,1,-557
"24","1991-12",0.0273865514965295,1298.1303653971,2241.6689747621,777,0,-777
"25","1992-01",0.0274128965870537,1539.42480831142,2798.35281031483,906,0,-906
"26","1992-02",0.0274381296736518,1442.66614078817,2603.73609112411,761,0,-761
"27","1992-03",0.0274594044498946,1287.55409601949,2182.96372611574,701,0,-701
"28","1992-04",0.0274749688290952,1106.92039393092,1590.97088102873,347,5,-342
"29","1992-05",0.0274880215619101,933.244053773648,898.881091831478,174,33,-141
