"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0318702678982332,263.779360167773,3635.0241994664,985,0,-985
"2","1990-02",0.0318372393351606,230.333167964159,2842.34050891008,966,0,-966
"3","1990-03",0.0317955405135414,227.977770172414,2692.38660254057,849,0,-849
"4","1990-04",0.0317396759347535,199.817808902558,2100.71056430401,580,3,-577
"5","1990-05",0.0316784952315484,178.217316269782,1298.1847225189,356,0,-356
"6","1990-06",0.0316084203014117,167.642756091934,882.545149732199,50,72,22
"7","1990-07",0.0315307949921535,168.211498297065,570.262694968073,7,202,195
"8","1990-08",0.0314447546717615,177.205697777769,475.323643774182,10,199,189
"9","1990-09",0.0313508934804691,168.440435094188,539.378989024749,143,42,-101
"10","1990-10",0.031249820810875,167.231324669444,672.271064973138,312,17,-295
"11","1990-11",0.031145100929513,184.718456877907,1392.25488325333,639,0,-639
"12","1990-12",0.031033301821056,218.795297975185,2195.75643706603,892,0,-892
"13","1991-01",0.0309151223178638,241.720425381875,2947.27204390564,1206,0,-1206
"14","1991-02",0.0308129457980178,228.407786842747,3007.66088832803,925,0,-925
"15","1991-03",0.0307297487188474,218.662670452631,2655.74238130107,820,0,-820
"16","1991-04",0.0306622472419991,189.960390706305,2005.53635067838,483,2,-481
"17","1991-05",0.0306096395048536,169.861654780591,1145.7675550885,156,48,-108
"18","1991-06",0.0305718277835084,160.521167071786,681.421570727028,42,97,55
"19","1991-07",0.0305580298910137,167.841655913415,546.248574707883,11,187,176
"20","1991-08",0.0305610736843571,174.198850390535,493.611321883732,3,191,188
"21","1991-09",0.0305820893573538,168.106035839916,550.429123198085,167,40,-127
"22","1991-10",0.0306224818241883,170.648506241004,814.503915108167,367,2,-365
"23","1991-11",0.030683211363093,178.683399418342,1463.47699671813,695,0,-695
"24","1991-12",0.0307649522461647,221.952816931347,2331.43932420181,1024,0,-1024
"25","1992-01",0.0308654598288342,240.636460808955,3192.49295722753,1176,0,-1176
"26","1992-02",0.030954053093042,246.26320024881,3459.19825833591,1056,0,-1056
"27","1992-03",0.031028945315959,215.667308799345,3032.09450426915,1006,0,-1006
"28","1992-04",0.0310890266816692,194.724173636899,2428.15428819032,652,0,-652
"29","1992-05",0.0311363148201963,177.272952513971,1537.40859939707,316,16,-300
"30","1992-06",0.0311702308349754,160.705137930313,874.603521963928,57,48,-9
"31","1992-07",0.0311915455252103,163.160955736124,626.182490985608,21,105,84
"32","1992-08",0.0311983515348201,170.761149949889,580.685397060121,24,105,81
"33","1992-09",0.0311938366846162,164.980012322609,610.615996059411,150,45,-105
"34","1992-10",0.0311772460792852,169.278770585955,967.93720172915,524,0,-524
"35","1992-11",0.0311498228554035,183.169181780747,1821.60751679158,769,0,-769
"36","1992-12",0.0311114026881059,213.69170707196,2569.65785376751,1058,0,-1058
"37","1993-01",0.0310604818128677,247.678314142311,3299.13531488311,1133,0,-1133
"38","1993-02",0.03103030449799,226.257214477192,3547.30292829335,1216,0,-1216
"39","1993-03",0.0310194540657861,226.447839618848,3306.94958386063,1014,0,-1014
"40","1993-04",0.0310260936678541,196.750023383572,2384.26846718269,565,0,-565
"41","1993-05",0.0310514886387843,171.518420345755,1313.73098295665,208,3,-205
"42","1993-06",0.0310949621857615,167.673126596172,807.210701858571,68,98,30
"43","1993-07",0.0311569837058717,170.442865477178,632.518748826788,2,214,212
"44","1993-08",0.0312369041026405,178.262534846703,557.309217240376,5,187,182
"45","1993-09",0.0313365483640977,169.740214412987,592.542392686908,155,59,-96
"46","1993-10",0.0314555141795122,176.060943843289,1054.51727778855,505,0,-505
"47","1993-11",0.0315956595821921,181.551949460012,1837.17660487408,719,0,-719
"48","1993-12",0.0317557360908663,206.96448887612,2591.404779078,1070,0,-1070
"49","1994-01",0.031935072305438,242.598450870742,3870.42394480432,1466,0,-1466
"50","1994-02",0.0321023006958653,217.749645653766,4047.32401316863,1200,0,-1200
"51","1994-03",0.032253340581874,208.942983209958,3252.61224680026,946,0,-946
"52","1994-04",0.032386459105787,187.830104271806,2031.51509008867,516,0,-516
"53","1994-05",0.0325070826238721,159.542342282184,1150.61473937891,311,6,-305
"54","1994-06",0.0326112425037332,167.80941289443,787.703406278268,28,133,105
"55","1994-07",0.0327001879672637,166.900714229274,550.084986292494,0,303,303
"56","1994-08",0.032774014974114,174.551200397334,501.751407569783,30,131,101
"57","1994-09",0.0328328535540008,159.529557877662,558.930721013877,135,7,-128
"58","1994-10",0.0328777169406418,161.605809685894,929.114184936074,443,0,-443
"59","1994-11",0.0329096840359155,165.244036094437,1440.50054075148,607,0,-607
"60","1994-12",0.0329278889517906,191.523714991294,2446.6331802631,951,0,-951
"61","1995-01",0.0329319312157085,217.821299559447,2859.23880753649,1025,0,-1025
"62","1995-02",0.0329606597758644,200.572654447077,3124.5144832915,1121,0,-1121
"63","1995-03",0.0330134261790958,206.844461443225,2703.35569963916,856,0,-856
"64","1995-04",0.0330877314913742,167.790146200058,1970.20974405966,633,0,-633
"65","1995-05",0.033186979298117,163.639591872288,1110.98629145753,319,4,-315
