"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0249003864834238,1017.08002212319,6509.21900615281,1035,0,-1035
"2","1990-02",0.0248876724264153,808.561202089864,5604.17183187902,1033,0,-1033
"3","1990-03",0.0248654002464275,823.586201021865,5052.76172203982,866,0,-866
"4","1990-04",0.0248313636432981,751.568654611269,3674.91544802681,546,31,-515
"5","1990-05",0.0247891585528759,714.022894531403,2240.12511168021,321,3,-318
"6","1990-06",0.0247373635830953,746.129313566117,1288.52556768107,48,98,50
"7","1990-07",0.0246765505275303,846.768503502159,903.045510739499,9,169,160
"8","1990-08",0.0246064021975588,852.361253066896,957.434847718265,17,129,112
"9","1990-09",0.024527194788227,853.891717206178,1082.2903538628,152,67,-85
"10","1990-10",0.0244392134697983,741.686548339736,2077.76713952146,476,5,-471
"11","1990-11",0.024343934008573,770.341061790265,3416.54970552555,681,0,-681
"12","1990-12",0.0242400151848381,864.115684568803,5212.45075568861,1089,0,-1089
"13","1991-01",0.0241277834166808,1031.56595166783,7089.33312916668,1338,0,-1338
"14","1991-02",0.0240362866820436,821.176678615422,5736.57606027986,1008,0,-1008
"15","1991-03",0.0239666184887039,811.263055285816,5066.13166033332,851,0,-851
"16","1991-04",0.0239173767042116,764.931631974147,3352.13021155888,465,8,-457
"17","1991-05",0.023888158732676,752.464232318653,2148.47596740861,169,130,-39
"18","1991-06",0.0238788462920423,896.628582521487,1152.26122701293,21,172,151
"19","1991-07",0.0238930323592111,976.077210959598,868.633693824875,6,215,209
"20","1991-08",0.0239277915911673,903.142599070777,757.544966140094,7,175,168
"21","1991-09",0.0239835094402236,864.705830721357,1067.24929936783,213,67,-146
"22","1991-10",0.0240606871729515,747.520606048649,2121.11000151076,400,3,-397
"23","1991-11",0.0241596566712266,785.735376017817,3829.73583168284,885,0,-885
"24","1991-12",0.0242806439767045,899.01776860474,5631.79824067009,1104,0,-1104
"25","1992-01",0.0244227139371245,1017.48140996178,6470.30001979097,1209,0,-1209
"26","1992-02",0.0245499081113231,838.249167935267,6026.61105271185,1049,0,-1049
"27","1992-03",0.0246615363291069,834.867732902995,5333.73987872861,994,0,-994
"28","1992-04",0.0247571752303877,779.305684125683,4162.56406866936,648,0,-648
"29","1992-05",0.0248376586932062,733.500450166599,2460.90236143975,283,23,-260
"30","1992-06",0.0249027756271671,731.264697931115,1361.49727508278,106,47,-59
"31","1992-07",0.0249528577650905,784.908313083188,1000.86502753967,32,84,52
"32","1992-08",0.0249871541146992,795.042376887367,986.794886708689,70,70,0
"33","1992-09",0.0250069710758833,771.368969005124,1075.0953929017,182,43,-139
"34","1992-10",0.0250120213953203,758.436544792596,2375.13749126763,527,0,-527
"35","1992-11",0.0250028242980449,789.174165803948,3901.5913389453,823,0,-823
"36","1992-12",0.024979327925627,925.264936083518,5731.03648088472,1083,0,-1083
"37","1993-01",0.02494093633558,981.272186609944,6779.1301975958,1218,0,-1218
"38","1993-02",0.0249319861224714,832.446305813195,6531.31653332741,1224,0,-1224
"39","1993-03",0.0249518658591008,867.359602881688,6205.96251420638,1040,0,-1040
"40","1993-04",0.0249997931191894,742.659680648387,3986.7181354998,622,0,-622
"41","1993-05",0.0250762419503425,695.781103278349,2073.51357693087,241,9,-232
"42","1993-06",0.025180898436017,749.050918199739,1300.52398722593,81,80,-1
"43","1993-07",0.0253139142205966,976.358301190198,973.89759444954,3,231,228
"44","1993-08",0.0254749839959525,1017.99645087276,815.878170857556,14,202,188
"45","1993-09",0.0256648176920063,783.48947723259,1135.03724106242,250,11,-239
"46","1993-10",0.0258832160157951,740.563418573238,2532.01167712531,530,2,-528
"47","1993-11",0.0261309180322505,787.71757353547,3891.93247923555,829,0,-829
"48","1993-12",0.0264073807679549,938.746825797773,5734.37668871408,1154,0,-1154
"49","1994-01",0.0267122947323058,1107.38764292643,8250.08434696678,1582,0,-1582
"50","1994-02",0.0269806079494572,906.643018855713,7395.58375158934,1298,0,-1298
"51","1994-03",0.027210631247515,497.485856773554,5708.52231225621,982,0,-982
"52","1994-04",0.0274016531925619,769.688095635716,3767.65027774653,539,9,-530
"53","1994-05",0.0275560134833191,747.051757819605,2281.73060662707,329,23,-306
"54","1994-06",0.0276720670357248,873.978632703464,1117.28826835356,53,137,84
"55","1994-07",0.0277503919262362,1056.44937600445,829.030254201268,7,175,168
"56","1994-08",0.0277910813785966,940.982760355533,849.152530279455,49,89,40
