"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0276231037106497,1271.95078418938,4702.20791836394,1318,0,-1318
"2","1990-02",0.0275971455892411,1088.34001515456,3976.94957965705,1297,0,-1297
"3","1990-03",0.0275656553392158,1025.46214474928,3353.88840737486,1016,0,-1016
"4","1990-04",0.0275196866831647,961.429210761434,2352.05903350521,642,18,-624
"5","1990-05",0.0274736965784145,874.620055729421,1367.557054211,363,2,-361
"6","1990-06",0.0274218737497214,888.071629091612,812.801892337564,52,102,50
"7","1990-07",0.0273664370579306,1065.09305449197,584.375370894771,14,135,121
"8","1990-08",0.0273060095498033,993.210608371912,561.407372589216,27,128,101
"9","1990-09",0.027241595124009,1042.93377000021,644.476520532785,184,63,-121
"10","1990-10",0.0271742252637118,900.170452879367,1378.46453263105,628,0,-628
"11","1990-11",0.0271097429021139,943.35305364449,2442.21733561077,925,0,-925
"12","1990-12",0.0270426097152247,1138.1131417325,4215.3638402025,1584,0,-1584
"13","1991-01",0.0269740165862914,1362.4900541968,5612.7983239357,1752,0,-1752
"14","1991-02",0.0269258957830696,1115.4276787192,3950.7529407831,1210,0,-1210
"15","1991-03",0.0269029248885093,1037.3348271409,3491.52379398732,1063,0,-1063
"16","1991-04",0.0268995953973301,939.172835910968,2044.93174724578,550,3,-547
"17","1991-05",0.0269144372288587,913.058723693574,1383.77390303617,240,71,-169
"18","1991-06",0.0269471281596027,998.533501336764,685.252807170954,20,146,126
"19","1991-07",0.0270125943540413,1123.49130110978,562.376535328664,16,149,133
"20","1991-08",0.0270989954058774,1036.70259386104,553.337686135932,15,156,141
"21","1991-09",0.0272080592943124,1041.5945176527,788.773307944355,265,29,-236
"22","1991-10",0.0273419907859602,908.661329534132,1620.47305987453,655,0,-655
"23","1991-11",0.0275022940985332,1048.86907921164,3431.37013781451,1261,0,-1261
"24","1991-12",0.0276900316244884,1204.76462857832,4505.97078714016,1448,0,-1448
"25","1992-01",0.0279014375085667,1223.91414888042,4592.01200295494,1439,0,-1439
"26","1992-02",0.0280848554304063,1102.0763074845,3862.70249772167,1174,0,-1174
"27","1992-03",0.0282373520671308,1009.80169520012,3400.0377827293,1061,0,-1061
"28","1992-04",0.028357104707058,966.117756297384,2519.76688540337,741,0,-741
"29","1992-05",0.028447536669336,884.617680043345,1244.34588248239,236,32,-204
"30","1992-06",0.0285077320595327,880.046821715259,757.609144583021,116,47,-69
"31","1992-07",0.0285390407399448,927.284555079405,653.374472547975,87,24,-63
"32","1992-08",0.028538325263755,919.186697814549,609.896796629249,102,55,-47
"33","1992-09",0.0285109907238624,889.056933750365,728.93190609169,248,5,-243
"34","1992-10",0.0284558268961693,927.827684976486,1554.43736367764,619,0,-619
"35","1992-11",0.0283749559323023,1008.54540258317,3095.99042808407,1088,0,-1088
"36","1992-12",0.0282681358039015,1216.21638743541,4461.17137466273,1494,0,-1494
"37","1993-01",0.0281329058193057,1309.46899634065,5379.09909466603,1692,0,-1692
"38","1993-02",0.0280304736599852,1014.01353159785,4486.56530566705,1429,0,-1429
"39","1993-03",0.0279584180661625,1063.36282511437,3928.16833002146,1189,0,-1189
"40","1993-04",0.0279136599897044,936.405207175604,2584.65811643014,719,0,-719
