"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0173965351143452,3026.39824019209,2541.9458104209,467,0,-467
"2","1990-02",0.0173942431203916,2477.28401868082,1386.8342579033,297,10,-287
"3","1990-03",0.0173931360385247,2306.27304144007,1170.95855390923,250,28,-222
"4","1990-04",0.0173898026570858,2161.60791675992,923.969793849861,142,60,-82
"5","1990-05",0.0173897346748888,1886.55769478746,530.26996914345,21,182,161
"6","1990-06",0.0173907139662014,2432.87489446121,386.001168712808,0,411,411
"7","1990-07",0.0173935815100778,3215.74578695286,355.690518391719,0,459,459
"8","1990-08",0.0173978022408054,3082.8190231051,338.36508918451,0,488,488
"9","1990-09",0.0174037530053906,2902.56975577403,333.596175648921,10,375,365
"10","1990-10",0.0174118250841,2152.43844325856,396.109234124955,161,95,-66
"11","1990-11",0.0174242849531945,2073.31764862486,864.628001702799,247,12,-235
"12","1990-12",0.0174389909613185,2525.1492765987,1260.20427855647,462,9,-453
"13","1991-01",0.0174564061557797,3334.2602548199,1931.96745801924,628,0,-628
"14","1991-02",0.01747907933016,2671.56573139065,1814.44200796703,416,0,-416
"15","1991-03",0.0175088395514544,2392.02344592204,1414.19210243385,267,33,-234
"16","1991-04",0.01754351537975,1954.53069383314,793.518540428933,53,85,32
"17","1991-05",0.0175825155918204,2178.27206743005,465.501793033899,5,279,274
"18","1991-06",0.0176257048298016,2911.52747006563,367.30287477932,0,397,397
"19","1991-07",0.017679001693518,3579.77902075936,352.125565294267,0,501,501
"20","1991-08",0.0177377221775596,3386.986713516,337.35583780715,0,447,447
"21","1991-09",0.0178025557907502,2846.48981759799,342.547595386943,18,303,285
"22","1991-10",0.017874382511773,2121.26383902737,425.429889424076,91,108,17
"23","1991-11",0.0179538018091074,2346.3817468076,978.688878549968,450,16,-434
"24","1991-12",0.0180412323973193,2767.85930942974,1504.46766613034,446,8,-438
"25","1992-01",0.018135180888469,2931.11387480854,1959.61727523476,643,0,-643
"26","1992-02",0.0182240055130501,2529.58043515872,1886.929097196,383,0,-383
"27","1992-03",0.0183065287550018,2324.71338784397,1181.01036691708,289,3,-286
"28","1992-04",0.0183820119333073,2121.49614787923,1010.44859353053,139,65,-74
"29","1992-05",0.0184517767929884,1953.74828402131,532.605143887934,27,167,140
"30","1992-06",0.0185154349928338,2219.30539916901,398.229260303966,0,333,333
"31","1992-07",0.0185734898515753,3066.7268814936,370.2408659349,0,484,484
"32","1992-08",0.0186246689157849,2792.22646758184,337.308599686039,0,354,354
"33","1992-09",0.0186710808939931,2354.67551162442,353.115488153319,4,273,269
"34","1992-10",0.0187122214330081,1962.17498841037,403.515205600897,77,34,-43
"35","1992-11",0.0187489179337251,2200.61277071136,793.612676080256,389,7,-382
"36","1992-12",0.0187810623479157,2912.08079893551,1727.55375002836,521,0,-521
"37","1993-01",0.0188076459830481,3230.72597403675,1839.65473763424,527,0,-527
