"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0238868056887266,810.304447282627,5204.0788351663,818,0,-818
"2","1990-02",0.0238786873727232,597.397380364901,3512.75482650193,747,0,-747
"3","1990-03",0.0238715442970489,551.242742689019,3004.37743565919,588,9,-579
"4","1990-04",0.0238597038596976,520.037102104748,2471.35333687603,384,33,-351
"5","1990-05",0.0238523029207898,551.861757977082,1302.1212038833,155,18,-137
"6","1990-06",0.0238456525592982,740.034166856482,788.78171403495,9,278,269
"7","1990-07",0.0238411509946946,981.110889619813,613.881516898149,2,368,366
"8","1990-08",0.0238379102266768,969.504285701548,564.969331839478,0,322,322
"9","1990-09",0.0238365570184775,993.928035209507,598.536506720438,38,227,189
"10","1990-10",0.0238377410518554,747.714527741819,929.094121090218,321,14,-307
"11","1990-11",0.0238452182737913,556.786713999449,1940.190017177,447,1,-446
"12","1990-12",0.0238554366152149,592.733847514071,3258.19704972769,1034,0,-1034
"13","1991-01",0.0238691632786815,693.878340796031,5614.0674836761,1227,0,-1227
"14","1991-02",0.0238873716975113,647.000590674233,4253.62072300483,736,0,-736
"15","1991-03",0.0239130956599528,577.880089775111,3158.38900503248,534,6,-528
"16","1991-04",0.0239427513228879,524.404263506674,1653.79877188817,234,15,-219
"17","1991-05",0.0239753761030106,579.177205156147,1006.10108010469,50,177,127
"18","1991-06",0.0240107654874228,801.103830182435,621.922986620768,0,319,319
"19","1991-07",0.0240586919248343,989.968159154303,569.806355531331,0,407,407
"20","1991-08",0.0241114381163736,1065.54485028872,537.577556411649,0,356,356
"21","1991-09",0.0241701539032731,948.410241299906,571.777679551479,108,195,87
"22","1991-10",0.0242362972064139,693.14103396814,916.475412613331,247,21,-226
"23","1991-11",0.0243108589939968,581.515628911674,2519.82613502398,801,0,-801
"24","1991-12",0.0243945290123238,633.86772802843,3595.193942407,881,0,-881
"25","1992-01",0.0244848673741604,719.109535670242,4330.63681780573,930,0,-930
"26","1992-02",0.0245612076250845,679.421191510802,3803.81698678405,727,0,-727
"27","1992-03",0.0246216408552641,560.990961215358,2794.37802773793,571,0,-571
"28","1992-04",0.0246649878719394,542.861144945729,2276.52802565728,337,13,-324
"29","1992-05",0.0246934234637816,586.345567234703,1206.7600248111,138,58,-80
"30","1992-06",0.0247063387796126,740.221621092642,790.093770678794,8,161,153
"31","1992-07",0.0247045700764057,1004.20976572433,602.952365415393,0,337,337
"32","1992-08",0.0246860936258971,1029.87860404838,551.077631653069,11,173,162
"33","1992-09",0.0246543245015014,869.953575536423,604.257633464524,79,114,35
"34","1992-10",0.0246084652067925,675.79579862782,874.079130868101,280,6,-274
"35","1992-11",0.0245498430304863,543.067442872104,2121.37909668649,703,0,-703
"36","1992-12",0.0244782842692667,658.103585223403,4058.10359335289,973,0,-973
"37","1993-01",0.0243922010797132,706.145339467324,5038.52729718005,1135,0,-1135
"38","1993-02",0.0243319764177452,647.154440144976,4374.89334084852,995,0,-995
"39","1993-03",0.0242960684969065,661.026827380806,4358.08644586795,779,0,-779
"40","1993-04",0.0242825043646308,591.772429163219,2739.87572525863,420,0,-420
"41","1993-05",0.0242925756972537,556.167269196022,1227.4252605059,82,46,-36
"42","1993-06",0.0243255287610417,721.007033421738,750.319253856075,21,238,217
"43","1993-07",0.0243818119654429,1000.63371035993,585.560611905308,0,409,409
"44","1993-08",0.0244606971265545,1128.15993780961,506.828437180968,1,394,393
"45","1993-09",0.024564051525515,1046.94794726541,630.442335572175,109,53,-56
"46","1993-10",0.0246914044974898,765.162608908505,971.384816507893,363,5,-358
"47","1993-11",0.0248446633826582,593.312746861635,2425.58718446902,753,0,-753
"48","1993-12",0.0250224723932771,653.498994984085,3788.54074771677,951,0,-951
"49","1994-01",0.0252240786226534,859.974619431176,5315.28474104671,1254,0,-1254
"50","1994-02",0.0254150504282666,774.91999218188,5958.92840612108,956,0,-956
"51","1994-03",0.025591094731161,643.449696882412,3104.17793263521,629,0,-629
"52","1994-04",0.0257503793836585,585.1672050864,2044.23569046288,320,19,-301
"53","1994-05",0.0258986764477553,646.770272057023,1092.47076854967,129,44,-85
"54","1994-06",0.0260317823124188,851.360704104176,622.26546761468,2,306,304
"55","1994-07",0.0261510340986762,1076.99088715448,536.246310727616,0,327,327
"56","1994-08",0.0262565431417205,1010.3132632833,465.503655103142,2,285,283
"57","1994-09",0.0263484564476613,971.16451309738,554.017371585378,68,107,39
"58","1994-10",0.0264278670986208,700.069955391392,689.236206002448,236,24,-212
"59","1994-11",0.0264959431829109,550.301876316938,1480.21231943055,518,1,-517
"60","1994-12",0.0265517671530171,628.881673858774,2968.42068524308,854,0,-854
"61","1995-01",0.0265949156864737,758.358471404693,4705.59896015523,1158,0,-1158
"62","1995-02",0.0266510354115711,714.944368643628,4518.20954468391,850,0,-850
