"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.024673939818502,9064.8401761023,5242.20425926774,1011,0,-1011
"2","1990-02",0.0246605293448926,6070.9810203206,4464.99967690294,980,0,-980
"3","1990-03",0.0246518732064939,5917.84130115538,3627.59107566284,757,0,-757
"4","1990-04",0.0246417068159469,5421.95727397063,2726.65065642647,494,24,-470
"5","1990-05",0.0246400829695828,4832.40106324948,1566.25350344953,231,7,-224
"6","1990-06",0.0246429238405294,5349.86294466917,889.749006943083,13,249,236
"7","1990-07",0.0246517591807911,7494.83946429959,725.546715208397,6,291,285
"8","1990-08",0.0246656018599606,7651.15614594861,650.170461000135,1,284,283
"9","1990-09",0.0246851369516244,7358.68339094377,709.403579453447,72,180,108
"10","1990-10",0.0247110794909193,5163.7599461603,1299.98765501065,399,6,-393
"11","1990-11",0.0247475870135155,5106.85766633539,2370.06051527516,704,0,-704
"12","1990-12",0.0247907475365621,6062.59266205481,4283.05931167256,1349,0,-1349
"13","1991-01",0.0248414253729828,7507.25444307853,6513.51609382388,1452,0,-1452
"14","1991-02",0.0248986797529999,6941.62160470607,4481.66222869406,817,0,-817
"15","1991-03",0.0249658799520834,6538.78398256135,3568.42572131838,744,0,-744
"16","1991-04",0.0250390367926017,5245.82255821864,2137.2654786479,389,12,-377
"17","1991-05",0.0251170598976201,5093.30705063478,1527.93049992078,139,113,-26
"18","1991-06",0.0251996972783462,6626.3131282506,794.786546504997,0,278,278
"19","1991-07",0.0252978785699832,7934.4430323717,695.986216767458,0,337,337
"20","1991-08",0.0254029678877553,7840.03143445643,650.476719047692,0,284,284
"21","1991-09",0.0255162424365284,6413.31347657128,740.048751681016,125,142,17
"22","1991-10",0.0256393354339663,5205.11898437915,1405.46036433449,433,2,-431
"23","1991-11",0.0257733644720044,5630.1763881875,3539.36295839297,1051,0,-1051
"24","1991-12",0.025919114512843,6853.54374240487,4474.92041220073,1041,0,-1041
"25","1992-01",0.0260738248212004,8267.88288753484,4666.35959539468,1013,0,-1013
"26","1992-02",0.0262062952933805,7225.14178254015,4050.55362384234,825,0,-825
"27","1992-03",0.0263143832149494,6123.13842098797,3198.70566167261,702,0,-702
"28","1992-04",0.0263967616429554,5969.75945196834,2554.07875879737,478,4,-474
"29","1992-05",0.0264559253969039,5071.87188540807,1371.27294116651,164,49,-115
"30","1992-06",0.0264911978027432,5347.69594155143,889.388498660567,24,92,68
"31","1992-07",0.026503549642292,7664.8896140049,709.834598372976,7,158,151
"32","1992-08",0.0264906802548033,7715.35579733222,665.966822361233,36,128,92
"33","1992-09",0.0264565055338884,6214.62853007206,742.042144460673,102,67,-35
"34","1992-10",0.0264001218765667,5251.97050037039,1373.56070915482,401,6,-395
"35","1992-11",0.0263230508193768,5501.19437343653,3084.50200616344,954,0,-954
"36","1992-12",0.0262250912948084,7746.28519238429,4789.31916990416,1239,0,-1239
"37","1993-01",0.0261044222024442,8228.29612453281,6090.004515027,1467,0,-1467
"38","1993-02",0.0260214841463,7233.36115765,4141.87346415683,1276,0,-1276
"39","1993-03",0.0259745371076374,8051.21969297056,5177.58444537098,924,0,-924
"40","1993-04",0.0259613506984797,5733.82864037677,3440.82529349203,546,0,-546
"41","1993-05",0.0259834177751576,5047.48183781757,1592.15538714994,181,11,-170
"42","1993-06",0.0260398941165253,6413.13255521626,1008.10313586061,54,141,87
"43","1993-07",0.0261313064068766,8787.90297558258,754.177542997026,0,257,257
"44","1993-08",0.0262568328611743,8514.83756947226,672.923291016699,9,269,260
"45","1993-09",0.0264186277725675,7466.91235998281,819.333602654542,176,17,-159
