"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0310517420529581,1136.5524019957,2749.33203115906,816,0,-816
"2","1990-02",0.0309446526231749,990.121081894189,2759.82781864072,698,0,-698
"3","1990-03",0.0308302778302641,861.448270489784,2016.71671564416,390,3,-387
"4","1990-04",0.0306534979277611,765.800543978723,1023.24616948872,141,35,-106
"5","1990-05",0.0305042783850394,615.025375910739,778.612309095938,105,112,7
"6","1990-06",0.030346669466595,535.346291485942,696.165295555486,27,359,332
"7","1990-07",0.0301942204351968,559.921336097704,502.082989668963,0,550,550
"8","1990-08",0.0300385404332096,562.909854872886,461.936913430329,10,447,437
"9","1990-09",0.0298856160727539,592.648572691649,460.208880751652,21,290,269
"10","1990-10",0.0297414072158282,551.93771087202,629.882836440514,169,40,-129
"11","1990-11",0.0296399326538125,695.319303349465,1111.10123339676,536,0,-536
"12","1990-12",0.0295481056774418,881.716550627114,2259.78986139118,1026,0,-1026
"13","1991-01",0.0294726548664293,1199.17250707691,3403.7942166624,854,0,-854
"14","1991-02",0.0294012298299366,957.489153865238,2173.38638913788,469,0,-469
"15","1991-03",0.0293609001366803,823.441043313731,1824.61440184908,615,0,-615
"16","1991-04",0.0293196561931747,681.322209526645,1611.25672427248,311,4,-307
"17","1991-05",0.0292692768937782,600.295343008762,1032.50826714608,183,63,-120
"18","1991-06",0.029208428043034,513.978830850839,724.887004253491,38,247,209
"19","1991-07",0.0292219980214089,526.692189084778,526.588640445303,0,523,523
"20","1991-08",0.0292425357208755,552.205801431732,460.362184864456,1,462,461
"21","1991-09",0.0292799702068203,590.36707622284,459.342694973684,22,280,258
"22","1991-10",0.0293466920214597,529.334527316366,568.988767235428,195,133,-62
"23","1991-11",0.0294509917188959,794.56784494842,1097.21578084067,535,0,-535
"24","1991-12",0.0295986463841655,921.101496054641,2449.30209735713,819,0,-819
"25","1992-01",0.0297688893572829,963.056894426344,2930.82159365008,852,0,-852
"26","1992-02",0.0299409500026108,894.358988224093,2167.69377700445,515,0,-515
"27","1992-03",0.0300984020042789,771.371898987123,1735.2733941054,423,0,-423
"28","1992-04",0.0302309635496612,714.854301487341,1152.2537165514,115,57,-58
"29","1992-05",0.0303570538074188,583.400774226862,661.997233781089,26,195,169
"30","1992-06",0.0304712532108165,501.030221864704,571.300703510122,22,315,293
"31","1992-07",0.0305805155695462,482.809864302377,549.952886690539,3,463,460
"32","1992-08",0.0306672021329315,486.717114002324,432.031456716384,8,521,513
"33","1992-09",0.0307604155969901,516.804902348221,494.955949062986,27,297,270
"34","1992-10",0.030853071259843,597.851544338275,589.991415232641,127,81,-46
"35","1992-11",0.0309564419569051,745.01562203756,992.321590295487,603,0,-603
"36","1992-12",0.0310689295463623,918.131158068858,2666.65838674028,891,0,-891
"37","1993-01",0.0311765636982909,1155.06329949335,3135.9733317204,876,0,-876
"38","1993-02",0.0313040571282917,901.260444666999,2538.51470413606,659,0,-659
