"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0245607983514124,2102.13357584626,1097.97700757635,1151,0,-1151
"2","1990-02",0.0245516762872492,1749.8032180933,873.780180474193,1137,0,-1137
"3","1990-03",0.0245432877154914,1652.22418197596,799.954942673015,987,0,-987
"4","1990-04",0.0245294214459455,1528.63811030962,642.643338376668,667,4,-663
"5","1990-05",0.0245200746351569,1385.05515524914,387.479388533465,427,0,-427
"6","1990-06",0.0245112087110103,1686.9708762046,256.98404662602,82,50,-32
"7","1990-07",0.0245043550637541,2395.96267192824,142.227627779219,31,144,113
"8","1990-08",0.0244985419962097,2151.9457423406,125.567596312153,22,123,101
"9","1990-09",0.0244944588961595,2305.09778443008,158.959719402744,211,11,-200
"10","1990-10",0.0244928234864977,1564.13461675711,199.268272747149,438,3,-435
"11","1990-11",0.0244977734007294,1563.39121655904,456.776863004506,791,0,-791
"12","1990-12",0.0245054208359815,1930.95047598055,653.810460214109,1089,0,-1089
"13","1991-01",0.024516624385067,2371.22484124076,890.72393679903,1400,0,-1400
"14","1991-02",0.0245344414828707,1791.06867633315,928.910840731881,1088,0,-1088
"15","1991-03",0.0245622405223493,1735.01880633428,787.661487751902,967,0,-967
"16","1991-04",0.0245960789352966,1488.46226890697,590.803253289452,576,0,-576
"17","1991-05",0.0246348926102181,1540.52064198564,354.166771223111,219,17,-202
"18","1991-06",0.0246784473313881,1993.68882626139,186.441629186946,75,56,-19
"19","1991-07",0.0247375713088683,2558.97352511833,139.100665305649,25,109,84
"20","1991-08",0.0248037051836858,2346.1214654605,125.271936258586,19,106,87
"21","1991-09",0.0248781063687689,2122.93800489974,153.832591333571,271,11,-260
"22","1991-10",0.024962373294873,1557.60646925338,245.447771153141,506,0,-506
"23","1991-11",0.0250575834414919,1762.86188664729,446.349988145718,815,0,-815
"24","1991-12",0.0251644754066954,1944.1258496595,679.577209299778,1241,0,-1241
"25","1992-01",0.0252802927037936,2150.15259710691,1015.85001870416,1376,0,-1376
"26","1992-02",0.0253841934707505,1858.62132425787,1071.39899745489,1212,0,-1212
"27","1992-03",0.0254740483694382,1656.58194290292,854.462627934381,1157,0,-1157
"28","1992-04",0.0255485339128337,1604.84811505812,752.67218424635,754,0,-754
"29","1992-05",0.0256100741755519,1437.83025477543,452.664835495846,381,8,-373
"30","1992-06",0.025657980972388,1501.02292838331,214.882755230191,123,23,-100
"31","1992-07",0.0256931832962376,1951.06293503446,155.895794963193,70,36,-34
"32","1992-08",0.0257133969385822,1908.22492971082,136.173022212428,77,49,-28
"33","1992-09",0.0257224480668714,1703.40096129899,147.813999494456,234,19,-215
"34","1992-10",0.0257194325209282,1463.1747197683,281.709189409549,675,0,-675
"35","1992-11",0.0257058410889002,1751.86129743355,514.157819139961,918,0,-918
"36","1992-12",0.0256814748123871,2240.25483292492,732.660300859154,1208,0,-1208
"37","1993-01",0.0256445272771471,2295.42820113466,1023.13041296401,1296,0,-1296
"38","1993-02",0.0256201354456629,2055.37005686557,1054.74932703046,1414,0,-1414
"39","1993-03",0.0256065886462576,2052.93950955035,983.932928272353,1144,0,-1144
"40","1993-04",0.0256016742884444,1731.23520982541,702.619273128484,652,0,-652
"41","1993-05",0.0256068962022643,1465.26845622127,339.864842418848,312,0,-312
"42","1993-06",0.0256214320906652,1649.95173202419,205.320024022158,116,38,-78
"43","1993-07",0.0256458299305593,2276.65037355269,144.872157072122,15,121,106
"44","1993-08",0.0256793021921777,2454.32020145264,120.458957856761,21,93,72
"45","1993-09",0.0257240051177164,1794.24894594848,150.443641187228,249,22,-227
"46","1993-10",0.0257794356314818,1481.35538281654,318.08166559454,660,0,-660
"47","1993-11",0.0258477646695701,1719.84545856845,511.630318757103,871,0,-871
"48","1993-12",0.0259274742629738,2205.94679323616,764.921078913388,1212,0,-1212
"49","1994-01",0.0260177362341272,2380.69965567512,1251.95043956732,1697,0,-1697
"50","1994-02",0.0261137991472779,2127.61544537157,1147.66735235047,1361,0,-1361
"51","1994-03",0.0262108523356318,1849.92590740508,893.693230990279,1086,0,-1086
"52","1994-04",0.0263068607992312,1582.91201744652,641.927000326407,668,0,-668
"53","1994-05",0.0264081636281286,1568.64350069418,377.136824360525,414,4,-410
"54","1994-06",0.0265100925165495,2070.97438630623,213.942682544729,66,88,22
"55","1994-07",0.0266140846192099,2387.85802944305,130.946451647332,2,189,187
"56","1994-08",0.0267202232582962,2256.38097834494,121.206368128885,70,63,-7
"57","1994-09",0.0268286287566694,1990.64268728971,163.378830467316,253,0,-253
"58","1994-10",0.0269404594725484,1602.07125156707,264.047662663386,552,0,-552
"59","1994-11",0.0270569621581526,1575.46564324082,401.973327506596,765,0,-765
"60","1994-12",0.0271770969937105,2055.54334058448,730.441899896913,1113,0,-1113
"61","1995-01",0.0273003663165651,2264.73641094533,970.27215056683,1198,0,-1198
"62","1995-02",0.0274368991639365,1895.55417493316,980.026684111463,1281,0,-1281
"63","1995-03",0.0275859197590495,1874.53744566026,876.899444094006,978,0,-978
"64","1995-04",0.0277444091689254,1580.71788043165,657.284735383493,775,0,-775
"65","1995-05",0.0279164251530058,1497.88605801832,358.876024404917,400,0,-400
"66","1995-06",0.0280983642509167,1734.80111279008,214.527125175854,71,59,-12
"67","1995-07",0.0282911856093353,2492.28935949351,152.380948150685,7,173,166
"68","1995-08",0.0284958967798981,2917.86459011336,128.422179323553,52,101,49
"69","1995-09",0.0287109099587713,2230.60500598119,166.265247045078,282,1,-281
"70","1995-10",0.0289380332553655,1551.69683702028,241.015310399997,454,0,-454
"71","1995-11",0.0291805371105165,1722.51516114531,521.267976376088,955,0,-955
"72","1995-12",0.0294372798203022,2107.63496117065,938.17154886736,1353,0,-1353
"73","1996-01",0.0297073484320934,2392.99880584753,1128.15509309304,1425,0,-1425
"74","1996-02",0.0299290022535436,2189.62858441268,1083.49641216201,1275,0,-1275
"75","1996-03",0.0301010125131282,1963.68217059659,941.728848401225,1141,0,-1141
"76","1996-04",0.0302229140738377,1690.28692393893,657.913377494147,710,0,-710
"77","1996-05",0.0302974910654652,1550.17584098602,401.111650434549,433,7,-426
"78","1996-06",0.0303227032074321,1911.80647776022,219.152682137695,69,34,-35
"79","1996-07",0.030300042934421,2487.99957482991,149.394689749686,12,61,49
"80","1996-08",0.0302278644694571,2331.41729909869,145.479926542838,17,80,63
"81","1996-09",0.0301085221182759,1869.80247396672,158.456184180199,204,24,-180
"82","1996-10",0.029943189110628,1548.53659671763,292.254375867238,613,0,-613
"83","1996-11",0.0297310810627471,1783.15232681775,624.217712427561,966,0,-966
"84","1996-12",0.029476215326371,2290.26132972791,799.572330618868,1071,0,-1071
"85","1997-01",0.0291755092705858,2561.7623294371,991.563530464612,1414,0,-1414
"86","1997-02",0.0290430773837598,2130.84525667436,1060.95969870216,1095,0,-1095
"87","1997-03",0.0290767275424201,1855.08395869425,852.080876602262,1151,0,-1151
"88","1997-04",0.0292749503831883,1716.55667215148,693.79247535071,770,0,-770
"89","1997-05",0.0296398286731772,1504.61412627719,433.262101367164,495,0,-495
"90","1997-06",0.0301689264275422,1796.45575131591,244.827492753595,109,60,-49
"91","1997-07",0.0308624469208383,2641.52042817113,148.801634753698,33,85,52
"92","1997-08",0.0317175815084419,2603.31358642877,143.99550524969,49,58,9
"93","1997-09",0.0327374664277338,2061.73199213663,153.119292294484,240,5,-235
"94","1997-10",0.0339222567926559,1713.7407956134,303.131191714713,623,0,-623
"95","1997-11",0.0352725386242066,1751.91856788051,570.455234134181,937,0,-937
"96","1997-12",0.0367880358348778,2176.12097798309,863.181115397092,1189,0,-1189
"97","1998-01",0.0384648446518151,2283.41123662189,1053.62195050037,1242,0,-1242
"98","1998-02",0.039969286850604,1905.80101906286,899.438131121538,1013,0,-1013
"99","1998-03",0.041298430686566,1967.53168265033,787.087390180031,973,0,-973
"100","1998-04",0.0424468833170604,1689.91553788894,592.807303860361,643,0,-643
"101","1998-05",0.0434201071368516,1655.65906851141,327.023803411527,243,8,-235
"102","1998-06",0.0442177497645588,1880.37699153048,202.503695892862,142,45,-97
"103","1998-07",0.0448405381837199,2809.98493431202,155.442408268714,18,105,87
"104","1998-08",0.0452873353921832,2662.01977335578,143.376497712975,26,107,81
"105","1998-09",0.0455621901892053,2486.48476698052,146.033979989295,168,10,-158
"106","1998-10",0.045665298088395,1809.56588113162,269.859855071427,544,0,-544
"107","1998-11",0.0455981870852564,1595.35427179717,519.258428335737,838,0,-838
"108","1998-12",0.0453623143263766,2026.39912988863,677.705955389709,1051,0,-1051
"109","1999-01",0.0449529208394484,2379.76055785073,1142.22353145087,1391,0,-1391
"110","1999-02",0.0446124357996753,1892.51572325735,949.232323407641,1100,0,-1100
"111","1999-03",0.0443331326229375,1842.84615254574,907.264151673177,1019,0,-1019
"112","1999-04",0.0441101057480182,1666.53020808067,614.462399971081,682,0,-682
"113","1999-05",0.0439475407411633,1507.75519852307,335.056444437036,321,3,-318
"114","1999-06",0.043844556606955,1817.21775428438,171.312363017086,65,100,35
"115","1999-07",0.0438019447366721,2789.7383931662,138.202990969581,17,166,149
"116","1999-08",0.043818834652911,2746.66376274321,127.877998833428,54,63,9
"117","1999-09",0.0438968256971682,2029.71169560116,145.608531330611,155,52,-103
"118","1999-10",0.0440353105673555,1630.67379197769,293.028990173784,654,0,-654
"119","1999-11",0.0442367315721019,1492.77276701643,493.377752681028,733,0,-733
"120","1999-12",0.044499367210079,1973.86171367176,701.219448061941,1134,0,-1134
"121","2000-01",0.0448182300802744,2286.81675154124,1174.08255269385,1441,0,-1441
"122","2000-02",0.0451050425297226,1999.81385471332,1104.30956352161,1180,0,-1180
"123","2000-03",0.0453544621926135,1811.91878508744,862.432810938041,896,0,-896
"124","2000-04",0.0455625433545847,1598.5206483236,558.52878910443,703,0,-703
"125","2000-05",0.0457397943570948,1570.20666455174,380.799089978189,391,5,-386
"126","2000-06",0.0458790550803269,1877.4912114585,241.837109380553,132,39,-93
"127","2000-07",0.0459798277522982,2419.78040259153,156.197491689254,53,28,-25
