"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.032797802330209,184.458947522154,4561.13568854069,846,0,-846
"2","1990-02",0.0327820417199228,156.212389974273,3443.40967932382,761,0,-761
"3","1990-03",0.0327639398688387,151.275513483398,3260.33900211627,676,2,-674
"4","1990-04",0.0327369119722145,134.002614455868,2501.1078408759,443,18,-425
"5","1990-05",0.0327115785071372,118.19245246602,1349.49280118946,203,4,-199
"6","1990-06",0.0326836618448476,114.577268414338,867.066447628697,18,144,126
"7","1990-07",0.0326547938055871,117.417175272258,706.209538314213,5,292,287
"8","1990-08",0.0326239538724873,126.062368597236,635.270470825982,5,242,237
"9","1990-09",0.0325918802452663,118.920276376297,750.486987275768,106,81,-25
"10","1990-10",0.0325593369738232,110.336818612943,943.131009648311,251,50,-201
"11","1990-11",0.0325306789322629,126.48936409745,1993.38050153978,554,0,-554
"12","1990-12",0.0325018012278544,140.719876747009,3176.2105538367,800,0,-800
"13","1991-01",0.0324735999471733,163.321906966066,4319.75331234313,1037,0,-1037
"14","1991-02",0.0324504307402995,156.664593588331,3861.83324160554,789,0,-789
"15","1991-03",0.0324358187417294,143.071023911049,3389.81051178456,686,0,-686
"16","1991-04",0.0324256619206039,130.971989744781,2287.33303637989,387,13,-374
"17","1991-05",0.0324188873151208,113.181767456318,1195.97195248978,104,137,33
"18","1991-06",0.0324152956388706,110.102341519051,752.567280271928,17,199,182
"19","1991-07",0.0324261095216496,116.828601665079,660.519925215692,0,310,310
"20","1991-08",0.0324424916173744,123.203670456081,640.022393244383,0,290,290
"21","1991-09",0.032465775144887,117.218708914248,724.517711766125,107,104,-3
"22","1991-10",0.0324976342153836,113.108023277784,1226.07707182979,323,12,-311
"23","1991-11",0.0325391986201914,119.23409847105,2273.85039178863,603,0,-603
"24","1991-12",0.0325912456641168,145.595724314295,3462.96812986801,854,0,-854
"25","1992-01",0.0326509973046541,168.970169230156,4359.25006699309,998,0,-998
"26","1992-02",0.0327058173343513,162.80117946135,4337.37747691752,889,0,-889
"27","1992-03",0.032753538133857,149.252398273522,3758.54882920817,840,0,-840
"28","1992-04",0.0327928215941428,136.356382566285,2824.70856253886,499,0,-499
"29","1992-05",0.0328261145739185,130.098236832401,1631.46205904575,238,20,-218
"30","1992-06",0.0328527122287201,97.6037997195191,860.784350945146,28,83,55
"31","1992-07",0.0328735400358285,113.672662270944,730.962350297878,2,237,235
"32","1992-08",0.032886283867601,114.275975462597,685.739676318418,9,154,145
"33","1992-09",0.0328947841089726,115.959972245157,743.86211958544,86,84,-2
"34","1992-10",0.0328981153619833,114.890749685463,1443.97141212809,446,0,-446
"35","1992-11",0.0328977674698049,125.16610664879,2499.05906122732,629,0,-629
"36","1992-12",0.0328935310724826,147.851059969444,3833.60651990942,929,0,-929
"37","1993-01",0.03288357425319,169.943083914459,4135.4171777569,935,0,-935
"38","1993-02",0.0328824545590072,155.215426402043,4669.92588289927,1034,0,-1034
"39","1993-03",0.0328884591790146,159.877835962432,4264.40043713311,886,0,-886
"40","1993-04",0.0328993606573951,133.232118115021,2695.84692645724,442,0,-442
"41","1993-05",0.0329166964312394,111.223547417606,1178.54505475571,119,34,-85
"42","1993-06",0.0329396496716242,107.405919357056,804.68263532521,36,168,132
"43","1993-07",0.0329687949664881,118.155492190063,687.348037792784,0,355,355
"44","1993-08",0.0330033542315031,117.037504315817,621.398146621323,0,272,272
"45","1993-09",0.0330455386045932,116.804437409063,713.331046247995,104,114,10
"46","1993-10",0.0330948617162076,113.569841895605,1329.26450993257,392,0,-392
"47","1993-11",0.0331535494700826,121.50171560191,2375.27674286881,639,1,-638
"48","1993-12",0.033220085139711,139.871127455088,3666.86211030899,968,0,-968
"49","1994-01",0.0332936540698563,172.63284464854,6053.23200028198,1300,0,-1300
"50","1994-02",0.0333626821590216,164.579241760858,5607.67009586996,1037,0,-1037
"51","1994-03",0.0334223206306046,150.342574652474,4377.55760476455,835,0,-835
"52","1994-04",0.0334705477354003,132.224716436633,2486.65719751679,355,4,-351
"53","1994-05",0.0335137808595191,112.192452665702,1248.94081981793,223,25,-198
"54","1994-06",0.03354734343177,110.187599625084,877.937152949243,11,228,217
"55","1994-07",0.0335727116288627,124.067915671577,731.968899373465,0,368,368
"56","1994-08",0.0335899979843318,125.88778209725,727.57426076049,11,178,167
"57","1994-09",0.0335993517438543,112.125169210973,809.142014929457,75,51,-24
"58","1994-10",0.0336019487493085,110.408872308694,1363.62764694802,390,0,-390
"59","1994-11",0.0335990341938522,110.538148303193,2019.87449002447,501,0,-501
"60","1994-12",0.0335895860685897,134.686348321846,3633.42066111023,815,0,-815
"61","1995-01",0.0335731274960621,158.731386163034,4194.56463127172,913,0,-913
"62","1995-02",0.0335845795429147,140.732960854442,4617.33972997159,1015,0,-1015
"63","1995-03",0.0336231894105892,135.812487084738,3506.95844173475,689,0,-689
"64","1995-04",0.0336860529179969,123.012578837818,2360.65876177905,476,0,-476
"65","1995-05",0.033777117331337,108.449486244552,1272.92060572021,204,13,-191
"66","1995-06",0.0338929274382999,112.098181085194,744.509401049372,9,141,132
"67","1995-07",0.0340344357945163,127.487577946549,653.746967243004,1,336,335
"68","1995-08",0.0342026320402592,131.801048601891,599.946460212919,1,282,281
"69","1995-09",0.0343960204432873,101.95982368794,678.89223263529,85,83,-2
"70","1995-10",0.0346163552246275,106.629031894777,984.83322014442,249,18,-231
"71","1995-11",0.0348667825693653,122.037379650774,2520.3630310339,737,1,-736
"72","1995-12",0.0351462405659207,151.909603943345,4539.66999911012,1094,0,-1094
"73","1996-01",0.0354538951307174,176.16205227761,5647.99688969371,1133,0,-1133
"74","1996-02",0.0356891672640801,145.267286154081,5053.57224827184,969,0,-969
"75","1996-03",0.0358507970876104,141.156516245689,4298.62030634404,895,0,-895
"76","1996-04",0.0359382679720823,122.542249574974,2786.91961693394,437,3,-434
"77","1996-05",0.0359541732005221,109.620163974534,1626.26296608094,246,41,-205
"78","1996-06",0.0358965186034869,115.544742710195,874.757899421763,14,167,153
"79","1996-07",0.0357666862875367,118.214083788862,695.84959921796,0,210,210
"80","1996-08",0.0355630910925693,131.199242290102,642.605088397917,1,215,214
"81","1996-09",0.0352879491000253,112.744901331822,745.390558710267,74,111,37
"82","1996-10",0.0349423507089816,116.50580135582,1350.23189886814,339,0,-339
"83","1996-11",0.0345255477636393,122.858413636249,2576.57258689659,748,0,-748
"84","1996-12",0.0340412777562727,129.628219495656,4078.91008345942,827,0,-827
"85","1997-01",0.0334866382567784,166.558849120596,4965.66548594949,1086,0,-1086
"86","1997-02",0.0331815022364298,130.817995677471,4542.20718912594,770,0,-770
"87","1997-03",0.033123929296084,136.450960179747,4442.11797241513,756,0,-756
"88","1997-04",0.0333126043675201,122.346405639517,2755.39243894751,508,0,-508
