"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0184914774029147,4670.32255929631,3849.61334658703,948,0,-948
"2","1990-02",0.018503155687671,3640.11929188153,3411.01551113465,749,0,-749
"3","1990-03",0.018533749999335,3814.11810864298,2770.51380289237,563,0,-563
"4","1990-04",0.0185745448480899,3415.45902798716,1823.81881994808,295,4,-291
"5","1990-05",0.0186394018731518,3182.18178557709,1198.00066245573,161,49,-112
"6","1990-06",0.0187226064999306,3732.02608710132,746.7917389721,8,336,328
"7","1990-07",0.0188262130723942,5389.2011697097,568.457702830042,2,252,250
"8","1990-08",0.0189487514759878,5418.95622704899,539.068105247834,7,174,167
"9","1990-09",0.0190910811755663,4129.60500267113,578.17014319365,32,114,82
"10","1990-10",0.019254114057927,3299.63294014648,674.091316691623,309,2,-307
"11","1990-11",0.0194437323331816,3528.42341278595,1332.2992769889,606,0,-606
"12","1990-12",0.0196542994529041,4327.40382238638,2671.26763669812,992,0,-992
"13","1991-01",0.019886986121418,4574.66786770047,4017.15309139269,969,0,-969
"14","1991-02",0.0200971381025235,3829.36654616817,3388.40753078791,650,0,-650
"15","1991-03",0.0202897374704627,3758.98877526101,2569.0952559147,644,0,-644
"16","1991-04",0.0204589321505844,3323.29729642162,2139.93783491785,359,0,-359
"17","1991-05",0.0206031221254131,3860.33010245615,1220.93327210662,131,46,-85
"18","1991-06",0.0207219950602987,4558.2982060441,758.938447273824,34,166,132
"19","1991-07",0.0208320009211484,5595.73632485243,617.884709079625,1,235,234
"20","1991-08",0.020920357775915,5504.88755755667,545.220623159281,0,214,214
"21","1991-09",0.020989099812307,4111.14714070489,567.218688185076,78,63,-15
"22","1991-10",0.0210407871940226,3357.11350866625,734.34891531115,268,3,-265
"23","1991-11",0.021077182692157,3516.62693275686,1342.00495244756,715,0,-715
"24","1991-12",0.0210995158150299,4129.51564788329,3059.43541908716,934,0,-934
"25","1992-01",0.0211037961359132,4503.05899443076,4144.72837216756,1040,0,-1040
"26","1992-02",0.0211225341635813,3935.61811037304,3727.69265442682,725,0,-725
"27","1992-03",0.0211524793460347,3967.38143874941,2659.61391486514,585,0,-585
