"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.033477022115425,73.6382973060735,3262.67340672058,942,0,-942
"2","1990-02",0.0334476530448797,62.2359036067128,3182.14312707591,922,0,-922
"3","1990-03",0.0334068430090513,58.9068599766743,2810.69582453106,816,0,-816
"4","1990-04",0.0333500346243931,53.045290847328,2075.0616209906,506,13,-493
"5","1990-05",0.0332845775405844,51.483160628873,1235.00273209289,283,0,-283
"6","1990-06",0.0332075112531272,59.1790280954509,791.042354208158,30,103,73
"7","1990-07",0.0331199614812429,65.0529667588807,617.420127454514,6,229,223
"8","1990-08",0.0330212235224399,57.5094009109949,537.503681801574,6,207,201
"9","1990-09",0.0329118046515191,57.4750117176494,606.908710402583,126,63,-63
"10","1990-10",0.0327922254844676,51.1864368990519,889.722930471052,300,32,-268
"11","1990-11",0.0326654505138248,55.4135004956094,1748.63194662639,630,0,-630
"12","1990-12",0.0325286522377894,67.9029947997464,2606.88905873967,894,0,-894
"13","1991-01",0.0323824244618422,77.5397908086432,3368.81558628133,1187,0,-1187
"14","1991-02",0.0322542172341529,63.7563781403277,3078.75332290532,909,0,-909
"15","1991-03",0.032146458364042,57.6146353689936,2864.18712426737,799,0,-799
"16","1991-04",0.032056418044206,54.9890673575718,2013.01042567071,432,6,-426
"17","1991-05",0.0319834174160732,51.6577057398647,1187.41765035475,136,95,-41
"18","1991-06",0.0319273579164404,57.0085072449403,675.472856267875,24,158,134
"19","1991-07",0.0318957771286854,63.5024325154407,558.776548979777,1,249,248
"20","1991-08",0.0318827628290231,60.0600767416528,518.37804818441,1,237,236
"21","1991-09",0.0318892184264456,59.5054550136569,573.548529917144,148,73,-75
"22","1991-10",0.03191626926376,55.3224788335049,981.792976715943,342,8,-334
"23","1991-11",0.0319646744443178,58.0511414995384,1778.92785296157,682,0,-682
"24","1991-12",0.0320349580046706,72.8064974541164,2780.37344121107,990,0,-990
"25","1992-01",0.0321252628273317,78.7554804694609,3487.68331453455,1151,0,-1151
"26","1992-02",0.0322061428931215,66.9846152820522,3542.44536221842,1031,0,-1031
"27","1992-03",0.0322761516208705,59.7255889960492,3210.9709191711,997,0,-997
"28","1992-04",0.0323343951052075,55.2807237334797,2493.26032307895,601,0,-601
"29","1992-05",0.0323825241727132,53.2466465474614,1429.8759776113,255,11,-244
"30","1992-06",0.0324200729724562,56.0276283072197,807.803854989622,60,60,0
"31","1992-07",0.0324476729363256,66.2683595793067,630.017464053009,11,140,129
"32","1992-08",0.03246377412959,64.674892900776,578.233528595829,26,122,96
"33","1992-09",0.0324709726881069,61.9602168740595,599.408273091432,124,58,-66
"34","1992-10",0.0324686549050311,55.1356724156646,1115.80789894329,502,0,-502
"35","1992-11",0.0324578338896951,58.0028509414785,1841.3049167085,729,0,-729
"36","1992-12",0.0324383766762393,78.7589139320919,2975.29962311025,1034,0,-1034
"37","1993-01",0.0324090567834987,78.2288141884772,3521.33870018352,1103,0,-1103
"38","1993-02",0.0323884929482124,67.642531773416,3689.0274180113,1218,0,-1218
"39","1993-03",0.0323755362395375,63.7986207957279,3599.21896457336,1019,0,-1019
"40","1993-04",0.0323686955995403,55.1925776825851,2318.53555806443,516,0,-516
"41","1993-05",0.0323690152594378,53.4203316232521,1202.89302665017,183,14,-169
"42","1993-06",0.0323759577005929,60.9767597756894,817.866927717125,57,119,62
"43","1993-07",0.0323899231246537,67.8900365910018,597.688289680808,0,278,278
"44","1993-08",0.0324104044918617,68.4890170531103,541.759881517334,9,216,207
"45","1993-09",0.0324389060136627,63.8708674760549,580.481680637989,152,71,-81
"46","1993-10",0.0324751211569591,56.4043671688756,1134.0281646585,460,0,-460
"47","1993-11",0.0325205688163281,60.5000989774161,2004.36159579665,722,0,-722
"48","1993-12",0.0325742553878364,74.4145395189651,2959.768453138,1091,0,-1091
"49","1994-01",0.0326356619487716,79.2272566316896,4235.49879986013,1481,0,-1481
"50","1994-02",0.03269397884779,65.9827276935652,4123.42460064113,1201,0,-1201
"51","1994-03",0.0327459648494651,69.7112815345091,3392.32364049983,965,0,-965
"52","1994-04",0.03279027744317,59.805681233424,2149.49978878278,479,0,-479
"53","1994-05",0.032831249513798,56.9329402662305,1299.57716831043,285,9,-276
"54","1994-06",0.0328657535076451,68.3094431654623,797.85348605566,26,159,133
"55","1994-07",0.0328947999584783,79.6672090172874,601.445426075816,0,301,301
"56","1994-08",0.0329184825771988,71.1672854021044,567.510435947166,26,137,111
"57","1994-09",0.0329369202222634,67.5536765616259,604.387528926365,104,29,-75
"58","1994-10",0.0329509254773858,56.5434103164317,1015.97886473352,406,0,-406
"59","1994-11",0.0329613611301568,60.4437797013649,1620.60502368828,573,0,-573
"60","1994-12",0.0329675602660857,73.5550964342812,2604.92865461248,943,0,-943
"61","1995-01",0.0329692232766641,77.7593234412674,3383.33204216956,1025,0,-1025
"62","1995-02",0.0329955555633788,66.2328119019352,3626.15303305805,1150,0,-1150
"63","1995-03",0.0330461081470642,67.0192206103528,3141.45956784584,807,0,-807
"64","1995-04",0.0331189671512576,60.6552255428363,2284.9227471312,609,0,-609
"65","1995-05",0.0332168674637983,59.8692327478102,1393.82627855025,259,3,-256
"66","1995-06",0.0333375163307886,67.8889202409205,825.34756962509,25,116,91
"67","1995-07",0.0334816132484634,76.1062191002225,597.928194211462,3,289,286
"68","1995-08",0.0336498841896546,81.1279630171609,455.991404825017,5,230,225
"69","1995-09",0.0338413627558897,72.2720833949188,557.264087589265,141,47,-94
"70","1995-10",0.0340572957326449,60.2446289307178,785.92078782383,279,6,-273
"71","1995-11",0.0342998815003877,58.890264252661,1950.34515533721,814,0,-814
"72","1995-12",0.0345684503543678,69.8807355629394,3395.07812570831,1212,0,-1212
"73","1996-01",0.0348624866940593,85.9008655024976,4063.9409316518,1274,0,-1274
"74","1996-02",0.0350927403132721,70.5977113574761,3656.29426192518,1106,0,-1106
"75","1996-03",0.0352583093703406,67.1631859306417,3451.03126496724,1021,0,-1021
"76","1996-04",0.0353587971904713,62.4628370651332,2463.48412657064,563,0,-563
"77","1996-05",0.0353959323050717,62.9500848248528,1507.55427410457,302,28,-274
"78","1996-06",0.0353683061129714,77.2743860904221,847.639707674831,19,111,92
"79","1996-07",0.0352768179565202,81.3633207300398,605.245529398275,3,158,155
"80","1996-08",0.0351203302325511,84.2097869422489,NA,3,181,178
"81","1996-09",0.0349003126276564,70.1887738250561,NA,104,74,-30
"82","1996-10",0.0346174661506579,59.0208903605678,NA,406,0,-406
"83","1996-11",0.0342712229648637,63.4323710054611,NA,842,0,-842
"84","1996-12",0.0338641199037094,74.2616234950071,NA,903,0,-903
"85","1997-01",0.033394097683091,89.1748208166222,3707.57527146,1228,0,-1228
"86","1997-02",0.0331693497445635,77.4569477746715,3348.4364808816,907,0,-907
"87","1997-03",0.033188851761441,70.6963589514894,3062.28228134355,923,0,-923
"88","1997-04",0.0334519498196475,61.4670399930483,2248.08078267979,587,0,-587
"89","1997-05",0.0339602308952012,65.2673569408643,1439.87850199588,330,0,-330
"90","1997-06",0.0347123053018632,67.5344493509125,864.990308693298,56,126,70
"91","1997-07",0.0357084170434745,82.2173249427064,580.904892600405,8,206,198
"92","1997-08",0.0369467735955043,86.2126516673194,613.468229565513,12,156,144
"93","1997-09",0.0384294167631453,76.5098555790308,590.020384223881,118,45,-73
"94","1997-10",0.0401564132826562,66.9702014454532,1038.03452988079,435,9,-426
"95","1997-11",0.0421280857242689,66.3618442981043,2085.19388512213,786,0,-786
"96","1997-12",0.0443441450791189,83.4107093518152,2868.25007443229,1017,0,-1017
"97","1998-01",0.0468017536252957,95.7653022709431,3276.98185176106,993,0,-993
"98","1998-02",0.0490325249758699,74.6752476030369,3083.15565667982,864,0,-864
"99","1998-03",0.0510351355227594,77.424501145594,2884.43535255484,810,1,-809
"100","1998-04",0.0528062942615806,66.9735261632011,1932.31726641419,477,0,-477
"101","1998-05",0.0543501803917455,63.9335951251211,1121.54948507917,126,38,-88
"102","1998-06",0.055666771362731,70.2690547666157,727.916111457622,69,122,53
"103","1998-07",0.0567566723642881,90.7560962558288,915.373592907832,0,227,227
"104","1998-08",0.0576190048704678,87.0565958716051,531.288425893443,7,231,224
"105","1998-09",0.0582565140925169,76.5338607024595,570.240059989802,67,90,23
"106","1998-10",0.0586690382235987,71.2755117172738,915.214097585295,351,1,-350
"107","1998-11",0.0588572531835158,65.0832969901925,1796.04862489338,664,0,-664
"108","1998-12",0.058821653506705,80.4874406467458,2512.95933399148,868,0,-868
"109","1999-01",0.0585579402825694,89.7505504703769,3996.98927484639,1193,0,-1193
"110","1999-02",0.058319298264585,75.3812619523226,3448.72238805331,946,0,-946
"111","1999-03",0.0581004550136506,76.0270374015267,3421.20925691174,895,0,-895
"112","1999-04",0.0578981067946126,68.8678925767756,2106.2648857916,483,0,-483
"113","1999-05",0.0577157594783522,67.8498572676963,1132.34046757279,161,23,-138
"114","1999-06",0.0575530357106246,74.160574183142,891.957628195509,24,185,161
"115","1999-07",0.0574107625481181,88.4799706383331,590.716985465167,2,346,344
"116","1999-08",0.0572884432719845,87.014349456058,518.372314337256,13,203,190
"117","1999-09",0.057187375934848,86.4835626286597,591.077328248428,67,97,30
"118","1999-10",0.0571071117117564,65.8684174700358,1044.39733442955,413,1,-412
"119","1999-11",0.0570493889498157,73.2875020877479,1675.00266798327,559,0,-559
"120","1999-12",0.0570127337451115,66.8730917947265,2698.50370357963,970,0,-970
"121","2000-01",0.0569932335916689,89.2297359394487,3826.11761649434,1255,0,-1255
"122","2000-02",0.0569948318048761,73.7496053874312,3829.7250634687,1002,0,-1002
"123","2000-03",0.0570122904976886,70.5775276718102,2770.45094096465,720,0,-720
"124","2000-04",0.0570416906241287,65.7408320019438,2137.13567688826,556,0,-556
"125","2000-05",0.0570896163563723,67.3916386910756,1286.51314717277,209,37,-172
"126","2000-06",0.0571501988514791,78.5214562090452,817.140141684602,58,125,67
"127","2000-07",0.0572225080209863,88.7196739772008,616.226037653527,11,128,117
"128","2000-08",0.0573100662802218,93.7842001752704,583.520499121437,17,156,139
"129","2000-09",0.0574106016934414,85.1172244797399,627.915025925824,140,81,-59
"130","2000-10",0.0575255671124164,71.2263439492529,1054.70396446975,381,1,-380
"131","2000-11",0.057656654782115,68.34826955078,1920.59910036122,729,0,-729
"132","2000-12",0.0578019075897119,83.054609732234,3457.43078860512,1238,0,-1238
"133","2001-01",0.0579643655594257,90.6827640462619,3993.41288168786,1199,0,-1199
"134","2001-02",0.058103391474943,80.108200155867,3418.06156030122,1001,0,-1001
"135","2001-03",0.0582169255198837,72.9079257965967,3323.36710779499,992,0,-992
"136","2001-04",0.0583044473632743,63.1780591591244,2148.16915762606,496,2,-494
"137","2001-05",0.0583677630922676,66.0192637362596,1068.19471177853,188,27,-161
"138","2001-06",0.0584045821771307,77.6833446021225,763.095163607893,39,157,118
"139","2001-07",0.0584169680274064,92.9144521441009,557.81541770813,13,160,147
"140","2001-08",0.0584036534177185,95.129682206896,537.222349206901,0,285,285
"141","2001-09",0.0583647653381696,86.6767661543215,579.008130787399,97,65,-32
"142","2001-10",0.0583076895907099,73.3892667503804,957.24775080782,339,5,-334
"143","2001-11",0.0582232958783625,64.4499566277807,1570.49692801134,538,0,-538
"144","2001-12",0.0581157981243269,79.7104534415411,2435.55481680693,832,0,-832
"145","2002-01",0.0579854484008985,92.1416691115887,3219.74366158503,971,0,-971
"146","2002-02",0.0578659571287074,80.4235527593234,2934.27937679788,868,0,-868
"147","2002-03",0.0577591177106909,76.6984267116187,2794.2377323263,827,0,-827
"148","2002-04",0.0576609491302979,66.6716437104498,1939.62886707791,462,27,-435
"149","2002-05",0.0575721792963731,67.6398223837962,1326.46492698952,299,16,-283
"150","2002-06",0.0574924691515188,83.2280212631683,783.980889434577,40,135,95
"151","2002-07",0.0574242505390534,99.1189579586676,550.845511886985,3,307,304
"152","2002-08",0.0573655117392365,99.7619602535449,515.160421635539,6,276,270
