"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.020804042794645,22288.7057659337,2935.41097076574,1345,0,-1345
"2","1990-02",0.020791501600172,19738.3717754027,2544.07394411329,1341,0,-1341
"3","1990-03",0.0207745271798697,18701.2445546228,2075.44004896483,1040,0,-1040
"4","1990-04",0.0207490919582324,17291.5013540909,1675.7007800464,693,10,-683
"5","1990-05",0.0207216810232481,15658.3782969746,1025.77664551793,365,3,-362
"6","1990-06",0.0206896702494641,15609.6684418803,594.958532088352,83,83,0
"7","1990-07",0.0206540434131099,18384.590033867,337.228923640708,21,122,101
"8","1990-08",0.0206141604256245,19968.6662627289,294.906220900896,16,157,141
"9","1990-09",0.0205704518393619,18943.8945752465,388.612635639079,185,63,-122
"10","1990-10",0.0205233596656142,16488.6709762773,703.338897316427,661,0,-661
"11","1990-11",0.0204755098414161,16152.8291045348,1464.25282991603,1043,0,-1043
"12","1990-12",0.0204243645401309,18653.8739941567,2185.85248024708,1731,0,-1731
"13","1991-01",0.0203704320949058,20968.3053315055,3577.12413058301,1818,0,-1818
"14","1991-02",0.0203413721485719,19925.9988177892,2709.48999563456,1142,0,-1142
"15","1991-03",0.0203393982890845,18730.2513716688,2225.33980523344,1094,0,-1094
"16","1991-04",0.0203620600696641,17135.8989650818,1525.24981603858,575,0,-575
"17","1991-05",0.020408719649573,15847.5496260584,1191.84405320195,272,38,-234
"18","1991-06",0.0204792391073651,17119.2068080647,492.065582651127,21,80,59
"19","1991-07",0.0205805129782642,20112.3650960102,348.248445662394,14,140,126
"20","1991-08",0.0207070896239944,20865.3126944005,342.932441119378,6,198,192
"21","1991-09",0.0208597462444104,19906.3258055286,397.981689325429,271,38,-233
"22","1991-10",0.0210394795907266,16853.717869374,783.402662772398,778,0,-778
"23","1991-11",0.0212469593522626,16138.7391981788,2108.19565326037,1302,0,-1302
"24","1991-12",0.0214826447275501,18778.3401306216,2643.9980583275,1406,0,-1406
"25","1992-01",0.0217446963448648,21358.0737753279,2662.68817952236,1421,0,-1421
"26","1992-02",0.0219708486295922,20868.4225206473,2583.88385579991,1202,0,-1202
"27","1992-03",0.0221597193227084,19854.3518717253,2001.22046477187,995,0,-995
"28","1992-04",0.0223104348250937,17992.3591904774,1777.05972427361,752,2,-750
"29","1992-05",0.0224246355937498,16454.0881445532,1092.11726108544,267,38,-229
"30","1992-06",0.0225018818551455,16064.0020477229,551.187937370089,135,32,-103
"31","1992-07",0.0225428208348807,17934.6907635915,460.650657612166,102,21,-81
"32","1992-08",0.0225459292486925,18535.2083316084,379.00885205011,120,67,-53
"33","1992-09",0.0225138080816786,17974.6482616196,504.597695550787,303,4,-299
"34","1992-10",0.0224458574386393,16457.8367254424,810.673810670475,661,1,-660
"35","1992-11",0.0223430807468957,16555.7168767349,1751.9859455632,1169,0,-1169
"36","1992-12",0.0222053288639233,19327.9384621353,2604.65152707251,1731,0,-1731
"37","1993-01",0.0220313765667867,20932.9351654193,3642.94294681336,1839,0,-1839
"38","1993-02",0.0218954832978649,20154.2979269328,2692.64278996466,1559,0,-1559
"39","1993-03",0.021796519381832,19470.9586299374,2586.25479220333,1169,0,-1169
"40","1993-04",0.0217330402550288,17670.4765930286,1913.70084168851,711,0,-711
"41","1993-05",0.0217060397477856,15366.5779698121,1004.38666675039,324,3,-321
"42","1993-06",0.0217149723861004,15881.2082436968,618.726818619583,200,35,-165
"43","1993-07",0.021760182239555,20960.7761042986,473.613407290062,88,33,-55
"44","1993-08",0.021841126580234,22083.7747904297,370.968341627232,63,76,13
"45","1993-09",0.0219591934980964,21175.3998609728,478.535239207881,366,0,-366
"46","1993-10",0.0221140213036414,17098.7725353028,891.365051265526,719,0,-719
"47","1993-11",0.0223070288231167,16114.6055785065,1700.91276654482,1217,0,-1217
"48","1993-12",0.0225371880817656,18493.7335345806,2569.84522895911,1523,0,-1523
"49","1994-01",0.0228039121096023,21100.4583282627,3600.28377163336,2106,0,-2106
"50","1994-02",0.0230410761235592,21467.2761223798,3558.76562619876,1754,0,-1754
"51","1994-03",0.0232454548567325,19848.7473218463,2551.52585212084,1082,0,-1082
"52","1994-04",0.0234156669442845,17296.3208873526,1816.01273439374,697,0,-697
"53","1994-05",0.0235561316685208,15163.4206872521,1024.8354418502,244,21,-223
"54","1994-06",0.0236636633457569,16562.7272709065,462.956521710116,60,50,-10
"55","1994-07",0.0237392992582358,22333.1549789597,387.13411926144,34,70,36
"56","1994-08",0.0237831399470356,23482.1536719364,321.918852472177,67,95,28
"57","1994-09",0.0237953104984449,19211.8047439149,413.260288227395,172,36,-136
"58","1994-10",0.0237766481465602,16017.6322747219,676.855084317959,554,0,-554
"59","1994-11",0.0237280307574861,15340.5874149511,1418.47584083777,1047,0,-1047
"60","1994-12",0.0236487497931942,17860.9236712056,2541.27277069907,1479,0,-1479
"61","1995-01",0.0235384708785991,20264.8682018649,3182.37196344867,1732,0,-1732
"62","1995-02",0.0234691866125207,19571.7515229627,3006.33762192293,1395,0,-1395
"63","1995-03",0.0234403870330325,18840.7774862568,2666.92839772958,1262,0,-1262
"64","1995-04",0.0234500896239457,16513.7202559275,2090.25129085737,850,0,-850
"65","1995-05",0.0235010060803742,15523.2606423664,1239.87792564708,401,4,-397
"66","1995-06",0.0235907655847195,16619.7667000791,684.745114069713,79,146,67
"67","1995-07",0.0237200111734213,20426.4426916018,412.479560804622,28,121,93
"68","1995-08",0.0238894066538131,23164.8895639787,321.106484672221,9,160,151
"69","1995-09",0.0240979008397864,19596.9007224771,442.015003787888,277,27,-250
"70","1995-10",0.0243466760416573,16441.4344185715,743.42714971391,671,0,-671
"71","1995-11",0.0246379000803632,16787.0018016227,1919.37339601144,1305,0,-1305
"72","1995-12",0.024970838809385,20074.5450569875,2970.37384633537,1666,0,-1666
"73","1996-01",0.0253449076086635,21982.9163097408,3425.28774192077,2029,0,-2029
"74","1996-02",0.0256470890812247,20404.667886526,3641.9879544212,1501,0,-1501
"75","1996-03",0.0258765120501036,19480.8794294822,3089.76243101392,1491,0,-1491
"76","1996-04",0.0260327975127301,17491.4737066807,2311.77021991446,871,0,-871
"77","1996-05",0.0261177719199622,16230.9326694967,1288.91530464492,431,0,-431
"78","1996-06",0.026129961583435,17343.4735926762,623.417513720786,83,102,19
"79","1996-07",0.02607028886866,19414.2939112664,371.252260588148,22,87,65
"80","1996-08",0.0259375202179435,20472.3445146504,366.003400081584,11,151,140
"81","1996-09",0.0257331400353823,19699.1698458842,448.343472481593,278,37,-241
"82","1996-10",0.0254578009984938,16879.0167608147,970.400954621834,672,0,-672
"83","1996-11",0.0251108034724103,16720.3706808615,2200.54346385406,1495,0,-1495
