"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.024568592697376,1368.57791021709,5116.83029980765,908,0,-908
"2","1990-02",0.0245591315404681,1094.68074579046,4854.42276697153,836,0,-836
"3","1990-03",0.0245430220902217,1055.96304201385,3980.85057429061,690,6,-684
"4","1990-04",0.0245181082417797,978.824438900525,2943.27319241619,494,21,-473
"5","1990-05",0.0244878852377368,852.839896306785,1754.15594186935,250,3,-247
"6","1990-06",0.0244509578953788,950.457327983846,1002.28096268272,45,135,90
"7","1990-07",0.0244078720661409,1124.78974848199,802.077112700011,5,212,207
"8","1990-08",0.0243583044022958,1080.33235491064,727.165169116062,6,158,152
"9","1990-09",0.0243025091422211,997.682289300341,869.025409094246,113,95,-18
"10","1990-10",0.0242407485703694,889.519152620372,1706.61525429209,367,4,-363
"11","1990-11",0.024174453066339,976.607640153148,3022.8076607965,595,0,-595
"12","1990-12",0.0241022913623214,1188.13244669179,4587.45032111728,910,0,-910
"13","1991-01",0.0240245646930566,1444.38191147181,5920.66229301043,1165,0,-1165
"14","1991-02",0.0239659829292246,1166.79939839997,5182.69249139857,901,0,-901
"15","1991-03",0.0239276460783617,1121.73987544283,4313.33461096689,730,0,-730
"16","1991-04",0.0239081904300132,937.425571589156,2626.31654222273,370,10,-360
"17","1991-05",0.023907232607188,1004.00828865085,1377.58778169665,82,161,79
"18","1991-06",0.0239246677172951,1136.35049418605,806.709171167803,8,215,207
"19","1991-07",0.0239640746409721,1334.38883557839,696.632615949712,0,293,293
"20","1991-08",0.0240225668165479,1136.94300018374,628.870905665759,1,229,228
"21","1991-09",0.0241005374480857,1055.21245290235,787.364115452454,136,114,-22
"22","1991-10",0.0241984950218229,886.474256566458,1746.28084507102,321,15,-306
"23","1991-11",0.0243167790684173,1001.59439540283,3603.6398476419,781,0,-781
"24","1991-12",0.0244556224229957,1256.52895542775,4834.75275459473,964,0,-964
"25","1992-01",0.0246140965797646,1417.48285539851,5790.65163705165,1106,0,-1106
"26","1992-02",0.0247531122907118,1198.99988130125,5055.95710245241,896,0,-896
"27","1992-03",0.0248719804223832,1111.79380399188,4603.78514765528,844,0,-844
"28","1992-04",0.0249702784512589,998.804052953524,3150.13355659239,488,7,-481
"29","1992-05",0.0250488417616755,893.979473156789,1735.32682335735,237,22,-215
"30","1992-06",0.0251074622830437,883.016255718631,1037.64729137826,70,63,-7
"31","1992-07",0.0251464752848561,1101.47510785209,812.521931644666,3,207,204
"32","1992-08",0.025165135327539,1032.3145756117,725.810797754977,29,101,72
"33","1992-09",0.0251647524068578,932.83457272796,812.898425968815,123,62,-61
"34","1992-10",0.0251450448176965,898.40785512885,2096.3870626265,461,1,-460
"35","1992-11",0.0251065351695011,1045.84228905784,3422.01128236159,688,0,-688
"36","1992-12",0.0250491761073979,1286.94429848642,4958.31429164071,1004,0,-1004
"37","1993-01",0.0249723805184373,1385.20832783429,5600.26677683966,1041,0,-1041
"38","1993-02",0.0249187667099623,1248.85043851331,5874.98522788959,1108,0,-1108
"39","1993-03",0.0248877321722226,1221.674189488,5268.13662657839,931,0,-931
"40","1993-04",0.0248785118279013,1015.08676840914,3222.31934809091,496,0,-496
"41","1993-05",0.0248915862943461,859.245670429464,1381.35195069306,168,20,-148
"42","1993-06",0.0249266601272067,1017.43609098996,1186.07109185,60,149,89
"43","1993-07",0.0249838987607403,1360.89236456954,725.587553946297,0,305,305
"44","1993-08",0.0250630218737718,1249.58644488502,653.100786000016,5,258,253
"45","1993-09",0.0251647420503705,1017.37368642168,797.114181932318,137,57,-80
"46","1993-10",0.0252888830565924,874.675228228474,2038.35259341889,445,0,-445
"47","1993-11",0.0254361788377229,1070.18477255553,3482.56813865701,720,0,-720
"48","1993-12",0.0256061205102072,1322.43437606275,5121.85096897898,1068,0,-1068
"49","1994-01",0.0257984318288947,1607.86984120376,7264.34724125891,1430,0,-1430
"50","1994-02",0.0259766113998935,1316.83438426304,5919.05101691089,1078,0,-1078
"51","1994-03",0.0261390161292715,1171.13239726628,4679.83400342123,875,0,-875
"52","1994-04",0.0262849441117303,969.913637576168,2879.95579855128,427,11,-416
"53","1994-05",0.0264165935938157,881.973698458506,1814.72979571427,310,21,-289
"54","1994-06",0.0265323604182006,1142.37176180833,953.62624939003,30,218,188
"55","1994-07",0.0266327539524284,1322.43303298414,711.230872370914,1,250,249
"56","1994-08",0.0267178172877607,1142.02759769081,657.714168198936,21,136,115
"57","1994-09",0.0267876081282934,894.564395872264,705.955220721731,99,43,-56
"58","1994-10",0.0268425449314315,856.291604490895,1665.72585102765,370,1,-369
"59","1994-11",0.0268830746518269,989.394021728675,2584.02887966978,571,0,-571
"60","1994-12",0.0269088518496546,1246.40466854997,4312.97678550549,898,0,-898
"61","1995-01",0.0269197205049893,1449.22976544506,5961.51240529628,1143,0,-1143
"62","1995-02",0.0269455695847661,1284.78984725069,5840.82623248854,1103,0,-1103
"63","1995-03",0.0269861325499193,1131.88547412413,4328.37470286515,761,0,-761
"64","1995-04",0.0270403867514203,912.139976834147,3057.64733819197,530,0,-530
"65","1995-05",0.0271097192681267,897.464808577156,1660.81690377673,214,7,-207
"66","1995-06",0.027192916123339,1071.88507235156,849.305118210197,13,180,167
"67","1995-07",0.0272903144968109,1379.52376604449,702.689272906082,5,281,276
"68","1995-08",0.0274022656546333,1613.00954006273,623.383324276946,0,346,346
"69","1995-09",0.0275282489610852,972.727900355793,731.929386328129,134,44,-90
"70","1995-10",0.0276688861043306,864.529889400822,1713.87824170725,322,1,-321
"71","1995-11",0.0278252845518486,1186.96494933815,4047.37528288455,872,0,-872
"72","1995-12",0.0279970745908334,1438.55792036016,5919.72670318749,1212,0,-1212
"73","1996-01",0.0281839677699896,1578.17183921425,6845.29336401576,1258,0,-1258
"74","1996-02",0.0283275306369145,1321.54072004838,5794.04963302561,1083,0,-1083
"75","1996-03",0.028427319755983,1263.68127457362,5358.96640052655,1018,0,-1018
"76","1996-04",0.0284831499484906,996.08753059417,3409.69002148793,528,1,-527
"77","1996-05",0.0284959161189555,1012.78744134204,1745.51551765369,258,53,-205
"78","1996-06",0.0284649146971779,1181.7016970741,1018.74909447756,21,160,139
"79","1996-07",0.0283906159522365,1280.28200726159,711.941788423478,8,174,166
"80","1996-08",0.0282724539732092,1288.81823412407,622.537739154807,1,196,195
"81","1996-09",0.0281111878509678,1019.92918504754,693.4654165938,115,69,-46
"82","1996-10",0.0279071868153746,885.752282602541,1840.481776706,369,0,-369
"83","1996-11",0.0276601761989212,1176.93261201226,3804.86030601902,897,0,-897
"84","1996-12",0.0273714646591548,1338.59385418256,5177.00859339217,935,0,-935
"85","1997-01",0.0270400236547344,1605.06760580708,6341.75685263447,1245,0,-1245
"86","1997-02",0.0268953147468272,1192.91886631601,5103.55925833104,882,0,-882
"87","1997-03",0.0269366586981559,1182.00487263724,4291.76215459951,769,0,-769
"88","1997-04",0.0271635941284652,1016.66124921898,3208.55117792259,592,0,-592
"89","1997-05",0.0275768357762142,938.898192372885,2095.65483853213,350,3,-347
"90","1997-06",0.0281756039964381,1032.73765008799,1441.80403334272,43,138,95
"91","1997-07",0.0289599827296066,1391.7547096864,731.567896191254,8,214,206
"92","1997-08",0.0299290428801819,1190.19025970284,602.029575078991,24,120,96
"93","1997-09",0.0310838399287587,936.453371518284,701.509504379247,107,36,-71
"94","1997-10",0.032424443180862,960.163982776996,1875.93862571457,414,26,-388
"95","1997-11",0.0339510748626123,1130.2629325846,3589.66721813397,806,0,-806
"96","1997-12",0.0356636688242187,1433.02152648134,4954.25398038761,995,0,-995
"97","1998-01",0.0375608936027671,1428.45457640072,5007.11759127587,939,0,-939
"98","1998-02",0.0392669144235378,1119.0776114467,4351.45669439631,766,0,-766
"99","1998-03",0.0407807792224266,1213.25037964053,4384.42585248607,774,8,-766
"100","1998-04",0.0421006072178995,940.771758924268,2466.06157092107,440,0,-440
"101","1998-05",0.0432283307443326,1123.39888692756,1144.25179682652,82,74,-8
"102","1998-06",0.0441638116638197,1133.6497778777,842.177337049007,66,182,116
"103","1998-07",0.0449072744645793,1439.13845549917,794.642451159417,1,213,212
"104","1998-08",0.0454582525845456,1529.42318726726,718.821481784092,2,235,233
"105","1998-09",0.0458181272860533,1082.23288084925,628.00129280443,49,131,82
"106","1998-10",0.0459868763265738,912.623916055858,1601.00557572846,352,5,-347
"107","1998-11",0.0459649379126896,1041.19520601398,2957.1331032642,649,0,-649
"108","1998-12",0.0457527041910707,1297.571393392,4264.78802243054,887,0,-887
"109","1999-01",0.0453482861834399,1746.73344051034,5822.86708807225,1175,0,-1175
"110","1999-02",0.0449970915112929,1134.02754712677,4837.04584505916,877,0,-877
"111","1999-03",0.0446963781388732,1310.31382933639,5048.78438911045,957,0,-957
"112","1999-04",0.0444444296772387,939.05816148893,2640.15814666377,389,1,-388
"113","1999-05",0.0442428402461401,901.411596978386,1235.89674984291,128,31,-97
"114","1999-06",0.0440913660024103,1261.60543553845,782.869919671928,33,210,177
"115","1999-07",0.0439903756910525,1845.48882393797,649.785565403751,2,359,357
"116","1999-08",0.0439396363521731,1445.86317610778,592.333333880722,10,158,148
"117","1999-09",0.0439398174403887,984.726990159895,672.742952025484,96,83,-13
"118","1999-10",0.0439907865385734,922.108823133137,1694.82573912176,399,0,-399
"119","1999-11",0.0440935236396037,1027.70466656682,2710.51417060424,583,0,-583
"120","1999-12",0.0442474910637009,1394.23036789714,4548.32591893427,1013,0,-1013
"121","2000-01",0.0444509596875825,1588.81704229744,6163.33021754267,1225,0,-1225
"122","2000-02",0.044623166310471,1254.94417979004,5231.53266283452,892,0,-892
"123","2000-03",0.0447620984277601,1105.09205124017,3719.70123098304,654,0,-654
"124","2000-04",0.0448662586110902,957.6955434199,2760.80778274843,484,0,-484
"125","2000-05",0.0449394185804547,1014.80683734982,1332.39633514107,132,53,-79
"126","2000-06",0.0449789174843051,1225.29489853572,761.221487728397,35,172,137
"127","2000-07",0.0449845258659119,1365.36323080607,711.880436104885,8,149,141
"128","2000-08",0.0449582284348261,1372.29557696385,663.064345440376,14,148,134
"129","2000-09",0.0448989579233397,1125.62287958758,745.355110634975,141,81,-60
"130","2000-10",0.0448074810962988,1001.56188006065,1544.8288850601,304,7,-297
"131","2000-11",0.0446845986674755,1072.08024573158,3181.9169784252,762,0,-762
"132","2000-12",0.044529171315344,1644.18756871529,6642.5816028958,1361,0,-1361
"133","2001-01",0.0443425089635599,1716.88669678122,6325.15644901802,1187,0,-1187
"134","2001-02",0.0441865731578703,1267.78373230004,4937.17403635902,898,0,-898
"135","2001-03",0.0440603337500501,1274.93661990272,4615.40623105039,931,0,-931
"136","2001-04",0.043963534771983,1036.09397023621,2667.3328132562,382,23,-359
"137","2001-05",0.0438970560285195,982.170049898182,1173.73221185714,142,26,-116
"138","2001-06",0.0438597550634255,1125.2842484294,838.829525256184,50,149,99
"139","2001-07",0.0438526187685686,1519.1184232281,707.758447488791,8,222,214
"140","2001-08",0.0438749940592697,1605.80205085189,585.522055858465,0,241,241
"141","2001-09",0.0439269024219546,1087.90061476507,654.603102085363,139,44,-95
"142","2001-10",0.0440119274752839,1009.35955698573,1518.2190058092,358,3,-355
"143","2001-11",0.0441255462048725,1047.81994282801,2279.46614252701,517,0,-517
"144","2001-12",0.0442697824589845,1282.63178240801,3607.50356786019,859,0,-859
"145","2002-01",0.04444471850442,1617.99959919809,5181.36710368202,980,0,-980
"146","2002-02",0.0446056538726733,1162.73418208831,4553.84684051893,870,0,-870
"147","2002-03",0.0447535404087567,1299.60207238936,4336.2269227849,838,0,-838
"148","2002-04",0.0448864094001507,1087.09285721063,2830.99399884183,432,29,-403
"149","2002-05",0.0450046543127969,995.014064088584,1611.48751198811,288,21,-267
"150","2002-06",0.0451081273666912,1324.90464580676,954.158428032207,21,201,180
"151","2002-07",0.0451981024738156,1813.66811576891,725.792500413755,1,329,328
"152","2002-08",0.0452735746767308,1695.55068916,583.290013685615,2,282,280
"153","2002-09",0.0453345380082373,1309.20282123464,580.35048188317,44,139,95
"154","2002-10",0.0453820250230856,1087.99183146447,1563.49677441224,444,28,-416
"155","2002-11",0.045416366459142,1129.79058474317,3048.85777646016,752,0,-752
"156","2002-12",0.0454384122097828,1509.0688640203,5115.72558295181,1080,0,-1080
"157","2003-01",0.0454465707801573,1765.94915306172,6735.51579145985,1371,0,-1371
"158","2003-02",0.0454645725181612,1451.03366752742,6083.47994157972,1144,0,-1144
"159","2003-03",0.045490209690847,1384.50408746766,4535.13828323962,784,0,-784
"160","2003-04",0.0455224840296766,971.576684484084,2560.29014996274,421,2,-419
"161","2003-05",0.0455614941722325,998.168464643185,1289.22094360446,191,11,-180
"162","2003-06",0.0456031253782156,1120.95684493205,799.955646935419,69,96,27
"163","2003-07",0.0456510295651668,1570.78380434558,729.503093429435,1,204,203
"164","2003-08",0.0457064100322684,1530.77332022965,602.925838249411,1,230,229
"165","2003-09",0.0457698545856937,1185.43726623531,686.257767746848,106,34,-72
"166","2003-10",0.0458407918469509,1049.28588456157,1757.02841656415,449,0,-449
"167","2003-11",0.0459196624159818,1057.03008964821,2497.30533329506,573,0,-573
"168","2003-12",0.0460074951518825,1522.65245181336,4840.98643313855,1018,0,-1018
"169","2004-01",0.0461032453490709,1794.24045401255,6460.43055055762,1318,0,-1318
"170","2004-02",0.0461994630716625,1454.76074243503,5610.19736166426,1047,0,-1047
"171","2004-03",0.0462947409722212,1307.45991799203,4034.88966118837,731,0,-731
"172","2004-04",0.0463873000369436,1072.94125000009,2566.56520864291,457,6,-451
"173","2004-05",0.0464783252067052,1017.39423835983,1204.22319807376,119,90,-29
"174","2004-06",0.0465696043853542,1288.88214264385,650.469266554828,36,112,76
"175","2004-07",0.0466597511303855,1502.86109077019,642.205592949108,4,194,190
"176","2004-08",0.0467484819630416,1397.93170829032,578.251613772082,33,125,92
"177","2004-09",0.0468366323710907,1221.89900652934,632.613695294825,55,73,18
"178","2004-10",0.0469236198127763,1043.05290536853,1427.86139892081,380,1,-379
"179","2004-11",0.047011581531333,1112.38692116301,2523.4175775897,621,0,-621
"180","2004-12",0.0470995701229351,1581.21988293928,4588.61502992138,1004,0,-1004
"181","2005-01",0.0471868970392932,1688.13420773366,5789.78726004803,1137,0,-1137
"182","2005-02",0.0472652468136509,1379.14793943491,4958.83531853558,938,0,-938
"183","2005-03",0.0473304912900536,1409.73484848767,4812.36442578069,954,0,-954
"184","2005-04",0.0473818047805618,1079.72267257808,2352.14878079219,414,2,-412
"185","2005-05",0.0474203416525216,1033.9636605682,1508.7461090252,286,6,-280
"186","2005-06",0.0474476829572751,1415.12451202067,722.784265738335,10,237,227
"187","2005-07",0.0474622007626245,1778.06641127489,591.87983031221,0,306,306
"188","2005-08",0.0474648167903647,1785.19451726198,549.07925285808,2,276,274
"189","2005-09",0.0474550067193218,1322.27153297161,553.539117401627,26,99,73
"190","2005-10",0.0474334369522532,1152.84715776106,1324.83503210476,369,18,-351
"191","2005-11",0.0474026276231788,1189.71236729503,2627.4605524068,638,0,-638
"192","2005-12",0.0473582264204186,1676.78101313198,5277.08072506009,1186,0,-1186
"193","2006-01",0.0473029849353515,1593.59067347958,4265.50243673136,814,0,-814
"194","2006-02",0.0472513765280016,1343.15760818381,4518.92527225089,950,0,-950
"195","2006-03",0.0472048903708669,1406.27868864571,3899.84813494131,818,0,-818
"196","2006-04",0.0471613202571073,1045.88751751674,1865.64385211057,340,2,-338
"197","2006-05",0.0471219632087704,1013.14279740197,1111.41424471438,220,52,-168
"198","2006-06",0.0470852539983444,1287.98819973688,667.472579164445,31,108,77
"199","2006-07",0.0470518912837699,1714.26959830206,550.050268150961,1,291,290
"200","2006-08",0.0470229265088423,1763.71613415698,513.310631804663,0,256,256
"201","2006-09",0.046996694878219,1091.63623634745,576.012767848472,103,22,-81
"202","2006-10",0.0469755129754255,1087.06512113848,1685.42641914811,435,5,-430
"203","2006-11",0.0469589287470921,1251.23197179741,2742.79403752045,617,0,-617
"204","2006-12",0.0469450917544305,1495.28917857496,3778.14884986671,813,0,-813
"205","2007-01",0.0469364691636712,1649.24411212931,4733.85764651367,990,0,-990
"206","2007-02",0.0469334126015181,1624.44644094452,6039.36239548696,1289,0,-1289
"207","2007-03",0.0469352734216932,1433.57435151561,3735.92701858736,671,4,-667
"208","2007-04",0.0469402006070758,1119.63030289256,2709.65743444951,507,0,-507
"209","2007-05",0.0469497898344208,1119.41579804071,993.350358383875,113,81,-32
"210","2007-06",0.0469627424030632,1398.25193729037,643.78564754502,14,183,169
"211","2007-07",0.0469790780059861,1547.61787289594,550.694555706342,3,193,190
"212","2007-08",0.0469995220527236,1775.01245359353,508.543188440315,3,306,303
"213","2007-09",0.0470242272546808,1402.32626474914,554.310185665227,43,146,103
"214","2007-10",0.0470540841913561,1164.17796225048,944.375442343276,216,57,-159
"215","2007-11",0.0470880273265093,1163.82404702071,2755.97689727061,692,0,-692
"216","2007-12",0.0471269893397381,1593.96627179026,4562.95490332818,974,0,-974
"217","2008-01",0.0471714404675481,1752.92085811822,5158.94030804092,1094,0,-1094
"218","2008-02",0.0471820836960365,1571.16007259409,5183.91806204647,1061,0,-1061
"219","2008-03",0.047158218760573,1515.20960161483,4381.41605978943,890,0,-890
"220","2008-04",0.0471011007778839,1077.90525589471,2031.24223742199,356,3,-353
"221","2008-05",0.0470081195688016,980.664911196943,1159.74964631251,214,9,-205
"222","2008-06",0.0468811616795567,1352.07096751157,593.790049102265,9,207,198
"223","2008-07",0.0467192951740411,1628.76461785874,533.260738764292,0,240,240
"224","2008-08",0.0465225555459116,1567.22550635789,493.807461527788,4,173,169
"225","2008-09",0.0462919984985257,1216.02116102232,531.297520618258,28,87,59
"226","2008-10",0.0460278609198038,1050.17230564866,1369.1899550211,402,3,-399
"227","2008-11",0.0457300397969645,1243.69940345204,2955.55680314792,756,0,-756
"228","2008-12",0.0453994466664878,1723.27645836973,4982.07608302142,1035,0,-1035
"229","2009-01",0.0450341643594254,1933.15472541256,6171.88941676827,1351,0,-1351
"230","2009-02",0.0447157628097,1488.17825222401,4710.41843778332,941,0,-941
"231","2009-03",0.0444426662780998,1345.42821135266,3375.77368933773,710,0,-710
"232","2009-04",0.0442158262427625,1067.66290023636,2190.48472947547,438,19,-419
"233","2009-05",0.0440339651564866,1029.33738239304,902.44053749796,144,33,-111
"234","2009-06",0.0438973571531577,1275.87492659209,582.541067256559,25,146,121
"235","2009-07",0.0438059403837589,1386.5450227884,530.450164168066,7,125,118
"236","2009-08",0.0437599473541529,1502.3948891306,513.398383333587,11,200,189
"237","2009-09",0.0437585529226585,1158.08043678686,587.54168262486,59,48,-11
"238","2009-10",0.0438032050646896,1096.02821983455,1645.69245481998,465,0,-465
"239","2009-11",0.0438939293386361,1137.93521584322,2217.14211597268,583,0,-583
"240","2009-12",0.044032007052775,1612.3377993008,4564.30724131855,1050,0,-1050
"241","2010-01",0.0442149957065074,1857.66432369522,5481.54290008728,1230,0,-1230
"242","2010-02",0.0443956219236537,1545.94093227643,4973.11997082664,1091,0,-1091
"243","2010-03",0.0445741069222692,1336.55886876751,3258.06532797217,699,0,-699
"244","2010-04",0.0447497260179554,981.53075442434,1470.17987735181,298,13,-285
"245","2010-05",0.0449226232426792,1062.6337421467,913.603305780156,123,80,-43
"246","2010-06",0.0450929417573998,1445.54381133511,555.828586263434,8,228,220
"247","2010-07",0.0452596642552293,1805.22808190517,499.629372699498,3,325,322
"248","2010-08",0.0454229021756196,1784.48278374325,458.447198586171,1,293,292
"249","2010-09",0.045582749702747,1268.69443451361,558.956065926165,66,99,33
"250","2010-10",0.0457398157616978,1039.1982242834,1269.2005801474,328,5,-323
"251","2010-11",0.045895775158566,1147.96608550297,2617.74543715312,674,0,-674
"252","2010-12",0.04604934012752,1719.26587566537,5102.24708473878,1224,0,-1224
"253","2011-01",0.0461993689204007,1890.66021666176,5878.49014129277,1280,0,-1280
"254","2011-02",0.0463358099740913,1473.39145007089,4673.35944163197,953,0,-953
"255","2011-03",0.0464578341020171,1330.38279344268,4061.17665665592,803,0,-803
"256","2011-04",0.0465631207623216,1068.99310488714,2110.6075155081,378,4,-374
"257","2011-05",0.0466534309486033,1143.45623026222,1135.56779414177,166,82,-84
"258","2011-06",0.0467289365699644,1378.87567710864,576.435541149883,10,182,172
"259","2011-07",0.0467877211394031,1862.05411786579,425.776571851585,0,393,393
"260","2011-08",0.04683132217019,1718.78069537541,524.809220850857,0,223,223
"261","2011-09",0.0468587440389409,1215.64041443117,598.850147882528,97,80,-17
"262","2011-10",0.0468720680949059,998.388085595491,1233.17931895407,375,0,-375
"263","2011-11",0.0468712172898259,1137.44236187944,2317.29375512553,520,0,-520
"264","2011-12",0.0468552142815658,1525.361040677,3849.97587635435,852,0,-852
"265","2012-01",0.0468238234276863,1661.29013715091,4797.06622855959,998,0,-998
"266","2012-02",0.0468022892639915,1364.71320769606,4002.03162296922,867,0,-867
"267","2012-03",0.046786926549337,1180.35075836203,2133.56532487107,425,13,-412
"268","2012-04",0.0467795446436173,969.065493826808,1708.15813368744,444,2,-442
"269","2012-05",0.046780094819957,1151.8873965813,949.808449525631,66,113,47
"270","2012-06",0.0467872119638483,1425.02625364243,561.429667646822,22,196,174
"271","2012-07",0.0468015498966905,1870.96647757274,425.508924217666,0,393,393
"272","2012-08",0.0468225630344251,1706.05431410043,417.801982160913,0,211,211
"273","2012-09",0.0468504813055429,1159.88763463503,543.5255501023,126,81,-45
"274","2012-10",0.0468868004309687,1034.79124899339,1559.54241552841,391,2,-389
"275","2012-11",0.0469315078093268,1243.38100397061,3185.14227247351,743,0,-743
"276","2012-12",0.0469846480960384,1534.35927189889,3717.47617491521,836,0,-836
"277","2013-01",0.0470459753766493,1592.68950163344,5121.45140911572,1050,0,-1050
"278","2013-02",0.0471187670911459,1428.36033705009,4814.52868600525,997,0,-997
"279","2013-03",0.0472005888308887,1494.09806642316,4472.34073471538,934,0,-934
