"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0214005836268804,1734.23674539502,4917.00264463405,631,0,-631
"2","1990-02",0.0213851004536936,1313.19428066695,3560.95309624129,543,0,-543
"3","1990-03",0.0213700172117924,1275.63214111331,2878.66125805158,418,10,-408
"4","1990-04",0.021348919368687,1174.17217833756,2311.22798327091,201,32,-169
"5","1990-05",0.0213321399950742,1211.8791567894,1399.55172916007,64,130,66
"6","1990-06",0.0213155062570193,1861.6394051859,766.646049272505,0,472,472
"7","1990-07",0.0213005964161374,2427.98485329579,583.086280306735,0,477,477
"8","1990-08",0.0212864081335095,2139.10096742374,554.92880569332,0,495,495
"9","1990-09",0.0212736493870964,2220.25046460585,542.104347810903,9,356,347
"10","1990-10",0.0212630535161165,1460.02312266752,837.528141876727,188,45,-143
"11","1990-11",0.0212588514830244,1205.64077228461,1620.28953856253,315,10,-305
"12","1990-12",0.0212570439769301,1508.08879290336,2858.35748379313,874,0,-874
"13","1991-01",0.0212584995034869,1611.56952035031,5509.76863244319,959,0,-959
"14","1991-02",0.0212599972018957,1245.75482682536,3868.86748104704,487,0,-487
"15","1991-03",0.021264962690531,1086.000952524,2846.43401051385,353,12,-341
"16","1991-04",0.0212693773355941,1023.6717689773,1631.43088133315,117,36,-81
"17","1991-05",0.0212721795323351,1101.23435346494,987.302093416872,23,241,218
"18","1991-06",0.0212731665043784,1669.91861778168,686.239058938788,0,389,389
"19","1991-07",0.0212832938197705,2216.02868994309,603.493062712568,0,532,532
"20","1991-08",0.0212939207141161,2162.98925878424,542.868003693496,0,477,477
"21","1991-09",0.0213063428429923,1714.31384720977,600.204035438895,45,223,178
"22","1991-10",0.021322185834796,1101.55083504191,801.333129870031,136,80,-56
"23","1991-11",0.0213425395306465,1169.27061790833,2378.64671615103,592,0,-592
"24","1991-12",0.0213681452527027,1319.91114458377,3459.91125232912,663,1,-662
"25","1992-01",0.0213962854184436,1434.31570490682,4175.04106613232,737,0,-737
"26","1992-02",0.0214254900767918,1195.15659278967,3653.65418200868,471,0,-471
"27","1992-03",0.0214536452082603,1036.86242586336,2478.11114898139,347,2,-345
"28","1992-04",0.0214794468887451,1027.66243872457,2039.50178983761,160,42,-118
"29","1992-05",0.0215052588041714,1007.64298294094,1100.19618856923,66,105,39
"30","1992-06",0.0215303876703418,1253.06418202951,870.303093364943,1,257,256
