"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0228239506871503,2267.9573880274,1461.91517643701,751,0,-751
"2","1990-02",0.022806886002933,2135.2702301725,1452.60849351722,740,0,-740
"3","1990-03",0.0227886882336893,1878.57295035465,1233.8128722332,559,0,-559
"4","1990-04",0.0227575444267098,1483.37986499513,696.412152403099,369,0,-369
"5","1990-05",0.0227325526410668,1393.06182768289,563.920999089763,354,1,-353
"6","1990-06",0.022706026964604,1226.28075558325,459.981071758057,153,21,-132
"7","1990-07",0.0226808825292586,1246.33389691752,268.043719346798,25,129,104
"8","1990-08",0.0226552773655155,1168.68422953735,212.81673392708,30,105,75
"9","1990-09",0.0226305080254531,1144.9734419384,201.782524658591,58,25,-33
"10","1990-10",0.0226079021691106,1379.75913465614,338.043529090632,442,0,-442
"11","1990-11",0.0225951501843298,1707.34376038135,745.659704793012,609,0,-609
"12","1990-12",0.0225848900074831,2343.07177474941,1285.52414557791,1031,0,-1031
"13","1991-01",0.0225786526864142,2720.56764038347,2009.49718343238,864,0,-864
"14","1991-02",0.0225729613588855,1833.60060386503,1327.24871600245,503,0,-503
"15","1991-03",0.0225739847341554,1847.54006711028,1154.70494786785,679,0,-679
"16","1991-04",0.0225743982490227,1763.72391036348,986.257734860289,519,0,-519
"17","1991-05",0.0225722681767417,1477.89179766891,724.269468842207,419,0,-419
"18","1991-06",0.0225672262238562,1297.21237490379,545.312152582496,234,1,-233
"19","1991-07",0.0225790030255301,1210.3771281489,302.183608702565,24,88,64
"20","1991-08",0.0225919965592957,1211.12062386403,221.297850185357,27,91,64
"21","1991-09",0.0226085393311852,1183.0370180423,216.069639454948,77,47,-30
"22","1991-10",0.0226315591107632,1302.85464774356,263.145869986235,360,1,-359
"23","1991-11",0.022663027697624,1705.41433625731,779.397300027474,580,0,-580
"24","1991-12",0.0227043055471136,2133.02193147024,1313.71475504718,773,0,-773
"25","1992-01",0.0227505459726893,2292.50069376923,1612.41878474457,727,0,-727
"26","1992-02",0.0228008346379387,1797.12815390038,1188.70447782891,536,0,-536
"27","1992-03",0.0228513637932419,1597.63656964151,912.418933710516,477,0,-477
"28","1992-04",0.0228997713905057,1488.93898686138,695.514433130454,367,0,-367
"29","1992-05",0.022950305757278,1294.6322763171,458.298655160605,171,21,-150
"30","1992-06",0.0230016982243116,1130.69016601938,283.022047445368,90,69,-21
"31","1992-07",0.0230555256770153,1171.62254662025,223.245004898058,27,95,68
"32","1992-08",0.0231076896862809,1203.52623334034,192.127730914953,29,110,81
"33","1992-09",0.0231648601331453,1171.41438330963,236.244260235058,144,11,-133
"34","1992-10",0.0232253644625508,1333.44749061877,370.073172641735,338,0,-338
"35","1992-11",0.0232917647908204,1593.01108354069,723.937280632677,630,0,-630
"36","1992-12",0.0233636475598994,2330.69657579556,1572.71101306317,870,0,-870
"37","1993-01",0.0234377335579479,2600.53598369434,2095.59331148541,952,0,-952
"38","1993-02",0.0235179787240721,2037.40339392117,1651.38709022424,760,0,-760
"39","1993-03",0.0236013507938335,1935.02015250811,1386.90357007791,548,0,-548
"40","1993-04",0.0236838791026657,1642.97163503957,912.66251591751,468,0,-468
"41","1993-05",0.0237682666131466,1408.17333419345,636.360277980946,209,3,-206
"42","1993-06",0.0238530433951686,1144.93332703498,339.376452684702,172,7,-165
"43","1993-07",0.0239392183874779,1196.90486564142,275.346143618385,114,2,-112
"44","1993-08",0.0240253920227721,1193.6605622541,240.50443914541,60,67,7
"45","1993-09",0.0241155132775291,1232.8747634846,249.393484302619,122,36,-86
"46","1993-10",0.024208718917063,1341.53216173629,342.096157982228,310,0,-310
"47","1993-11",0.0243090125975109,1715.19864739649,832.142710212407,795,0,-795
"48","1993-12",0.0244136939061193,2368.78653793012,1741.83966805179,820,0,-820
"49","1994-01",0.0245213136016406,2218.44022232108,1672.88194875206,712,0,-712
"50","1994-02",0.0246264513508579,1959.19695699646,1552.25131070441,707,0,-707
"51","1994-03",0.0247203831681809,1810.84509932587,1190.92142700087,537,0,-537
"52","1994-04",0.0247994507050524,1560.71747650221,847.54120808742,412,0,-412
"53","1994-05",0.0248752467651753,1305.27302570223,500.302637276404,246,2,-244
"54","1994-06",0.0249393261116907,1184.78667276539,383.419077609573,174,5,-169
"55","1994-07",0.0249943596627136,1252.09802332903,264.743700376949,29,116,87
"56","1994-08",0.0250405550189343,1222.51935955808,215.053324219368,14,44,30
"57","1994-09",0.0250781864196909,1183.62711890816,223.843944391898,76,34,-42
"58","1994-10",0.025109387414537,1368.64968055828,402.428181235018,429,0,-429
"59","1994-11",0.0251364173510545,1786.83582677071,1137.58212527156,773,0,-773
"60","1994-12",0.0251574275890661,2347.04874186497,1791.30585330048,789,0,-789
"61","1995-01",0.0251715546533629,2284.14480353341,1787.81609308892,706,0,-706
"62","1995-02",0.0252228683795458,1735.35460555083,1275.70592917631,542,0,-542
"63","1995-03",0.0253099169009919,1806.95510596112,1230.8599559238,610,0,-610
"64","1995-04",0.0254273282486873,1619.33117554682,968.415714948245,499,0,-499
"65","1995-05",0.025582178697539,1426.83904170142,711.672682236668,266,4,-262
"66","1995-06",0.0257680708980917,1172.93825951065,376.11122798232,170,30,-140
"67","1995-07",0.0259866202521096,1245.49354376944,279.898828777031,24,101,77
"68","1995-08",0.026239525771907,1195.50779870538,226.187166587609,71,41,-30
"69","1995-09",0.0265239143451914,1171.4689992501,237.192529193223,66,32,-34
"70","1995-10",0.0268429003814886,1360.99548678741,388.790594570033,410,0,-410
"71","1995-11",0.0272022534778416,1626.79185501789,901.723300048527,489,0,-489
"72","1995-12",0.027599973529943,2057.17590780519,1358.38896547745,744,0,-744
"73","1996-01",0.0280344597280435,2183.31997460898,1732.68611866632,781,0,-781
"74","1996-02",0.0284209816852851,2071.11198120255,1915.46031318791,707,0,-707
"75","1996-03",0.0287571477994185,1907.30357613978,1384.27217947366,586,0,-586
"76","1996-04",0.0290419280206068,1574.10405734642,964.787298099645,427,0,-427
"77","1996-05",0.0292802840755105,1385.7624817997,785.565004201679,385,0,-385
"78","1996-06",0.0294683500938221,1315.67061699246,472.721683194257,163,8,-155
"79","1996-07",0.0296087811411667,1268.61881527967,285.753253038915,33,152,119
"80","1996-08",0.0296984206865095,1284.74611068687,228.865893171541,41,100,59
"81","1996-09",0.0297415972352562,1192.04471138066,278.776609544859,197,3,-194
"82","1996-10",0.0297405042784603,1318.60367175173,460.128835418835,421,1,-420
"83","1996-11",0.0296936688696628,1757.48118068798,1071.36469211805,624,0,-624
"84","1996-12",0.0296087840780745,2222.32882332791,1758.85632595677,770,0,-770
"85","1997-01",0.0294800711689628,2274.517020431,1916.24687078969,800,0,-800
"86","1997-02",0.029445788925504,1949.2967351987,1731.11927173465,657,0,-657
"87","1997-03",0.0295020935020996,1888.405985206,1430.56160939608,611,0,-611
"88","1997-04",0.0296465064992521,1571.44344681224,1054.32607590708,494,0,-494
"89","1997-05",0.0298835518215494,1336.34055322735,633.555632801845,192,13,-179
"90","1997-06",0.0302091232805265,1161.90093173711,359.228167776366,162,5,-157
"91","1997-07",0.0306242677718371,1210.99123196691,295.666704049378,33,55,22
"92","1997-08",0.0311244416773061,1274.20419954451,254.008192588807,6,104,98
"93","1997-09",0.0317163186630029,1241.06575253211,277.39848793841,100,23,-77
"94","1997-10",0.032400862641262,1373.2707761983,513.272536976175,430,0,-430
"95","1997-11",0.0331797554639269,1652.71118589093,905.471350512458,543,0,-543
"96","1997-12",0.0340530583859913,2145.94709162195,1561.60656188192,834,0,-834
"97","1998-01",0.0350145611459605,2297.10305913735,2056.05584685329,713,0,-713
"98","1998-02",0.0358786549734301,1799.45819034698,1538.62567492075,601,0,-601
"99","1998-03",0.0366394695286525,1803.07147142101,1430.81862590673,591,0,-591
"100","1998-04",0.0372874222801794,1600.50411920509,963.481153566407,481,1,-480
"101","1998-05",0.0378312622803395,1327.38632566155,721.724390417863,365,1,-364
"102","1998-06",0.038269941335044,1265.00228024171,558.648994595593,139,2,-137
"103","1998-07",0.0386042508288785,1255.48764069744,312.952313940012,17,134,117
"104","1998-08",0.0388319752122923,1311.4171569676,221.303475614412,22,95,73
"105","1998-09",0.0389593757368098,1244.84920230671,253.966573339388,93,50,-43
"106","1998-10",0.0389864478931623,1343.54313978184,478.277262743787,423,0,-423
"107","1998-11",0.0389153995089863,1639.70281668467,1052.33521057669,586,0,-586
"108","1998-12",0.0387483800144086,2342.6717465323,1838.37625381382,858,0,-858
"109","1999-01",0.0384775040781685,2436.70479674257,2129.82106573813,771,0,-771
"110","1999-02",0.0382714704735979,1970.28014224601,1943.89012602181,676,0,-676
"111","1999-03",0.0381177820489091,2008.17776106935,1695.71457585928,681,0,-681
"112","1999-04",0.038008438315294,1673.00466843366,1305.03021598889,514,0,-514
"113","1999-05",0.0379503159329996,1475.15798740642,922.956304759168,405,2,-403
"114","1999-06",0.0379420250455541,1252.3524037263,547.288845234187,202,10,-192
"115","1999-07",0.0379849402123925,1203.89945955072,280.099148953333,66,48,-18
"116","1999-08",0.038077715084252,1324.43163885076,270.170073389318,33,83,50
"117","1999-09",0.0382231008141947,1251.75621460983,305.640392689352,140,18,-122
"118","1999-10",0.0384202187956761,1327.25387438575,526.802756738099,384,0,-384
"119","1999-11",0.0386732627952062,1600.8804652325,1008.93801526921,516,0,-516
"120","1999-12",0.0389795239916703,2087.05600264026,1743.34860665148,756,0,-756
"121","2000-01",0.0393308267874561,2343.81408680858,2132.26935958358,826,0,-826
"122","2000-02",0.0396430249523783,2018.94729432738,1853.03674022082,651,0,-651
"123","2000-03",0.0399067053056141,1892.16550736022,1614.09871127365,664,0,-664
