"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0243768463172403,1386.22908855216,4311.88472703259,880,0,-880
"2","1990-02",0.0243662240088329,1078.05977773917,3168.92086837388,801,0,-801
"3","1990-03",0.0243542614782741,1062.77290185295,2945.69259582679,702,3,-699
"4","1990-04",0.0243385114740169,941.856227910053,2262.03803877181,453,24,-429
"5","1990-05",0.0243228936903849,802.67454465197,1219.86231668843,233,4,-229
"6","1990-06",0.0243058157963156,785.655558223743,774.638892843747,29,144,115
"7","1990-07",0.0242878729544162,915.535613824128,551.04656288802,5,252,247
"8","1990-08",0.0242686788951442,957.676923729848,525.358230609806,6,194,188
"9","1990-09",0.0242484989834249,902.253161560787,614.3665563436,125,70,-55
"10","1990-10",0.0242276087147671,780.325719423108,976.975652893911,298,30,-268
"11","1990-11",0.0242076141018687,853.384692165629,1922.76634541764,599,0,-599
"12","1990-12",0.0241869875165059,1084.80536055899,2886.83066675735,877,0,-877
"13","1991-01",0.024166053898424,1269.70186278721,3925.43698122628,1104,0,-1104
"14","1991-02",0.0241533861567349,1116.59175419552,3510.92236214342,849,0,-849
"15","1991-03",0.0241502752002444,1062.53793026756,3011.59656736947,728,0,-728
"16","1991-04",0.0241551894068197,941.234049881386,2053.57842790989,407,5,-402
"17","1991-05",0.0241677185956429,857.535365482792,1020.82845931662,98,145,47
"18","1991-06",0.0241877755806638,917.202164341344,616.241382933401,15,202,187
"19","1991-07",0.024219517020416,1028.98650477052,525.272735280064,0,308,308
"20","1991-08",0.024259658504596,1031.51796623119,495.989517687019,0,265,265
"21","1991-09",0.0243086903871625,875.002538120611,623.767983997437,129,88,-41
"22","1991-10",0.0243672347489158,803.577771174651,1230.56508603318,350,10,-340
"23","1991-11",0.0244357164860734,912.82627082521,2169.65478835101,698,0,-698
"24","1991-12",0.0245144341006442,1119.88956389778,3133.05906782804,927,0,-927
"25","1992-01",0.0246023569452959,1256.00444073441,4047.70954383121,1064,0,-1064
"26","1992-02",0.0246831707837121,1202.07037797724,3835.91728350956,917,0,-917
"27","1992-03",0.024756063500262,1125.7053055869,3308.27929227774,871,0,-871
"28","1992-04",0.024820530240008,968.124170451783,2406.48345231137,487,0,-487
"29","1992-05",0.0248774932564424,824.513614977241,1282.44581168879,238,13,-225
"30","1992-06",0.0249266880554994,814.95327603433,737.493681965485,50,64,14
"31","1992-07",0.0249684662903439,925.542323561991,561.998415630873,1,227,226
"32","1992-08",0.0250019524801244,878.399197425757,540.551793793504,17,111,94
"33","1992-09",0.0250286042421473,834.080089225818,636.318742690172,113,66,-47
"34","1992-10",0.0250480737198136,833.069626246283,1450.94855867563,493,0,-493
"35","1992-11",0.0250609299539963,953.306950626962,2269.63760566799,672,0,-672
"36","1992-12",0.0250670962207732,1177.31239043396,3348.5283902701,996,0,-996
"37","1993-01",0.0250658770364612,1274.20548803133,3837.56751242985,994,0,-994
"38","1993-02",0.0250715557826121,1220.79266743567,4115.32559171024,1075,0,-1075
"39","1993-03",0.0250834766369401,1196.16048599644,3870.35763014215,928,0,-928
"40","1993-04",0.0251007880088339,965.412837791026,2283.03311003012,469,0,-469
"41","1993-05",0.0251240739660715,796.297916486137,1005.39473176944,142,29,-113
"42","1993-06",0.0251530227031313,870.127298287334,781.676234195391,39,154,115
"43","1993-07",0.0251878544685829,1141.43027472709,512.523184278388,0,314,314
"44","1993-08",0.0252282744138721,1049.59279785613,519.14193250071,2,254,252
"45","1993-09",0.0252751319943099,947.634592350749,616.29001157891,129,85,-44
"46","1993-10",0.0253282480028011,842.489989166682,1392.23863816771,440,0,-440
"47","1993-11",0.0253884840421841,943.780437116901,2221.69744181669,693,0,-693
"48","1993-12",0.0254552704226022,1166.50791222863,3413.60874096129,1035,0,-1035
"49","1994-01",0.0255283067660303,1476.71231917504,5023.88119221711,1384,0,-1384
"50","1994-02",0.0256001576943922,1331.82183818917,4374.27021670375,1081,0,-1081
"51","1994-03",0.0256689696375179,1202.66957604895,3640.50226685273,907,0,-907
"52","1994-04",0.0257339701884674,956.233106035966,2087.80554121073,380,7,-373
"53","1994-05",0.0257976401757219,808.031313907783,1231.63018673499,282,17,-265
"54","1994-06",0.0258581860309349,989.152275007649,750.489406346131,22,225,203
"55","1994-07",0.0259161862701645,1226.08854369943,505.052918340254,0,301,301
"56","1994-08",0.0259716944796608,991.848917206377,497.902041906525,23,142,119
"57","1994-09",0.0260247793723357,833.873835287314,563.298034288861,112,39,-73
"58","1994-10",0.0260759112367005,820.48690446344,1155.24310902133,430,0,-430
"59","1994-11",0.0261255927196903,877.947934943077,1722.68913550299,565,0,-565
"60","1994-12",0.0261734436246533,1112.45734898418,2916.98442823877,884,0,-884
