"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0261131870176523,945.539442987314,3512.02650403055,929,0,-929
"2","1990-02",0.0260948372009021,765.650045479604,2730.34740520033,900,0,-900
"3","1990-03",0.0260659394513715,752.069689649954,2646.65265461195,807,0,-807
"4","1990-04",0.0260243803228516,679.094338070112,2012.13013211259,547,4,-543
"5","1990-05",0.0259735789940259,614.397078234615,1312.37292861766,323,0,-323
"6","1990-06",0.0259121610984259,609.418128310161,820.865739499446,36,73,37
"7","1990-07",0.0258406498573941,674.130403157284,518.068409810952,6,210,204
"8","1990-08",0.0257587153768643,751.552646692266,516.916421122605,3,225,222
"9","1990-09",0.0256665894697626,705.211099525607,580.39150961061,134,51,-83
"10","1990-10",0.0255645081113381,587.437660107379,740.788406680369,284,31,-253
"11","1990-11",0.0254538407496188,666.464376825521,1456.87007634586,603,0,-603
"12","1990-12",0.0253332616436722,764.520783955997,2253.88237469134,840,0,-840
"13","1991-01",0.0252030334339359,878.8568722704,3002.75829293651,1146,0,-1146
"14","1991-02",0.0250899927328333,775.844959767712,2923.47709061162,880,0,-880
"15","1991-03",0.024995249949775,740.276643337496,2637.41996172176,777,0,-777
"16","1991-04",0.0249175280342818,671.379817842913,1894.34164508147,457,2,-455
"17","1991-05",0.0248565067786398,598.435895050675,1171.46217987573,144,60,-84
"18","1991-06",0.0248121392595726,640.039608326101,608.966163673172,40,113,73
"19","1991-07",0.0247879266879609,708.1455819947,536.868492218512,4,221,217
"20","1991-08",0.024781136740567,719.308541679041,566.098065009034,3,215,212
"21","1991-09",0.0247922038333281,708.85450181341,529.559785446785,154,55,-99
"22","1991-10",0.0248216718978822,602.508011160773,938.578357953143,330,2,-328
"23","1991-11",0.0248699217327871,669.331369897002,1549.69589694189,645,0,-645
"24","1991-12",0.0249372319118822,780.743781613022,2359.99110141331,942,0,-942
"25","1992-01",0.0250227771629783,887.914368735548,3236.88763114977,1107,0,-1107
"26","1992-02",0.0251030021769628,813.965026820524,3340.84489591797,984,0,-984
"27","1992-03",0.0251772220166007,763.808962972081,3028.61814186591,949,0,-949
"28","1992-04",0.0252450073137101,694.100893559685,2455.4412672451,615,0,-615
"29","1992-05",0.0253071205996844,631.309265919455,1563.89129213388,290,15,-275
"30","1992-06",0.0253633344566435,610.009635546632,834.073993193039,44,50,6
"31","1992-07",0.0254139370429948,633.849644237172,691.439456532383,21,131,110
"32","1992-08",0.0254581897970832,665.821704908867,457.799640696797,13,118,105
"33","1992-09",0.025497308683831,686.161841896011,592.111831598176,134,49,-85
"34","1992-10",0.0255309991230696,630.586927827031,963.567948761726,474,0,-474
"35","1992-11",0.0255597366641219,681.806970524313,1862.51359897384,718,0,-718
"36","1992-12",0.025583456217877,803.273328311466,2602.58616261781,999,0,-999
"37","1993-01",0.0256015717296955,881.407378050208,3348.28537928869,1081,0,-1081
"38","1993-02",0.0256206225242952,816.656116179118,3603.60159735894,1147,0,-1147
"39","1993-03",0.0256400699702542,801.912773694333,3566.50845362732,961,0,-961
