"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0217006098375767,2151.84463273442,1528.26602710183,455,0,-455
"2","1990-02",0.0216781711495035,1414.06198154623,809.406356879327,319,9,-310
"3","1990-03",0.0216539306025759,1367.50370030351,702.692691081124,261,26,-235
"4","1990-04",0.021616753665244,1231.68101079069,479.052099941751,136,37,-99
"5","1990-05",0.0215846445568551,1232.80684067476,229.200645701171,16,181,165
"6","1990-06",0.0215503616793815,1467.96568120629,136.295626415187,0,375,375
"7","1990-07",0.0215166564690515,2004.0189564318,113.440982579724,0,502,502
"8","1990-08",0.021481803833527,1981.44875492835,107.054298609842,0,464,464
"9","1990-09",0.0214470365301705,1946.60368805165,115.821949423338,12,285,273
"10","1990-10",0.0214136182936365,1368.16785194041,148.921169116856,99,118,19
"11","1990-11",0.0213887953255523,1224.26446670437,494.196249698284,282,3,-279
"12","1990-12",0.0213656648823918,1396.3577897003,853.659531243432,449,2,-447
"13","1991-01",0.0213456905687104,1759.50387034114,1156.14228510189,599,0,-599
"14","1991-02",0.0213289142329402,1654.07054745078,1147.29343554552,428,4,-424
"15","1991-03",0.0213211480060137,1496.41359752435,880.938368502416,285,25,-260
"16","1991-04",0.0213155250038747,1212.00298621312,403.322066217407,75,74,-1
"17","1991-05",0.0213102347912546,1212.27713035749,184.539802426488,7,267,260
"18","1991-06",0.0213049283757162,1614.61276015825,133.879838613904,0,347,347
"19","1991-07",0.0213181530726071,2003.10195239931,114.219186568151,0,500,500
"20","1991-08",0.0213352415785857,2053.58043244236,112.545398359787,0,418,418
"21","1991-09",0.0213583797589938,1760.04731316331,118.471790827428,12,275,263
"22","1991-10",0.0213903180864473,1314.28612653504,195.70268637906,105,57,-48
"23","1991-11",0.0214329133383649,1292.31793020424,596.856152217198,428,5,-423
"24","1991-12",0.0214874523861588,1547.7853866757,945.735411901485,495,11,-484
"25","1992-01",0.0215493538222329,1807.35819568041,1272.45313739292,614,0,-614
"26","1992-02",0.0216100895946151,1717.33093465208,1231.84820785019,429,0,-429
"27","1992-03",0.021666052802368,1405.66676446126,801.366305254908,376,1,-375
"28","1992-04",0.0217150001459307,1379.16114965965,693.438283784896,176,48,-128
"29","1992-05",0.021760969434995,1207.33059663907,311.858256487395,60,104,44
