"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0209773554410846,1639.24372063327,2756.70671813883,1113,0,-1113
"2","1990-02",0.0209719004323461,1433.61718202907,2381.11708487839,1102,0,-1102
"3","1990-03",0.0209748581299439,1313.97654119014,2012.24204081256,881,0,-881
"4","1990-04",0.0209801112406496,1211.58265658511,1491.00934731929,593,18,-575
"5","1990-05",0.0209974604252657,1023.52829627385,932.111948545127,310,3,-307
"6","1990-06",0.0210229207714954,988.89347578181,537.082384503216,48,153,105
"7","1990-07",0.0210579812233367,1223.61048957268,358.301686580193,14,210,196
"8","1990-08",0.0211016695596658,1116.21209225598,333.23586662566,6,228,222
"9","1990-09",0.021154649986265,1241.60633408338,367.076322108914,112,148,36
"10","1990-10",0.0212176203298166,1022.54514285401,815.729630931984,531,1,-530
"11","1990-11",0.0212946801715314,1212.73791502388,1505.54090624827,831,0,-831
"12","1990-12",0.0213819890141748,1385.83622824313,2357.47019124144,1518,0,-1518
"13","1991-01",0.0214804073851183,1884.42034030827,3401.1242991891,1551,0,-1551
"14","1991-02",0.0215756341651861,1477.31533005694,2353.31462484863,944,0,-944
"15","1991-03",0.021671000546164,1331.80630974528,2072.82139803794,892,0,-892
"16","1991-04",0.0217625301431766,1186.05504240756,1305.50319080684,511,5,-506
"17","1991-05",0.021849123846441,1046.66114653506,995.791889815335,237,62,-175
"18","1991-06",0.0219305271489681,1080.47516782499,464.257236516364,12,184,172
"19","1991-07",0.0220176499720619,1262.83943817801,349.875432627066,2,249,247
"20","1991-08",0.0221018877997068,1213.52492602109,331.103051236558,2,251,249
"21","1991-09",0.0221845258806617,1254.68402843934,440.043333939094,178,86,-92
"22","1991-10",0.0222672031405931,1040.95474346474,936.162604398089,579,3,-576
"23","1991-11",0.022351038372501,1342.05149745145,2202.46680122907,1146,0,-1146
"24","1991-12",0.0224368106420029,1482.46864199922,2447.84330771462,1172,0,-1172
"25","1992-01",0.0225217828911372,1526.42501637454,2513.32056445655,1163,0,-1163
"26","1992-02",0.0226074373778239,1422.24071443028,2293.79372955102,973,0,-973
"27","1992-03",0.0226916136548902,1260.61460889395,1840.24959194984,831,0,-831
"28","1992-04",0.0227729604366962,1237.29839128875,1523.42775233208,631,4,-627
"29","1992-05",0.0228538899449397,1023.29067341997,974.92315761207,214,41,-173
"30","1992-06",0.0229336826877446,961.148897079244,490.032904798261,69,51,-18
"31","1992-07",0.0230132460959242,1005.66116511187,404.144986720532,61,53,-8
"32","1992-08",0.0230902408813121,1020.8752913207,386.948124221182,77,90,13
"33","1992-09",0.0231685032686752,993.986652424223,479.386967840542,165,19,-146
"34","1992-10",0.0232470959244592,1024.22029492718,915.250389239791,519,2,-517
"35","1992-11",0.0233275193463,1355.68706475033,1924.5391121229,1050,0,-1050
"36","1992-12",0.0234095663567376,1608.96866859324,2727.34187663589,1443,0,-1443
"37","1993-01",0.0234913734542742,1830.58695897749,3474.22411613915,1579,0,-1579
"38","1993-02",0.0235787418551522,1470.97938226217,2703.37615141785,1405,0,-1405
"39","1993-03",0.0236699285475739,1493.70713578531,2540.90173967139,1034,0,-1034
"40","1993-04",0.0237626364781495,1311.48562084173,1744.50817000989,638,0,-638
"41","1993-05",0.0238584316626648,1047.69088730215,916.129150802419,267,4,-263
"42","1993-06",0.0239564592655907,1057.64679201795,558.860641250218,118,54,-64
"43","1993-07",0.0240573016963375,1164.42662061202,424.047149635501,25,121,96
"44","1993-08",0.0241601380683269,1261.52376798558,355.794908384527,30,157,127
"45","1993-09",0.024267264883852,1185.50165836824,546.751187274913,284,6,-278
"46","1993-10",0.0243781754754335,994.254244515429,964.590444496608,569,2,-567
"47","1993-11",0.0244952089076719,1244.69216002202,1896.05014303746,1081,0,-1081
"48","1993-12",0.0246167832143216,1567.74376346472,2656.35642085205,1283,0,-1283
"49","1994-01",0.0247420410768328,1733.24785326758,3353.9838146009,1702,0,-1702
"50","1994-02",0.0248563096228504,1660.64089501942,3374.46037243276,1452,0,-1452
"51","1994-03",0.0249544844171367,1432.19737127874,2336.10648402305,884,0,-884
"52","1994-04",0.0250344259809785,1233.23612209027,1549.14455322735,581,3,-578
"53","1994-05",0.0251029658561738,1056.32617130524,902.794837640194,184,60,-124
"54","1994-06",0.0251551524287194,1113.75719586859,403.927624548618,27,131,104
"55","1994-07",0.0251925719370474,1311.39650988711,270.570887592204,16,143,127
"56","1994-08",0.0252153619003117,1201.79169475079,386.866775240827,21,155,134
"57","1994-09",0.0252236989593667,1173.22145473194,408.950134655472,125,75,-50
"58","1994-10",0.0252188523902221,1070.22409264285,750.181106899089,454,0,-454
"59","1994-11",0.0252021610520685,1196.68551404905,1636.52098335266,897,0,-897
"60","1994-12",0.0251725460942614,1489.65301288427,2672.30811172885,1279,0,-1279
"61","1995-01",0.02512950819597,1612.08984167748,3017.70973960365,1425,0,-1425
"62","1995-02",0.0251103935428756,1472.41595477097,2778.15110144722,1102,0,-1102
"63","1995-03",0.0251144012279846,1396.39079091926,2412.48825551296,1026,0,-1026
"64","1995-04",0.0251384606475351,1281.95191873046,1865.6206996559,751,0,-751
"65","1995-05",0.0251867584595987,1112.54545592358,1161.94889546767,369,0,-369
"66","1995-06",0.0252556496314682,1212.3020472276,605.918362238644,86,138,52
"67","1995-07",0.0253461560197502,1377.11252004452,402.242791013686,10,243,233
"68","1995-08",0.0254593382782097,1484.74527462825,305.605648405901,6,291,285
"69","1995-09",0.0255936354980541,1324.78471234006,455.18906734666,213,57,-156
"70","1995-10",0.0257509195267452,1059.73186556571,1044.76449743107,569,2,-567
"71","1995-11",0.0259345320152397,1309.65143699583,1973.25013499068,1051,0,-1051
"72","1995-12",0.0261433802229173,1512.66768869266,2707.42364741466,1308,0,-1308
"73","1996-01",0.0263766170023198,1739.54449485113,3469.70806550274,1656,0,-1656
"74","1996-02",0.0265645616795276,1734.8920335514,3288.67970299977,1210,0,-1210
"75","1996-03",0.0267058289531286,1517.32002781026,2761.16880526844,1233,0,-1233
"76","1996-04",0.0267998059495479,1349.81651055172,2023.49629365872,664,0,-664
"77","1996-05",0.0268491644588605,1158.18906775485,1188.47739482233,377,17,-360
"78","1996-06",0.026851711359968,1210.52183008419,686.626654144269,46,138,92
"79","1996-07",0.0268088238153335,1348.01971924802,353.619032855291,8,155,147
"80","1996-08",0.0267187142446393,1326.82857212588,341.714311473769,1,181,180
"81","1996-09",0.0265836384203831,1282.77619041875,467.375903430706,222,55,-167
"82","1996-10",0.0264046616462117,1099.53445515642,854.805053648354,531,0,-531
"83","1996-11",0.0261808752842516,1390.53932700742,2091.05758676686,1242,0,-1242
"84","1996-12",0.02591621431465,1722.68084802362,3317.4684916689,1624,0,-1624
"85","1997-01",0.0256074523170733,1923.05318824677,4046.01628153838,1670,0,-1670
"86","1997-02",0.0254315256272104,1632.17734348965,3091.04563409822,1189,0,-1189
"87","1997-03",0.0253866575834876,1432.64105800193,2404.85621650163,1018,0,-1018
"88","1997-04",0.0254717764416802,1296.54206655781,1849.98042618184,744,0,-744
"89","1997-05",0.0256894168466015,1146.3539502577,1160.3530321298,362,3,-359
"90","1997-06",0.0260375956458779,1131.37870236443,544.629571845476,15,123,108
"91","1997-07",0.0265169778992091,1406.09051634781,366.994410887258,21,241,220
"92","1997-08",0.0271252515396775,1473.29188493773,344.713335231945,25,169,144
"93","1997-09",0.0278659902426706,1243.75849283194,386.045259701157,113,68,-45
"94","1997-10",0.0287397955098662,1120.5648168296,794.107248023401,474,16,-458
"95","1997-11",0.0297476826426183,1328.06985874055,1979.79058138696,1045,0,-1045
"96","1997-12",0.0308898173356931,1496.96194232749,2563.59130986194,1150,0,-1150
"97","1998-01",0.0321628517594702,1676.05158001885,3246.18040190218,1383,0,-1383
"98","1998-02",0.0333152932407667,1379.72936332669,2462.87337818462,903,0,-903
"99","1998-03",0.0343438335391814,1416.02722984241,2569.68314521674,1161,0,-1161
"100","1998-04",0.0352428257254779,1270.07134774588,1666.40411790833,537,0,-537
"101","1998-05",0.0360171091580172,1078.23508470182,751.228355703197,173,42,-131
"102","1998-06",0.0366659058519946,1119.14550783082,449.623135370052,133,65,-68
"103","1998-07",0.0371894820597804,1506.22217532636,405.33154584176,0,263,263
