"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0226275683625259,2652.18338703314,2577.98972421828,665,0,-665
"2","1990-02",0.0226022646928599,1803.98096268035,1451.29248855964,488,0,-488
"3","1990-03",0.0225814189121089,1637.74911701886,1240.48160290648,437,6,-431
"4","1990-04",0.0225546772177944,1510.14673103851,978.886851510171,286,24,-262
"5","1990-05",0.0225385834743818,1299.95904603239,469.990137091275,89,64,-25
"6","1990-06",0.0225264023386146,1563.93714047312,288.801111008286,2,276,274
"7","1990-07",0.0225206413769986,2090.55264889061,219.623009771716,0,358,358
"8","1990-08",0.022519684690593,1954.42574867809,212.70379589438,0,353,353
"9","1990-09",0.0225246717292709,2063.31148612953,224.349755347589,34,234,200
"10","1990-10",0.0225367977394704,1377.73819459124,348.598457241809,242,20,-222
"11","1990-11",0.0225628889263665,1460.30102048139,884.776280845315,400,1,-399
"12","1990-12",0.0225965959156057,1759.93122129521,1385.01201155387,684,0,-684
"13","1991-01",0.022639394709272,2194.21183072419,2189.20789884292,837,0,-837
"14","1991-02",0.0226897325720116,2089.21156630266,1935.81267291431,638,0,-638
"15","1991-03",0.0227531797833186,1799.62046216099,1525.34739298755,454,8,-446
"16","1991-04",0.0228232911464379,1391.72565862893,712.666441187285,132,22,-110
"17","1991-05",0.0228983474401964,1297.18774049233,357.363059994615,22,192,170
"18","1991-06",0.0229779926954894,1813.92890000115,247.095470679198,0,284,284
"19","1991-07",0.0230800883051395,2121.296764519,226.272769246582,0,417,417
"20","1991-08",0.0231905954304586,2128.08026180257,210.046556217094,0,333,333
"21","1991-09",0.0233116322535153,1919.94006805593,233.354425392856,58,227,169
"22","1991-10",0.0234458954790376,1370.23399405096,413.806975307762,201,34,-167
"23","1991-11",0.0235952427625702,1543.42537715989,1107.40804907716,578,0,-578
"24","1991-12",0.0237609944782547,1878.35339133902,1657.04594035367,676,0,-676
"25","1992-01",0.0239386799238987,2256.84030686018,2202.35553777239,819,0,-819
"26","1992-02",0.0241038611675003,2102.78919201965,1921.72855818144,586,0,-586
"27","1992-03",0.0242530302819524,1704.42667772125,1302.13647998342,521,0,-521
"28","1992-04",0.0243839983540835,1655.20927384157,1052.90266695194,260,28,-232
"29","1992-05",0.0245008513322504,1399.75903500911,473.1113106148,114,73,-41
"30","1992-06",0.0246024729154545,1496.83800078893,310.607816123194,11,176,165
"31","1992-07",0.0246904620824702,2006.77023285892,241.776589180568,0,374,374
"32","1992-08",0.0247610079175603,1956.7545389841,226.553096157726,2,221,219
"33","1992-09",0.0248205971366729,1704.19117280665,236.796116552184,29,152,123
"34","1992-10",0.0248677522723726,1357.58045026237,405.251226396448,254,3,-251
"35","1992-11",0.0249050430460507,1486.9203317676,960.513054830951,508,0,-508
"36","1992-12",0.0249321868920051,2055.88806456043,1957.41509328353,798,0,-798
"37","1993-01",0.024946166812183,2062.89695683137,2211.23161192946,751,0,-751
"38","1993-02",0.0249740976942576,1953.86499928309,1985.2240264418,751,0,-751
"39","1993-03",0.025013109363255,2018.93475286401,2147.61049296391,622,0,-622
"40","1993-04",0.0250594514539548,1538.58292198372,1229.54772866004,300,1,-299
"41","1993-05",0.0251157044844932,1249.2795329191,494.453529439765,55,80,25
"42","1993-06",0.0251804770601614,1560.52194411451,290.928437075224,11,274,263
"43","1993-07",0.0252547183009032,2199.6164150486,236.053928406107,0,490,490
"44","1993-08",0.0253370858825906,2208.55810152141,214.885489958368,0,391,391
"45","1993-09",0.0254312935028303,1949.09948287486,235.809369531872,41,148,107
"46","1993-10",0.0255364913024586,1274.68840960495,389.781103870371,261,10,-251
"47","1993-11",0.0256564375988591,1510.42468385474,1222.28722916806,566,2,-564
"48","1993-12",0.0257885354446184,1854.42134095166,1903.54273000996,801,0,-801
"49","1994-01",0.0259313640938966,3019.31220172328,2920.40463465524,1035,0,-1035
"50","1994-02",0.0260662831229352,2433.17203062423,2466.85531523213,661,0,-661
"51","1994-03",0.0261850159455859,1863.27779547746,1633.81291646587,521,0,-521
"52","1994-04",0.0262840853503266,1582.05262879758,969.310998068312,183,40,-143
