"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0258599355222501,1661.8906116143,2731.06222714969,367,12,-355
"2","1990-02",0.0258254246759532,1115.91203548399,1732.64965190423,262,12,-250
"3","1990-03",0.0257912809873421,1023.3135943516,1475.871851023,210,45,-165
"4","1990-04",0.0257375693714716,995.304560796636,976.899627477521,69,112,43
"5","1990-05",0.0256964832578062,1116.76473037397,690.525328383828,18,318,300
"6","1990-06",0.0256550384706309,1747.59729914015,544.87931285192,0,563,563
"7","1990-07",0.0256181229828743,2114.74739411948,486.799756870744,0,509,509
"8","1990-08",0.0255826248161478,1863.25923839362,479.511576150652,0,556,556
"9","1990-09",0.0255507172176416,2050.69988537016,476.769291141204,1,413,412
"10","1990-10",0.0255246316317522,1489.35765527635,648.476108137436,83,146,63
"11","1990-11",0.025517314679876,1058.72373289427,1056.31236939267,164,59,-105
"12","1990-12",0.0255164286261682,1190.69341075406,2117.548633328,513,12,-501
"13","1991-01",0.0255246028669805,1675.4034396306,2999.07180855075,596,0,-596
"14","1991-02",0.0255319251637258,1264.95796108928,1967.11430024957,300,4,-296
"15","1991-03",0.0255488663387684,1026.07088540143,1427.38378050647,158,57,-101
"16","1991-04",0.0255630917923194,996.431711144652,841.126341698119,26,161,135
"17","1991-05",0.0255713411817363,1171.13232708001,566.167177944683,5,336,331
"18","1991-06",0.0255729990242878,1680.17577606462,518.74314560826,0,462,462
"19","1991-07",0.0256015336529133,2007.80688482472,490.700970701931,0,542,542
"20","1991-08",0.0256305178781418,2011.69476011012,463.935683195591,0,522,522
"21","1991-09",0.025663905278112,1883.51366403326,483.532822528698,12,310,298
"22","1991-10",0.0257066623230959,1280.73078086719,633.118114964584,43,186,143
"23","1991-11",0.0257621326917269,1227.99319837957,1477.66026058044,361,21,-340
"24","1991-12",0.025832621069649,1228.06502557323,2035.66915506274,398,15,-383
"25","1992-01",0.0259098526364502,1389.79099711114,2461.14197667065,527,0,-527
"26","1992-02",0.0259843457261292,1270.520561212,2041.78912031327,281,5,-276
"27","1992-03",0.0260496101670944,1015.55783082018,1313.82897600029,156,31,-125
"28","1992-04",0.0261016259955937,987.357372240499,921.270605424293,67,98,31
"29","1992-05",0.0261476715313067,1117.1428229615,634.831150759723,14,205,191
"30","1992-06",0.0261856252339962,1399.49621242884,539.609145765807,0,428,428
"31","1992-07",0.0262182283957284,1974.63281785375,498.343837998508,0,539,539
"32","1992-08",0.026238574214788,1949.98202532316,462.66046025497,0,449,449
"33","1992-09",0.0262580829289238,1798.6897808309,473.829623369241,1,387,386
"34","1992-10",0.0262739773345768,1415.60581013014,523.844777911785,15,153,138
"35","1992-11",0.0262906615563222,1096.5948720993,1170.05626100572,330,21,-309
"36","1992-12",0.0263074889682638,1289.70786739978,2155.59940192255,408,8,-400
"37","1993-01",0.026319001433158,1395.04220611566,2531.42062502407,524,0,-524
"38","1993-02",0.0263449639960259,1230.7842616942,2100.7595492635,371,2,-369
"39","1993-03",0.0263802689553719,1123.18815499824,1661.92402689822,249,25,-224
"40","1993-04",0.0264182780091272,1056.05496066369,1056.78139641829,101,69,-32
"41","1993-05",0.0264635295513575,1030.73659969357,650.213835577498,7,206,199
"42","1993-06",0.026513570841745,1424.27647138959,513.018214579753,0,444,444
"43","1993-07",0.0265700801707283,1953.95275858469,470.035255305537,0,588,588
"44","1993-08",0.0266307181306439,2249.21014081703,447.619159639825,0,606,606
"45","1993-09",0.0267020206805678,2133.98018162994,435.937873958195,3,381,378
"46","1993-10",0.0267825133375653,1586.17049789492,689.947633138101,112,169,57
"47","1993-11",0.026878780946762,1128.3012212803,1443.56757329688,366,16,-350
"48","1993-12",0.0269862974471918,1220.10480305404,1975.90746980964,422,10,-412
"49","1994-01",0.0271026159536954,1389.23947806138,2539.18318836571,503,4,-499
