"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0213480237574844,790.022557341688,4635.29462759728,1130,0,-1130
"2","1990-02",0.0213074581030621,787.580255857252,4483.00347378102,1043,0,-1043
"3","1990-03",0.0212731115363996,767.524913428768,3668.20003551364,706,0,-706
"4","1990-04",0.0212246789198251,615.834333555665,2108.75857283046,399,0,-399
"5","1990-05",0.0211948452618546,612.517374112227,1648.08551674333,313,5,-308
"6","1990-06",0.0211703536703284,659.008548267966,1199.39628836594,77,148,71
"7","1990-07",0.0211561139422504,781.319256011474,836.05977365502,1,296,295
"8","1990-08",0.0211489185622232,744.552557585436,784.330526256816,6,208,202
"9","1990-09",0.0211509305111747,691.790044136021,773.45967335009,56,128,72
"10","1990-10",0.0211643834304116,630.896196400543,1219.98213310647,461,1,-460
"11","1990-11",0.0212024466656948,733.216367198168,2332.25089482962,825,0,-825
"12","1990-12",0.0212525964838705,1021.10097857595,4069.83897446053,1461,0,-1461
"13","1991-01",0.021317547937175,1038.04814314767,6028.56579498631,1385,0,-1385
"14","1991-02",0.0213719680471289,800.856069639843,4571.77217765124,902,0,-902
"15","1991-03",0.0214266020820444,717.115588632844,3586.580308448,830,0,-830
"16","1991-04",0.0214688173107271,721.62184708253,2828.00918098741,617,0,-617
"17","1991-05",0.0214952821243096,645.146164357624,2215.05347347387,377,1,-376
"18","1991-06",0.0215054182391491,641.350355931843,1271.77471918283,79,64,-15
"19","1991-07",0.0215336938652813,729.888938345619,838.175617836823,3,275,272
"20","1991-08",0.0215530076746507,767.913393224655,787.115441766727,0,246,246
"21","1991-09",0.0215674924028232,673.623189683796,833.322668636312,147,41,-106
"22","1991-10",0.0215823024293596,646.271669013178,1112.01307021262,457,0,-457
"23","1991-11",0.0216008956405575,770.680783695931,2643.23279655744,883,0,-883
"24","1991-12",0.0216256314021925,910.418308920837,4818.61469000626,1241,0,-1241
"25","1992-01",0.0216480874784473,977.59031645662,5165.70209681402,1315,0,-1315
"26","1992-02",0.0216728611440695,766.564928145436,4366.48816291739,877,0,-877
"27","1992-03",0.021693372660391,674.396277476401,2974.94670778536,652,0,-652
"28","1992-04",0.0217055925882583,666.578358717187,1940.7170872449,336,6,-330
"29","1992-05",0.021716885827793,634.873200546246,1207.52764856616,144,23,-121
"30","1992-06",0.0217251137074553,627.222701520533,924.203694519466,71,110,39
"31","1992-07",0.0217330240341592,728.917085120501,850.401835740669,23,185,162
"32","1992-08",0.0217336900397311,849.314439396286,756.818287337587,32,270,238
"33","1992-09",0.0217385328659425,639.950076093428,794.403043952688,116,42,-74
"34","1992-10",0.0217447419861192,637.877658730057,1080.70726972952,383,4,-379
"35","1992-11",0.0217566815252966,745.32339414055,2299.66203348568,1010,0,-1010
"36","1992-12",0.0217736729998222,955.690075114968,4749.5864943149,1314,0,-1314
"37","1993-01",0.0217902544833433,985.696120552814,5311.75236664665,1324,0,-1324
"38","1993-02",0.0218231257340242,788.076278661701,4781.54494038327,1124,0,-1124
"39","1993-03",0.0218671692762605,776.061701142733,3908.29016271904,810,0,-810
"40","1993-04",0.0219157459611418,676.07671586283,2589.07574817118,574,0,-574
"41","1993-05",0.0219733418089048,666.201705387981,1803.61000116788,219,43,-176
"42","1993-06",0.0220374790320285,667.059045662298,1086.45265756751,144,57,-87
"43","1993-07",0.0221097902630385,671.855747404567,900.310520910507,38,118,80
"44","1993-08",0.0221879038842378,729.961063936773,792.304566010038,13,139,126
"45","1993-09",0.0222782892775473,717.698783930932,846.144041461211,144,42,-102
"46","1993-10",0.0223794369253741,654.694349625222,1352.16296455013,484,2,-482
"47","1993-11",0.0224978779405636,756.497697901641,2716.24698076177,1001,0,-1001
"48","1993-12",0.0226290663487583,979.794307507869,4415.39743024464,1169,0,-1169
"49","1994-01",0.0227705218091376,894.086658335223,4192.26966369644,1037,0,-1037
"50","1994-02",0.0229104583646807,757.408202732799,4229.35117702032,987,0,-987
"51","1994-03",0.023034480140691,738.525229729105,2782.05585080855,688,0,-688
"52","1994-04",0.0231365493712942,685.184195705488,2024.29190944412,470,10,-460
"53","1994-05",0.0232359136965496,650.410969294261,903.955014476998,159,27,-132
"54","1994-06",0.0233186085534916,702.514372382745,802.908487349503,28,190,162
"55","1994-07",0.0233890947980667,857.145245232007,781.042179990663,4,341,337
"56","1994-08",0.0234477494374587,888.964552376056,743.327496955478,0,318,318
"57","1994-09",0.0234950589607405,740.923418479024,827.301830670509,70,87,17
"58","1994-10",0.0235345895126125,657.058823870443,2178.38153519255,503,0,-503
"59","1994-11",0.0235701111737588,819.09649047206,3940.71258261434,1033,0,-1033
"60","1994-12",0.0235985849651996,947.7644069944,4549.1259942679,1113,0,-1113
"61","1995-01",0.0236186037929667,922.168496218523,4378.27518503841,1108,0,-1108
"62","1995-02",0.0236701980689137,706.63830918793,3381.227411316,737,0,-737
"63","1995-03",0.0237510773031031,765.944486232283,3037.84919496896,742,0,-742
"64","1995-04",0.0238524589692956,703.720043143257,2431.54725960188,569,0,-569
"65","1995-05",0.0239861755502605,648.552623338972,1659.8425255333,390,0,-390
"66","1995-06",0.0241417556748105,671.340981600421,1092.79380238811,150,49,-101
"67","1995-07",0.024321995841031,833.373128036033,772.669184344918,14,197,183
"68","1995-08",0.0245298169046941,838.686612975343,791.008623227973,2,244,242
"69","1995-09",0.0247606057063564,753.257463773455,1093.23114377841,112,94,-18
"70","1995-10",0.0250196029435915,700.009819845975,2135.35139416429,489,0,-489
"71","1995-11",0.0253163460265983,745.974066044057,2588.13613262596,660,0,-660
"72","1995-12",0.0256476052410158,889.58396236593,3979.38027177274,986,0,-986
"73","1996-01",0.0260108248992487,951.969363438464,4711.96581738241,1105,0,-1105
"74","1996-02",0.0262994871429729,770.741033166125,4713.67908071195,987,0,-987
"75","1996-03",0.0265097849465963,784.891378582174,2975.29263801219,743,0,-743
"76","1996-04",0.0266401900026138,641.13937971769,2488.02456357628,512,1,-511
"77","1996-05",0.0266988312572692,754.526384625547,1231.93734949781,252,18,-234
"78","1996-06",0.026679633249387,699.161235587216,737.606316248439,23,148,125
"79","1996-07",0.0265869894098826,953.330030847172,835.319614387955,0,316,316
"80","1996-08",0.0264161167144729,915.611374723481,769.877115694151,3,248,245
"81","1996-09",0.0261739936086904,768.299233439901,1378.00864820907,187,58,-129
"82","1996-10",0.0258640719213216,789.121448546618,2282.12141544193,481,7,-474
"83","1996-11",0.0254841332972222,753.11893005174,3106.53567742956,780,0,-780
"84","1996-12",0.0250456231879347,974.30601567103,4426.00192061725,1044,0,-1044
"85","1997-01",0.0245396747153673,994.082245858844,5322.59660580155,1180,0,-1180
"86","1997-02",0.0242482141250563,787.200808139768,4502.73637473878,1018,0,-1018
"87","1997-03",0.0241652386824383,813.644423440408,3194.88517066577,734,0,-734
"88","1997-04",0.0242867673678966,691.237205027461,2616.08669462843,604,0,-604
"89","1997-05",0.024618707844996,692.413001603733,975.429834602127,194,29,-165
"90","1997-06",0.0251545331208874,742.733839379498,856.570791686345,43,106,63
"91","1997-07",0.0258949932429502,857.032628552826,801.565634277829,13,205,192
"92","1997-08",0.0268324722104781,939.279116334228,780.593984527635,1,246,245
"93","1997-09",0.0279759223297883,817.440619506172,1039.76024563251,103,71,-32
"94","1997-10",0.0293262165055566,744.476277730534,2279.39501284354,472,3,-469
"95","1997-11",0.0308856547246742,731.644047207273,3185.04174545234,809,0,-809
"96","1997-12",0.0326542875246243,1054.13920855152,5482.84281509943,1244,0,-1244
"97","1998-01",0.03462157266643,988.071093696174,4437.66374896226,1011,0,-1011
"98","1998-02",0.0364039042556284,678.281064606355,4325.73456938003,885,0,-885
"99","1998-03",0.0379923344665971,898.202182901415,3418.91667445958,827,0,-827
"100","1998-04",0.0393699094348007,721.804749621948,2557.26156259535,573,0,-573
"101","1998-05",0.040552476901533,661.789249545841,1180.92842141327,269,1,-268
"102","1998-06",0.0415383614941017,708.742367521131,1029.71071853738,156,36,-120
"103","1998-07",0.0423291719700458,953.166493051714,663.86523069255,0,329,329
"104","1998-08",0.0429207248477917,991.887345736823,699.43728547187,1,261,260
"105","1998-09",0.0433249718538919,788.654830644201,1003.20714898283,76,88,12
"106","1998-10",0.0435419285892817,715.857079069878,2340.58438345436,477,0,-477
"107","1998-11",0.0435757664825254,795.825012535529,3045.86343155357,768,0,-768
"108","1998-12",0.0434304453251248,961.956116975732,5154.52377745435,1199,0,-1199
"109","1999-01",0.0430902997620978,940.573826184901,4304.90933680823,1023,0,-1023
"110","1999-02",0.042800968733783,791.624909593053,4046.98246032174,866,0,-866
"111","1999-03",0.0425380564651696,827.683607109719,2841.1907567869,695,0,-695
"112","1999-04",0.0422862284007344,722.469573143279,2754.84337284843,632,0,-632
"113","1999-05",0.0420591950010426,735.757034705015,1390.07674744693,357,17,-340
"114","1999-06",0.0418549093670955,888.904202623397,857.900918743636,99,114,15
"115","1999-07",0.0416768445632949,1102.13388632603,1169.39295104536,0,286,286
"116","1999-08",0.0415234815012628,1007.60552173896,766.774235621872,2,242,240
"117","1999-09",0.0414012012828979,833.640257434867,1175.21596912709,153,40,-113
"118","1999-10",0.0413096445824975,773.185857987795,1825.17741334778,393,2,-391
"119","1999-11",0.0412579179672693,772.656609449361,2707.95308806355,641,0,-641
"120","1999-12",0.0412424036177053,1138.93618820636,4864.55970606661,1122,0,-1122
"121","2000-01",0.0412499560530856,888.471272776288,4182.33140196773,1009,0,-1009
"122","2000-02",0.0412688843891982,785.41325649865,3518.7766775797,811,0,-811
"123","2000-03",0.0412812972388102,806.715392362888,3378.54294519975,769,0,-769
"124","2000-04",0.0412741213878439,705.401797741576,1468.55836557316,380,3,-377
"125","2000-05",0.0412767957880908,724.124216905311,891.687754743291,182,46,-136
"126","2000-06",0.0412671596988593,863.558188906068,733.58041965101,38,152,114
"127","2000-07",0.0412428544055532,1093.04176273496,729.933921483731,2,352,350
"128","2000-08",0.0412191618275841,1224.10479946724,704.291924653475,2,330,328
"129","2000-09",0.0411872658420791,805.174666747654,1174.71327525061,138,72,-66
"130","2000-10",0.041153017350963,760.321352891053,1856.01049487126,448,2,-446
"131","2000-11",0.0411226697779704,760.278220390437,4060.56162784526,1071,0,-1071
"132","2000-12",0.0410873426644379,1025.54628543025,4672.31184659586,1131,0,-1131
"133","2001-01",0.0410576766693893,922.641542425349,4844.5943268844,1281,0,-1281
"134","2001-02",0.0410371743761125,845.275956903742,3946.84960621196,954,0,-954
"135","2001-03",0.0410176229540756,791.937968344119,2672.18944364626,711,0,-711
"136","2001-04",0.0409969460157796,698.061309532009,1978.29452463731,501,3,-498
"137","2001-05",0.0409821577407544,727.869078446203,905.721094100584,181,54,-127
"138","2001-06",0.0409641854493725,878.378817699989,853.531293732733,77,152,75
"139","2001-07",0.0409509648989949,1121.16440714535,680.576249250236,0,313,313
"140","2001-08",0.0409373957112826,1125.00231271708,692.980753514289,1,311,310
"141","2001-09",0.040923796744596,896.761242997006,762.27926604424,57,118,61
"142","2001-10",0.040938627791878,818.193240308292,1661.54375404897,380,7,-373
"143","2001-11",0.0409462165270454,724.528806214563,2666.55273469683,748,0,-748
"144","2001-12",0.0409626984669368,964.968819153581,4810.88270732091,1301,0,-1301
"145","2002-01",0.0409888268548983,1044.27888318969,5059.44091028499,1278,0,-1278
"146","2002-02",0.0410099894243024,820.276003316105,4452.46174869271,1112,0,-1112
"147","2002-03",0.0410334950022297,844.484826846695,3709.89354285409,931,0,-931
"148","2002-04",0.0410440646813912,724.151393149219,1552.07376161738,444,0,-444
"149","2002-05",0.0410447695864434,752.409424559874,1088.04387949932,271,38,-233
"150","2002-06",0.0410344989384747,909.047921647917,750.340828696768,64,173,109
"151","2002-07",0.0410229642203109,1259.35142102353,672.098566909485,0,420,420
"152","2002-08",0.0410024692334526,1092.08805361503,670.868827792834,1,243,242
"153","2002-09",0.0409729708100045,784.190495950536,948.890093224529,110,64,-46
"154","2002-10",0.0409422326753361,763.655776289811,2118.69218239311,541,0,-541
"155","2002-11",0.0409126554399699,815.841121994819,3167.16008923959,878,0,-878
"156","2002-12",0.0408905056708232,890.341648835484,3897.13701808743,1086,0,-1086
"157","2003-01",0.0408637876980207,999.779918495573,3819.55261318688,955,0,-955
"158","2003-02",0.0408692478886652,724.737873093299,3950.9884456032,947,0,-947
"159","2003-03",0.0408903495916736,788.38558696188,2819.88419561589,723,0,-723
"160","2003-04",0.0409196284107628,777.468774014476,2056.79616920617,500,0,-500
"161","2003-05",0.0409577981352958,808.574933660932,1158.34462403183,277,78,-199
"162","2003-06",0.040974286754102,778.194113223307,715.145616979542,55,139,84
"163","2003-07",0.0409962910385518,1338.81877533445,629.116453486439,0,447,447
"164","2003-08",0.0410326800966153,1226.19972910272,626.20991970216,2,341,339
"165","2003-09",0.0410876956745269,826.373424382019,855.747983889507,120,73,-47
"166","2003-10",0.041157020869956,791.796717817082,1374.45043083451,289,17,-272
"167","2003-11",0.0412437921598527,787.279707237753,3173.11589174209,928,0,-928
"168","2003-12",0.041355431683486,990.284647387098,4138.99848740161,1056,0,-1056
"169","2004-01",0.0414841536253776,1049.63602331223,5553.29702152618,1368,0,-1368
"170","2004-02",0.0416194227470222,845.677775154645,4327.09117425927,1111,0,-1111
"171","2004-03",0.0417509215642362,826.996706011236,2206.86672077989,607,0,-607
"172","2004-04",0.0418656452996887,692.021794084362,1817.2483612434,422,0,-422
"173","2004-05",0.0419722819464621,775.479692376431,1062.17383350787,221,22,-199
"174","2004-06",0.0420838735624298,860.466217349953,601.072487761593,35,125,90
"175","2004-07",0.0421902997992728,1230.39653265768,725.842815277979,0,303,303
"176","2004-08",0.0422895089990587,1108.86880384801,714.349408142069,25,217,192
"177","2004-09",0.0423875796323811,800.191679284626,1024.04339408637,142,68,-74
"178","2004-10",0.0424802860309619,771.04888657379,1908.53575235776,425,2,-423
"179","2004-11",0.0425830900423571,854.186534766293,3312.27251321713,854,0,-854
"180","2004-12",0.0426890991559366,995.914652939079,4142.65166406387,1095,0,-1095
"181","2005-01",0.04279332562485,944.090719221039,4423.01957595229,1068,0,-1068
"182","2005-02",0.0429311369961387,780.245291530288,3797.98512795775,942,0,-942
"183","2005-03",0.0430726371075662,876.965219561401,3107.75424833462,807,0,-807
"184","2005-04",0.0432117400058836,698.572753508455,2856.59680302894,549,0,-549
"185","2005-05",0.0433566278405999,770.090809722204,1739.1340358759,281,10,-271
"186","2005-06",0.0435185541539744,841.314975890481,1116.66779492759,146,69,-77
"187","2005-07",0.0436855802242763,1318.7349152315,796.774129082939,0,332,332
"188","2005-08",0.0438641731446646,1199.56521663402,592.361516729242,7,215,208
"189","2005-09",0.0440503261030906,853.056731505648,721.348931636337,150,50,-100
"190","2005-10",0.0442486508004561,786.68575929245,1018.29822382146,427,0,-427
"191","2005-11",0.0444773136037778,755.257649664114,1626.61723775509,801,0,-801
"192","2005-12",0.0447044080861648,1070.26799803826,3865.30285160514,1159,0,-1159
"193","2006-01",0.0449497922426724,965.782474555145,4379.93173384424,1072,0,-1072
"194","2006-02",0.0451787597969517,862.259336532064,3886.89979368224,974,0,-974
"195","2006-03",0.0454024009788378,874.664400756402,3519.92201382701,857,0,-857
"196","2006-04",0.0456045202381533,734.423021921128,2651.08431193945,463,0,-463
"197","2006-05",0.0457947949656474,805.628358186875,1278.82131017118,210,31,-179
"198","2006-06",0.0459616720457102,1014.89218605106,928.425389786806,21,148,127
"199","2006-07",0.0461104154374246,1408.37617024797,649.068335449197,0,376,376
"200","2006-08",0.04624896428663,1221.74952555374,605.557046516169,5,201,196
"201","2006-09",0.0463649998403396,870.462482183635,723.614277737442,212,33,-179
"202","2006-10",0.0464759233750465,789.089823012003,1192.61569527771,526,0,-526
"203","2006-11",0.0465784704255175,854.169256039374,2159.72133768887,794,0,-794
"204","2006-12",0.0466589265163562,1064.64380243227,3709.28418484662,1167,0,-1167
"205","2007-01",0.0467358188326086,1096.38809320351,4972.98366042365,1398,0,-1398
"206","2007-02",0.0468033401066384,814.383706794646,4414.54198871692,870,0,-870
"207","2007-03",0.0468567845396472,824.593184306652,3116.02068950591,665,0,-665
"208","2007-04",0.0468824943594846,742.278399676438,1951.48687864732,471,1,-470
"209","2007-05",0.046892483648359,859.713025662591,1344.28522659095,213,27,-186
"210","2007-06",0.0468772300796941,1024.66592627885,933.143714689865,47,166,119
"211","2007-07",0.0468370422402184,1484.59372724725,671.378115024098,0,402,402
"212","2007-08",0.0467774243747475,1346.74457532369,580.357348634181,0,301,301
"213","2007-09",0.0466996051243147,957.767093386555,651.937824051525,134,66,-68
"214","2007-10",0.0466101602456527,765.311881857178,1109.05699383468,478,0,-478
"215","2007-11",0.0465013449389734,880.186211974366,1994.47473784876,746,0,-746
"216","2007-12",0.0463799650668128,1027.92769939483,3399.98469937038,1243,0,-1243
"217","2008-01",0.0462493526338716,1128.99648020693,5126.61358924475,1336,0,-1336
"218","2008-02",0.046111295018241,847.234890362304,4764.59984566609,1079,0,-1079
"219","2008-03",0.0459608912292116,871.735548313543,3478.48098623878,881,0,-881
"220","2008-04",0.045807143104341,816.09486366482,2643.6949923705,646,0,-646
"221","2008-05",0.0456316219277471,751.623280601726,1808.12537146457,338,14,-324
"222","2008-06",0.0454477473151586,942.515224751668,1049.88536420108,108,120,12
"223","2008-07",0.0452489697539434,1432.37176830931,698.376435266033,0,321,321
"224","2008-08",0.045035549106014,1260.05328703758,613.236324172138,1,251,250
"225","2008-09",0.0448148200906691,863.753386008876,641.498227190375,100,23,-77
"226","2008-10",0.0445883234489724,822.657773815569,964.902864421234,452,1,-451
"227","2008-11",0.0443552085316551,822.425202912552,1858.98894032585,715,0,-715
"228","2008-12",0.0441216654064981,1037.55471703404,3101.50174982269,1168,0,-1168
"229","2009-01",0.0438741974299377,1053.06759214186,4870.93629278597,1166,0,-1166
"230","2009-02",0.0436709803474477,837.707532553453,3760.90279752169,930,0,-930
"231","2009-03",0.0435009014788159,842.622447815883,3104.40965081549,809,0,-809
"232","2009-04",0.0433704715485754,784.186528153796,2680.28032759666,571,0,-571
"233","2009-05",0.043270714118262,758.122948687437,1512.58436419909,218,13,-205
"234","2009-06",0.0432034897162933,811.371638115293,845.418951020234,107,46,-61
"235","2009-07",0.0431683520171789,1330.85364872585,747.715181862083,0,282,282
"236","2009-08",0.0431669442750747,1211.31089970323,615.55365524839,21,201,180
"237","2009-09",0.0431935491232068,990.98745093063,642.753886740795,56,80,24
"238","2009-10",0.0432583774380008,807.030269688281,1144.43771301006,575,0,-575
"239","2009-11",0.0433617399195482,766.923348411473,1899.42654194268,781,0,-781
"240","2009-12",0.0435127974499903,1085.46316877619,4024.55375550222,1373,0,-1373
"241","2010-01",0.043694635129185,1076.99649141846,4733.31700470734,1210,0,-1210
"242","2010-02",0.0438678533665596,890.440222373678,3305.08296322448,983,0,-983
"243","2010-03",0.0440339497604115,825.244851880495,3036.00852496468,806,0,-806
"244","2010-04",0.0441877655185606,771.399662872793,2610.24284887355,573,0,-573
"245","2010-05",0.0443302632122686,756.449977300867,1639.74885834976,439,0,-439
"246","2010-06",0.0444624102186082,905.823618374779,1063.12522894803,73,88,15
"247","2010-07",0.0445770229065923,1378.8815766304,696.242965235397,3,289,286
"248","2010-08",0.0446748961200171,1280.61311988123,584.399833669036,14,218,204
"249","2010-09",0.0447567270267499,930.780482944274,639.821536741377,59,49,-10
"250","2010-10",0.0448268206868112,798.991232696613,1190.21181807725,376,6,-370
"251","2010-11",0.044896851353684,814.710746099098,3008.86392383347,855,0,-855
"252","2010-12",0.044957816642628,1029.61688311701,3730.05591689814,1003,0,-1003
"253","2011-01",0.04500184840447,1094.35929414656,4981.33882659796,1235,0,-1235
"254","2011-02",0.045050587349826,882.89048221132,3701.19871602263,987,0,-987
"255","2011-03",0.0450982258148898,838.693043448596,2717.9490742084,754,0,-754
"256","2011-04",0.0451288605369078,800.561014175555,2351.58332657721,621,0,-621
"257","2011-05",0.0451545780843473,728.712005480775,1582.4888484176,422,0,-422
"258","2011-06",0.0451765340509752,862.492057171072,1226.48852192519,103,64,-39
"259","2011-07",0.0451817254818876,1275.43911751725,685.484388921413,0,282,282
"260","2011-08",0.0451806274960741,1255.93718032765,583.318126508252,0,299,299
"261","2011-09",0.0451665295923719,985.345172821128,646.822823134631,29,44,15
"262","2011-10",0.045153491784505,864.53074124531,886.431324852959,423,7,-416
"263","2011-11",0.0451409704537796,793.197120846941,3186.40195745695,838,0,-838
"264","2011-12",0.0451223968805961,1056.42134819493,4922.24858375537,1171,0,-1171
"265","2012-01",0.0450962157688203,1013.80605345938,4273.40488214137,1037,0,-1037
"266","2012-02",0.0450901634679928,880.08105143652,3497.31383646198,901,0,-901
"267","2012-03",0.0450794906034606,816.747838878097,2325.2297382961,605,0,-605
"268","2012-04",0.045076327646407,752.130607784801,1454.44380863756,420,4,-416
"269","2012-05",0.0450803327080405,809.265176926702,1092.93458305155,213,14,-199
"270","2012-06",0.0450823633621025,1027.81549779853,873.894690068181,46,178,132
"271","2012-07",0.045086804563966,1365.93156922032,572.974007754766,0,352,352
"272","2012-08",0.0450900283092599,1368.16574446904,684.012386524476,0,327,327
"273","2012-09",0.0450935975355836,946.214695542552,449.483260647801,43,54,11
"274","2012-10",0.0451074731374401,775.924702258215,1412.45077042554,425,0,-425
"275","2012-11",0.0451315461208869,831.95227553789,2392.44220835452,674,0,-674
"276","2012-12",0.0451660886153989,1000.09101669431,4081.17492291092,1061,0,-1061
"277","2013-01",0.0452094532066263,1134.47716068739,5937.67150026668,1444,0,-1444
"278","2013-02",0.0452658429928894,891.270008930336,3691.55879863712,1051,0,-1051
