"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0238670878516214,21043.7688844462,762.794346901104,1133,0,-1133
"2","1990-02",0.0238529229472897,14106.3494863307,620.379013352736,1173,0,-1173
"3","1990-03",0.0238276933597354,15104.5147918573,576.627143519013,996,0,-996
"4","1990-04",0.0237882841930338,12909.644755509,415.245524714629,618,10,-608
"5","1990-05",0.0237397471504895,11611.4135766015,246.412420835634,393,0,-393
"6","1990-06",0.02368006521093,13837.7977762777,155.372261319532,74,63,-11
"7","1990-07",0.0236100238645524,18276.2062250946,81.4450287099437,24,152,128
"8","1990-08",0.0235291538387426,16422.2367844149,75.7320649807845,18,123,105
"9","1990-09",0.0234378171675689,12977.5424553689,96.5177533164481,216,11,-205
"10","1990-10",0.0233363844651044,12143.735121919,179.712371338955,466,4,-462
"11","1990-11",0.0232268947725421,13940.719674885,346.067496920574,808,0,-808
"12","1990-12",0.0231074245303037,17016.0689113131,516.095332496022,1120,0,-1120
"13","1991-01",0.0229783904548837,19608.4967428609,720.045191164326,1456,0,-1456
"14","1991-02",0.0228727897148208,15915.1862439556,691.452311716008,1103,0,-1103
"15","1991-03",0.0227922176144165,15688.977110249,564.687507729756,980,0,-980
"16","1991-04",0.0227347626594229,12230.9583064986,424.765155338125,527,1,-526
"17","1991-05",0.022699911116679,13410.0165001942,233.981475054488,221,26,-195
"18","1991-06",0.0226875424530252,15505.1830904176,120.696710479953,71,69,-2
"19","1991-07",0.0227027404820885,19139.4280393138,86.7139955270959,25,122,97
"20","1991-08",0.0227414377089289,17434.3805300211,75.3685744733005,11,124,113
"21","1991-09",0.0228042080739643,13966.5656786273,92.2826448328921,270,14,-256
"22","1991-10",0.0228917856823141,12409.9820433699,207.07115726626,482,0,-482
"23","1991-11",0.023004664946905,14509.8791877937,351.876842969059,845,0,-845
"24","1991-12",0.02314319005736,18122.7634965126,590.645370797688,1277,0,-1277
"25","1992-01",0.02330606414433,20248.1643230394,810.446351952653,1433,0,-1433
"26","1992-02",0.0234522556209607,18186.4556811577,800.770982284878,1283,0,-1283
"27","1992-03",0.0235807585199285,16333.3112780356,689.603604485596,1209,0,-1209
"28","1992-04",0.0236909432828823,13833.9372046808,533.406027948682,725,1,-724
"29","1992-05",0.0237839646922138,12284.2355907928,272.211311521476,328,4,-324
"30","1992-06",0.0238595011087546,13052.3538744929,135.100054857075,120,31,-89
"31","1992-07",0.0239180037045246,17421.7583243043,99.3980605280271,57,43,-14
"32","1992-08",0.0239583891402466,16469.8505508886,91.8440922024484,62,59,-3
"33","1992-09",0.0239824990120031,13751.565232713,99.2867238323957,222,25,-197
"34","1992-10",0.0239899144376295,12489.2686024002,241.526141310444,668,0,-668
"35","1992-11",0.0239813646502135,14129.9162943334,383.618090235275,909,0,-909
"36","1992-12",0.0239567694238482,19858.2343147527,576.071599190061,1214,0,-1214
"37","1993-01",0.0239152774798062,20721.0870391129,770.189075863038,1341,0,-1341
"38","1993-02",0.0238863644958894,19630.7484891335,833.328087388669,1500,0,-1500
"39","1993-03",0.0238692018946687,19405.0419004585,808.615379834836,1178,0,-1178
"40","1993-04",0.0238627198500682,13394.1623069885,505.788683793938,637,0,-637
"41","1993-05",0.0238676288095428,11602.9428155978,257.401273741238,302,0,-302
"42","1993-06",0.0238835226936897,15272.2222487589,156.574770552727,114,37,-77
"43","1993-07",0.0239106509757064,21803.8766410939,93.133840685464,12,138,126
"44","1993-08",0.0239486212639305,19056.7683136166,83.7572774877001,24,124,100
"45","1993-09",0.0239984523602698,14758.7949123862,94.852613812609,247,25,-222
"46","1993-10",0.0240598865339652,11606.6810105196,236.017585194627,628,0,-628
"47","1993-11",0.0241339494814225,15555.945958557,350.974375446357,890,0,-890
"48","1993-12",0.024219894494507,20863.7585605919,528.846790209441,1280,0,-1280
"49","1994-01",0.0243173042430429,27178.2791055212,886.289920268901,1789,0,-1789
"50","1994-02",0.0244009718796509,19863.7023940941,844.914152693495,1418,0,-1418
"51","1994-03",0.0244686249694928,18803.1017025097,683.234166047554,1110,0,-1110
"52","1994-04",0.0245193289035165,11701.0617171058,482.900572573463,640,0,-640
"53","1994-05",0.0245561670626311,11730.8297831741,257.003238815974,376,6,-370
"54","1994-06",0.024576939275599,16591.8393503606,155.203910987294,63,108,45
"55","1994-07",0.0245823735370196,21437.7731096854,88.6277027164844,1,193,192
"56","1994-08",0.0245725468401833,17217.6584257404,83.0331941704963,76,69,-7
"57","1994-09",0.024547551795892,12588.1787026926,99.5751933609146,231,2,-229
"58","1994-10",0.0245079652414068,11731.6022466974,171.386027473317,534,0,-534
"59","1994-11",0.024454390398498,13833.9733013288,246.808160357825,763,0,-763
"60","1994-12",0.0243863527798455,18512.9660270931,509.935444970813,1152,0,-1152
"61","1995-01",0.0243036356568775,21414.0806271474,647.698861009332,1216,0,-1216
"62","1995-02",0.0242439507315497,20381.0791862102,684.184995774964,1319,0,-1319
"63","1995-03",0.0242069267772011,16553.4251070516,612.172777235826,953,0,-953
"64","1995-04",0.024191192202884,12277.8105141817,488.748643111459,765,0,-765
"65","1995-05",0.0241985744927106,12385.0270013517,249.761414350957,340,2,-338
"66","1995-06",0.0242274466003607,15026.8781291395,145.002614748277,60,95,35
"67","1995-07",0.0242782358106445,20850.444457025,89.8866727704171,3,214,211
"68","1995-08",0.0243513809936971,21614.8000302664,77.0008944651199,43,115,72
"69","1995-09",0.0244461693029692,13797.613531015,98.9400969266253,283,3,-280
"70","1995-10",0.024563388269259,12223.5759109096,157.473974582835,413,0,-413
"71","1995-11",0.0247044589407389,16931.2504314369,322.092168879977,953,0,-953
"72","1995-12",0.0248688603303682,23290.263148752,645.677846907999,1408,0,-1408
"73","1996-01",0.0250561784896054,25863.7989056515,853.770953102898,1485,0,-1485
"74","1996-02",0.0252110057485562,22371.1950868817,763.827290531128,1297,0,-1297
"75","1996-03",0.0253327841905231,19450.8023980966,646.572240295762,1156,0,-1156
"76","1996-04",0.0254212897404221,14315.2798711383,489.259610454038,681,0,-681
"77","1996-05",0.025477718530587,12867.9755118092,304.738493461928,395,14,-381
"78","1996-06",0.0255011551810715,17215.8770869006,155.036907783199,46,45,-1
"79","1996-07",0.0254922294411084,19227.0102848962,92.9823901872702,11,88,77
"80","1996-08",0.0254501950516069,17585.0550630862,85.6521624357102,16,91,75
"81","1996-09",0.0253760590111482,14282.3713114003,102.011822435989,170,33,-137
"82","1996-10",0.0252703137019436,12131.4392858824,182.097683194075,569,0,-569
"83","1996-11",0.0251325910758822,17089.4223362621,378.636873312974,983,0,-983
"84","1996-12",0.024964645233883,20375.2121742197,549.623174173575,1053,0,-1053
"85","1997-01",0.0247650979995031,22713.3082644672,762.413053298988,1459,0,-1459
"86","1997-02",0.024679592757024,19674.6491008479,756.811127430009,1124,0,-1124
"87","1997-03",0.0247072382700768,16417.8659083115,696.620047788606,1180,0,-1180
"88","1997-04",0.0248474463268475,13801.2206608648,514.591831886161,743,0,-743
"89","1997-05",0.0251012287386391,12160.5954502244,343.568473273451,461,0,-461
"90","1997-06",0.0254675915235143,15618.886000484,176.270211032585,65,67,2
"91","1997-07",0.0259467157539742,21341.4412383714,103.543806208369,41,89,48
"92","1997-08",0.0265374576891707,18640.6471926667,94.420246902847,51,54,3
"93","1997-09",0.0272412918882033,14457.7837140761,107.083987142663,236,7,-229
"94","1997-10",0.0280583659198018,14495.6357445229,214.07610350367,599,0,-599
"95","1997-11",0.0289890042207007,16806.8681566927,388.081863789596,944,0,-944
"96","1997-12",0.030033146258422,21333.1197163991,625.405944764297,1252,0,-1252
"97","1998-01",0.0311891771849602,20929.5451356406,773.735275791821,1296,0,-1296
"98","1998-02",0.0322415115230201,18306.1114117355,719.167170679565,1053,0,-1053
"99","1998-03",0.0331888806186126,18746.6760237628,615.776949725179,985,0,-985
"100","1998-04",0.0340289868308075,13337.3565296032,481.647044746045,592,0,-592
"101","1998-05",0.0347641126317572,14180.2882215824,213.627621204761,163,9,-154
"102","1998-06",0.03539405591049,17079.834111816,139.384642675369,93,100,7
"103","1998-07",0.0359190533504403,21621.9098895774,101.363831700857,13,119,106
"104","1998-08",0.0363385333534242,21292.610242612,103.170274284428,34,105,71
"105","1998-09",0.0366541055213853,18269.5734608344,206.348693681827,167,17,-150
"106","1998-10",0.0368657366735302,12623.6615784667,184.648387211798,521,0,-521
"107","1998-11",0.0369739517368908,15237.3496080007,385.6655113924,823,0,-823
"108","1998-12",0.0369792442148741,19917.916596603,523.429848275069,1060,0,-1060
"109","1999-01",0.0368794055482113,23179.0835715674,893.214343934603,1443,0,-1443
"110","1999-02",0.0368018853371322,19177.9140547858,695.795729879448,1136,0,-1136
"111","1999-03",0.0367433336918012,19776.677989502,677.512273380751,1063,0,-1063
"112","1999-04",0.0367015795867619,13791.3078236468,510.524802355202,655,0,-655
"113","1999-05",0.0366784664304268,13844.3218965482,285.756481921125,226,11,-215
"114","1999-06",0.0366736241727806,17060.659023549,139.074183729028,49,116,67
"115","1999-07",0.0366874383066531,24079.852906776,100.974597536886,9,217,208
"116","1999-08",0.0367195677562442,21839.4717555916,100.769697621387,33,90,57
"117","1999-09",0.0367707850080281,15320.5061309782,104.123561282373,126,71,-55
"118","1999-10",0.0368408866346992,12899.7277256895,220.225313981527,603,0,-603
"119","1999-11",0.0369310336875969,15454.5317543498,378.458651317262,698,0,-698
"120","1999-12",0.037040528963707,20552.2776945734,521.369782452875,1164,0,-1164
"121","2000-01",0.0371672343040116,25474.0227289601,824.482816215914,1480,0,-1480
"122","2000-02",0.0372907560234437,20379.9470235502,901.427676101747,1220,0,-1220
