"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0280726634084941,120.716004182516,1888.75406957186,700,0,-700
"2","1990-02",0.0280435274407078,100.284014473408,1271.98723657684,579,0,-579
"3","1990-03",0.028011479107596,102.512664364576,1197.69400888052,508,22,-486
"4","1990-04",0.0279641635696027,86.1682794112941,812.832931678508,334,32,-302
"5","1990-05",0.0279215397416681,76.750034330066,424.410761335817,106,38,-68
"6","1990-06",0.027875571333631,71.4206738791409,305.90532403551,9,214,205
"7","1990-07",0.0278293074149718,75.6572801866118,245.392058310621,0,361,361
"8","1990-08",0.0277808293308379,76.2943595873569,240.877575012847,1,271,270
"9","1990-09",0.0277315031237256,67.7270411898727,280.740166548116,65,113,48
"10","1990-10",0.0276827324921233,78.9178631289182,366.790202047551,227,41,-186
"11","1990-11",0.027642581077263,88.587424781216,778.285668518948,462,0,-462
"12","1990-12",0.0276033785815804,103.190993078759,1280.73811075898,698,0,-698
"13","1991-01",0.0275667584327836,120.457104644872,1694.85513134141,873,0,-873
"14","1991-02",0.0275310892474527,99.1426135038644,1590.53907733328,667,0,-667
"15","1991-03",0.0275028813943209,97.1741578870006,1269.92288315518,548,3,-545
"16","1991-04",0.0274745210784574,81.3886437196005,791.347323442143,283,25,-258
"17","1991-05",0.0274440287558966,80.5750540597758,376.300431292234,45,172,127
"18","1991-06",0.0274110573359436,69.9951006781056,283.27313343605,13,230,217
"19","1991-07",0.0273962601118777,71.0687519125181,244.369552039449,0,396,396
"20","1991-08",0.0273833383377697,73.1538028856867,237.936587565057,0,310,310
"21","1991-09",0.0273747380017629,66.5476653972861,246.812029537334,65,157,92
"22","1991-10",0.0273735111834434,75.8449669809839,437.283542673178,254,12,-242
"23","1991-11",0.0273816940257878,81.5766929348686,949.891592774571,574,1,-573
"24","1991-12",0.0274006664447776,105.092074453108,1348.93785490861,728,0,-728
"25","1992-01",0.0274253386558056,127.440515427728,1870.48123667975,863,0,-863
"26","1992-02",0.0274518115123481,113.50680754779,1747.34677907741,720,0,-720
"27","1992-03",0.0274761297782098,109.671876256171,1373.35459227685,649,0,-649
"28","1992-04",0.0274958607920301,90.0565631305627,1014.65523492377,331,17,-314
"29","1992-05",0.0275154221933924,76.3752202732792,562.946252377533,187,25,-162
"30","1992-06",0.027533518951722,70.0207648991941,307.480255247155,24,121,97
"31","1992-07",0.0275518015508089,72.5442387202404,256.747441753264,0,346,346
"32","1992-08",0.0275660736234841,73.5605832009269,241.110862009196,3,184,181
"33","1992-09",0.0275832388434646,75.5046551126454,251.239619183728,58,129,71
"34","1992-10",0.0276016028820774,81.5456739571762,565.655448865924,353,4,-349
"35","1992-11",0.02762382854509,87.4807023080998,948.812023445453,539,1,-538
"36","1992-12",0.0276495215846233,109.626347972228,1603.97938319322,852,0,-852
"37","1993-01",0.0276753638886288,115.909076081055,1848.00952251262,819,0,-819
"38","1993-02",0.0277109810727562,108.239615662439,1982.78770411016,860,0,-860
"39","1993-03",0.0277532807216104,111.400720085109,1789.20628381289,742,0,-742
"40","1993-04",0.0277982265773227,84.1604542655479,998.458755781392,360,6,-354
"41","1993-05",0.0278485895015859,74.1571267543096,414.453337996028,64,63,-1
"42","1993-06",0.0279028805766292,73.843643637871,277.1571606023,12,217,205
"43","1993-07",0.0279621309397394,79.2721839278067,244.632327099697,0,421,421
"44","1993-08",0.0280249184878357,82.0940765699357,239.267085720276,0,322,322
"45","1993-09",0.0280952479428969,76.7193671052624,242.895471817227,46,163,117
"46","1993-10",0.0281722299838419,86.7778771657371,455.671208155728,310,5,-305
"47","1993-11",0.0282599070911102,93.3102465359033,940.72737965081,553,5,-548
"48","1993-12",0.0283555194907294,111.892529176103,1688.9237045694,914,0,-914
"49","1994-01",0.0284575774918691,132.86069404287,2434.47730825505,1130,0,-1130
"50","1994-02",0.0285551368310808,110.018386225271,2041.23864726701,794,0,-794
"51","1994-03",0.0286393648905727,108.349770814857,1567.0176778491,620,1,-619
"52","1994-04",0.0287065670488649,85.6538671411579,754.805983501003,211,31,-180
"53","1994-05",0.0287684697564232,78.0860398046525,440.882546140504,203,34,-169
"54","1994-06",0.0288165349176663,78.273494115624,310.662686636739,3,291,288
"55","1994-07",0.0288534651657434,81.2367751378505,231.513920164519,0,366,366
"56","1994-08",0.0288794721065247,81.8028457193576,232.291114717304,3,227,224
"57","1994-09",0.0288948344681383,74.6764522862808,240.932814253294,45,77,32
"58","1994-10",0.0289017066232677,81.0609088316345,481.747874384671,318,1,-317
"59","1994-11",0.0289023667150609,87.8869378690311,780.04099940023,433,0,-433
"60","1994-12",0.0288949480905751,107.06448309022,1437.19115739513,707,0,-707
"61","1995-01",0.0288785799406109,111.49204180792,1920.2272785668,859,0,-859
"62","1995-02",0.0288858425236262,104.39490291597,2100.99292881891,862,0,-862
"63","1995-03",0.028915381790123,97.0674024435732,1481.41553634025,554,0,-554
"64","1995-04",0.0289619197954148,85.3243711461254,812.15795802023,332,11,-321
"65","1995-05",0.0290326786734721,77.5267883957108,471.034635372859,123,55,-68
"66","1995-06",0.029121377290119,77.7632526323304,270.406945740691,5,195,190
"67","1995-07",0.0292297742739939,80.3691423680858,248.226180170497,0,378,378
"68","1995-08",0.0293596899841629,83.8754288733234,242.185937303632,0,357,357
"69","1995-09",0.029508421693225,73.3168184999614,229.335121918964,54,106,52
"70","1995-10",0.029679174618959,76.1554106763445,371.899956038254,220,31,-189
"71","1995-11",0.029877663232954,93.0845350677903,1168.43592332852,692,2,-690
"72","1995-12",0.0301019567419804,115.819339604362,2109.53953416416,981,0,-981
"73","1996-01",0.0303505425548488,121.414934598222,2420.79614527049,1002,0,-1002
"74","1996-02",0.0305390299255214,107.96543247566,2265.06725812915,849,0,-849
"75","1996-03",0.0306650944183768,100.477390498361,1846.79427037863,767,0,-767
"76","1996-04",0.0307277660437943,81.3338685503341,1072.54375326184,324,18,-306
"77","1996-05",0.0307316979071406,79.9770693674436,418.066743452362,162,86,-76
"78","1996-06",0.0306732581534222,78.0668265726661,343.909521366538,11,238,227
"79","1996-07",0.0305549179165528,80.0906292507861,247.166399211225,2,271,269
"80","1996-08",0.0303738004013564,80.4728037876631,234.088550428395,1,235,234
"81","1996-09",0.0301338864288478,76.3714881695212,232.203581646173,46,112,66
"82","1996-10",0.0298371260503166,82.998957233049,472.318344496533,267,5,-262
"83","1996-11",0.0294821644554586,92.4406596480731,1210.86640617623,717,1,-716
