"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0291366758200154,2470.85828856157,1348.2690418159,783,0,-783
"2","1990-02",0.0291069208013887,2499.35100647247,1444.93876745693,792,0,-792
"3","1990-03",0.0290776705676329,2350.65466321813,1206.8075829596,614,0,-614
"4","1990-04",0.0290315398755819,1894.96713181357,747.929729838315,408,0,-408
"5","1990-05",0.0289966050873424,1563.45738094748,579.929011803847,330,0,-330
"6","1990-06",0.0289615495349621,1392.19339664647,437.190918705489,168,20,-148
"7","1990-07",0.0289306475811831,1300.2558145245,235.55516937583,31,112,81
"8","1990-08",0.0289011872977721,1228.04479665978,177.983519562607,34,85,51
"9","1990-09",0.0288750721217799,1178.30277953819,210.231605259802,95,18,-77
"10","1990-10",0.0288542560991067,1331.33240232204,438.332618257658,494,0,-494
"11","1990-11",0.0288500530932913,1636.47212288555,878.367367110926,623,0,-623
"12","1990-12",0.0288516706329169,2335.79652279654,1365.50740367716,1053,0,-1053
"13","1991-01",0.0288613913173638,2847.36781626776,1889.55606424575,934,0,-934
"14","1991-02",0.0288690080869184,2644.3817526221,1384.79092147596,559,0,-559
"15","1991-03",0.0288836508203086,2272.6259504294,1229.51351485425,705,0,-705
"16","1991-04",0.0288945700487865,1994.99442670321,1040.84533542373,491,0,-491
"17","1991-05",0.0288989457556316,1653.86519268577,680.716731120275,344,0,-344
"18","1991-06",0.0288962654974749,1413.70031986909,503.565793471491,218,1,-217
"19","1991-07",0.0289156199812546,1268.90601720755,283.268185068197,40,64,24
"20","1991-08",0.0289340322895529,1190.51476817607,208.248132850163,38,91,53
"21","1991-09",0.0289549421717417,1177.63147954852,241.147508181673,124,13,-111
"22","1991-10",0.0289826506246754,1282.10377928437,373.634177575233,460,0,-460
"23","1991-11",0.0290200327086777,1655.85570196289,956.671218613441,636,0,-636
"24","1991-12",0.0290690451729874,2092.23957671047,1374.1026893303,763,0,-763
"25","1992-01",0.0291225193771343,2430.47006716702,1577.1806670622,752,0,-752
"26","1992-02",0.0291721414320445,2312.8058149874,1289.16227653248,595,0,-595
"27","1992-03",0.029212360216196,2043.52175679112,1017.81047540163,512,0,-512
"28","1992-04",0.0292397764517616,1727.66237101018,804.129641483427,397,0,-397
"29","1992-05",0.0292606646581634,1451.35462266124,510.567419927281,215,8,-207
"30","1992-06",0.0292732359261696,1247.63911155684,296.647040034696,86,67,-19
"31","1992-07",0.0292798540811372,1204.5359249449,194.641350672094,42,58,16
"32","1992-08",0.0292746556739187,1191.49014870374,204.015695777434,51,82,31
"33","1992-09",0.0292673860864111,1176.02140983784,278.968438779864,212,3,-209
"34","1992-10",0.0292556853521312,1268.08375881301,475.186599449808,392,0,-392
"35","1992-11",0.029243295026133,1616.5947003841,898.550487219627,668,0,-668
"36","1992-12",0.0292296584992753,2267.45986377208,1679.30937269617,949,0,-949
"37","1993-01",0.0292101503241618,2748.63720313763,2046.49921238705,1028,0,-1028
"38","1993-02",0.0292066883601917,2564.8326724203,1547.63259082921,787,0,-787
"39","1993-03",0.02921492331344,2279.09587024365,1405.91654273994,625,0,-625
"40","1993-04",0.0292292390876769,1919.37352441677,981.94590450376,462,0,-462
"41","1993-05",0.0292534574723398,1602.1592499442,656.364988268314,181,11,-170
"42","1993-06",0.0292855029908686,1335.72661887145,549.562055309625,151,6,-145
"43","1993-07",0.0293267824417869,1206.9244067058,298.325919896318,116,5,-111
"44","1993-08",0.0293753216565692,1174.01159085772,259.965297912469,68,56,-12
"45","1993-09",0.0294366123283902,1185.40519498443,287.323649956898,175,20,-155
"46","1993-10",0.0295094085048183,1334.84067980574,452.218880576993,367,0,-367
"47","1993-11",0.0295992413318489,1669.5758327317,968.249794018092,815,0,-815
"48","1993-12",0.0297023058101413,2219.2106376425,1728.15061425865,839,0,-839
"49","1994-01",0.0298165507095269,2387.38260848608,1642.31398211407,718,0,-718
"50","1994-02",0.0299155247543982,2254.3648680929,1622.17963561156,775,0,-775
"51","1994-03",0.029987124164267,2184.24350898544,1383.02039000902,582,0,-582
"52","1994-04",0.0300263285221706,1808.4366944543,935.668469531917,401,0,-401
"53","1994-05",0.0300492441063388,1470.73750826906,547.584024877997,254,4,-250
"54","1994-06",0.0300442386113469,1283.26193704858,404.714501536011,173,11,-162
"55","1994-07",0.0300150775886463,1208.57083704075,300.999170245412,34,102,68
"56","1994-08",0.0299621245446471,1144.21543645503,214.056820116858,22,56,34
"57","1994-09",0.029885839972937,1128.07508144026,259.50807468587,89,12,-77
"58","1994-10",0.0297892083703768,1290.76795435337,524.698763256426,454,0,-454
"59","1994-11",0.0296753346092236,1658.2361739964,1263.80819487195,770,0,-770
"60","1994-12",0.0295417475350737,2217.02700035205,1867.95871435364,840,0,-840
"61","1995-01",0.0293873426728732,2492.73336128477,1841.20231809847,793,0,-793
"62","1995-02",0.0292763595846301,2242.20784987928,1432.88463135864,640,0,-640
"63","1995-03",0.029206847471148,2084.57612198219,1400.42407116757,631,0,-631
"64","1995-04",0.0291717736363918,1841.33881502295,1029.52436359177,471,0,-471
"65","1995-05",0.0291804913851541,1520.7280692591,626.952987814165,227,3,-224
"66","1995-06",0.0292246974511701,1329.55631584098,390.460270096177,134,25,-109
"67","1995-07",0.0293066041041428,1208.88040946491,275.50232391629,31,75,44
"68","1995-08",0.0294284894176966,1153.12820488367,252.86636203983,106,22,-84
"69","1995-09",0.0295867642488791,1144.69996623945,284.77179280778,90,18,-72
"70","1995-10",0.0297855141728188,1328.43428414196,492.537837317992,457,0,-457
"71","1995-11",0.0300321041459468,1615.68401066294,1143.99740885807,568,0,-568
"72","1995-12",0.0303240162669335,2036.51153489768,1530.73855560872,823,0,-823
"73","1996-01",0.0306592980791062,2377.73035843338,1810.99810585783,898,0,-898
"74","1996-02",0.030920252094865,2437.61740571942,2040.74189697025,770,0,-770
"75","1996-03",0.0311038325175704,2341.59244453793,1533.25241426487,632,0,-632
"76","1996-04",0.0312087728460291,1797.84431956933,1085.82028643149,431,0,-431
"77","1996-05",0.0312412086810036,1634.86159345655,892.018432825297,399,0,-399
"78","1996-06",0.0311964318056118,1400.03504754194,521.803859302495,166,6,-160
"79","1996-07",0.0310777607954063,1259.78534829901,325.034840046501,55,110,55
"80","1996-08",0.0308815188962941,1184.49210006794,249.177428393496,48,68,20
"81","1996-09",0.0306130447876828,1190.16986244075,312.865871433818,233,2,-231
"82","1996-10",0.0302750152904378,1326.52793157341,582.233375031259,472,0,-472
"83","1996-11",0.0298657917347828,1676.38853807829,1231.46997601216,738,0,-738
"84","1996-12",0.0293942637774496,2300.01994150438,1942.55217625722,939,0,-939
"85","1997-01",0.0288537553282046,2582.93874099161,1728.52331985418,865,0,-865
"86","1997-02",0.0285773361732764,2444.48609633221,1487.28104802365,704,0,-704
"87","1997-03",0.0285600144196215,2171.8024470951,1288.18579695658,660,0,-660
"88","1997-04",0.0287983474382441,1866.44675324596,725.367246910205,498,0,-498
"89","1997-05",0.0292965944760366,1491.31567963191,883.201824236453,216,4,-212
"90","1997-06",0.0300493719614766,1291.37816268906,481.718330207908,159,5,-154
"91","1997-07",0.03105697554976,1216.3646562778,391.484766580163,49,41,-8
"92","1997-08",0.0323131305570556,1160.10849697025,350.832565011335,15,102,87
