"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.017436589110046,3323.76438811948,4373.62113269238,824,0,-824
"2","1990-02",0.0174393410806331,2828.62703848018,2991.01647308271,682,0,-682
"3","1990-03",0.0174441645406345,2772.51551710134,2661.86503144398,581,4,-577
"4","1990-04",0.0174506931476805,2484.66652580155,2169.9983350541,429,15,-414
"5","1990-05",0.0174595143141163,2424.15995371953,1113.89721443209,177,13,-164
"6","1990-06",0.017470388533824,2520.48268485448,672.580715119097,26,136,110
"7","1990-07",0.0174834038350539,2805.41374247949,461.484877638664,0,245,245
"8","1990-08",0.0174984998537266,2860.99873502722,443.548267467001,1,204,203
"9","1990-09",0.0175157136624398,2555.92759605391,509.707650597007,92,106,14
"10","1990-10",0.0175350834355319,2531.71821004815,861.819443188941,313,7,-306
"11","1990-11",0.0175568492306872,2622.86152098043,1930.12569038415,552,0,-552
"12","1990-12",0.0175807751548587,3176.74948591359,2590.33894918584,805,0,-805
"13","1991-01",0.0176069054686161,3478.62622015942,3538.99817388354,995,0,-995
"14","1991-02",0.0176345237650502,2896.79128922623,3516.21823505873,797,0,-797
"15","1991-03",0.0176638254048571,2845.7784845427,3089.64082362007,644,0,-644
"16","1991-04",0.0176945738868481,2560.93977274311,1828.53345260778,315,19,-296
"17","1991-05",0.0177267037782184,2652.86195124007,872.026202537619,50,155,105
"18","1991-06",0.017760199300637,2772.93229919299,449.21447671804,15,203,188
"19","1991-07",0.0177956984759206,3104.52256441586,399.537008409769,0,328,328
"20","1991-08",0.0178326945808749,2990.16200127432,394.974934059526,1,241,240
"21","1991-09",0.0178712614396495,2590.44290230218,485.641658643487,112,128,16
"22","1991-10",0.0179114932671343,2632.37803794076,1103.02278260998,316,9,-307
"23","1991-11",0.0179534537516637,2886.04575849559,2036.69668580656,709,0,-709
"24","1991-12",0.017997186754005,3322.2998446728,2995.30715403969,849,0,-849
"25","1992-01",0.0180425313770261,3356.43668450155,3921.13889664837,1010,0,-1010
"26","1992-02",0.0180845922351212,2908.0730374951,3950.51290333618,806,0,-806
"27","1992-03",0.0181232399286601,2850.09905523774,2743.13918920541,745,0,-745
"28","1992-04",0.0181583930519757,2683.03309298008,2558.42081570422,413,7,-406
"29","1992-05",0.0181901893816958,2501.54745273835,1314.80587854411,216,16,-200
"30","1992-06",0.0182185851123048,2425.07951459026,699.532192577042,49,70,21
"31","1992-07",0.0182436312478632,2632.92243017646,432.176353782665,1,257,256
"32","1992-08",0.0182651914907687,2652.06372737031,418.039282609961,10,125,115
"33","1992-09",0.0182834868887399,2463.34324595533,517.679016834955,79,85,6
"34","1992-10",0.0182984627415688,2508.21747195496,1199.62906896879,429,0,-429
"35","1992-11",0.0183102050457273,2777.90205944483,1969.73709453416,613,0,-613
"36","1992-12",0.0183187015788587,3370.33569230522,2615.77592945268,956,0,-956
"37","1993-01",0.0183238461041294,3452.81139291458,3291.11163174014,883,0,-883
"38","1993-02",0.0183407975239469,2813.37311202167,3755.34174469847,961,0,-961
"39","1993-03",0.0183694335392277,2963.07501873935,3631.7167121746,846,0,-846
"40","1993-04",0.0184096063423752,2627.92363885867,2240.75993009897,435,0,-435
"41","1993-05",0.0184613922007012,2503.3432433154,1011.67544677327,127,29,-98
"42","1993-06",0.0185247346692246,2520.21740512661,605.013916313366,37,151,114
"43","1993-07",0.0185996633254465,3054.60481209093,335.103244414358,0,343,343
"44","1993-08",0.0186861328412612,3181.31536443624,389.69884343231,1,270,269
"45","1993-09",0.0187842792406564,2561.98494439914,465.032189580939,71,93,22
"46","1993-10",0.0188940846237746,2667.47735709931,1142.31585998782,398,1,-397
"47","1993-11",0.0190156980296138,2763.60085951977,2102.90312113326,652,1,-651
"48","1993-12",0.0191490505897846,3328.4983477607,3186.70695112992,988,0,-988
"49","1994-01",0.0192941190651619,3681.31960275985,4647.77216229299,1281,0,-1281
"50","1994-02",0.0194261622652769,3098.08375041849,3986.33857966348,883,0,-883
"51","1994-03",0.0195448763406323,2954.02467312571,3227.35449440362,764,0,-764
"52","1994-04",0.0196501271611286,2520.52356258241,2061.69607272012,321,10,-311
"53","1994-05",0.0197423014319362,2426.74028669455,1156.81467978918,278,12,-266
"54","1994-06",0.019821105985875,2783.98508688107,581.83660854118,14,218,204
"55","1994-07",0.0198866275348484,3035.24207216466,339.905218292215,0,280,280
"56","1994-08",0.0199388705196442,3011.84178682474,392.646458964763,9,163,154
"57","1994-09",0.0199778432461688,2673.81644603073,495.621961086948,85,35,-50
"58","1994-10",0.0200036197808339,2728.85078240455,949.034963896957,390,0,-390
"59","1994-11",0.0200162803520324,2809.43959228141,1546.12288707617,510,0,-510
"60","1994-12",0.0200157646361429,3237.21142636062,2730.08578412032,811,0,-811
"61","1995-01",0.0200020474912097,3400.53474078266,3630.46834384312,1015,0,-1015
"62","1995-02",0.0200028074863831,2855.73953705404,4108.84776028542,986,0,-986
