"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0236703630061322,666.683456057813,4279.39673038206,1168,0,-1168
"2","1990-02",0.0236626055045285,522.826887077596,3827.26036891634,1150,0,-1150
"3","1990-03",0.0236530161850683,502.860102042959,3272.6256878946,909,0,-909
"4","1990-04",0.0236363791054224,447.041013383005,2215.52449653813,561,24,-537
"5","1990-05",0.0236211127389808,387.241841537328,1455.89133371209,377,1,-376
"6","1990-06",0.0236038287332699,379.665233152345,785.83239541732,55,91,36
"7","1990-07",0.0235858205092645,450.903538018595,516.428916726027,17,154,137
"8","1990-08",0.0235662788552968,442.026324320603,544.82753055296,19,134,115
"9","1990-09",0.0235457867199001,419.410003699554,677.621697031479,146,82,-64
"10","1990-10",0.0235249455363996,375.949326521712,1462.55634366678,547,2,-545
"11","1990-11",0.0235071940385541,430.000531834829,2257.54294728709,751,0,-751
"12","1990-12",0.0234892749527356,541.173033471444,3847.40763953874,1346,0,-1346
"13","1991-01",0.0234718866880376,633.771969461542,5116.10303116569,1577,0,-1577
"14","1991-02",0.0234654919510617,544.250435729123,3780.05317276547,1119,0,-1119
"15","1991-03",0.0234728275483109,537.083726027046,3443.48860217749,940,0,-940
"16","1991-04",0.0234906083890952,415.89669591225,2120.7945397108,508,6,-502
"17","1991-05",0.0235179390883468,421.665909852984,1322.2047039822,211,101,-110
"18","1991-06",0.023554610012218,433.625236964953,545.463522145182,20,159,139
"19","1991-07",0.0236094589337678,515.018682687443,600.115112258979,14,188,174
"20","1991-08",0.0236754560481536,495.219022353592,536.596259082641,11,171,160
"21","1991-09",0.0237536182195577,416.638386789489,793.662292288364,236,63,-173
"22","1991-10",0.0238452441944408,416.338655018686,1597.1430257643,526,1,-525
"23","1991-11",0.0239512139465793,473.372612768632,3144.87282348556,1055,0,-1055
"24","1991-12",0.0240721402764536,590.195713231783,4080.45725950942,1262,0,-1262
"25","1992-01",0.0242057887218018,655.582356260463,4324.26953075536,1287,0,-1287
"26","1992-02",0.0243304919356404,570.839825219112,3753.24409165984,1073,0,-1073
"27","1992-03",0.0244445074511483,549.549640015891,3408.27217623642,1013,0,-1013
"28","1992-04",0.0245467469737868,460.285851837749,2577.60258623889,695,0,-695
"29","1992-05",0.0246391942859398,402.209713095823,1377.60392905363,278,21,-257
"30","1992-06",0.0247212828648861,375.234542181124,794.971077010667,104,47,-57
"31","1992-07",0.024793774704818,490.112215667342,561.859314161817,47,65,18
"32","1992-08",0.0248547860778736,450.485819140503,573.797248655175,82,68,-14
"33","1992-09",0.0249074684358648,399.370111180374,695.344001212607,210,20,-190
