"","Date","Real GDP per capita (millions of chained 2012 dollars per person)","Electricity Sale to Residential Consumers per capita (MJ/person)","Natural Gas Deliveries to Residential Consumers per capita (MJ/person)","HDD","CDD","DD"
"1","1990-01",0.0300604152602496,1559.96623603768,4468.22144973674,1184,0,-1184
"2","1990-02",0.030048573017074,1422.00769409292,4123.72960390622,1120,0,-1120
"3","1990-03",0.0300461566183609,1306.46001716224,3679.78938850125,963,0,-963
"4","1990-04",0.0300429704592358,1119.8168016419,2773.14817964086,638,0,-638
"5","1990-05",0.0300553744600589,1019.70617710161,2063.30582087645,487,0,-487
"6","1990-06",0.0300767257729078,945.783341861999,1420.30574373586,146,69,-77
"7","1990-07",0.0301095077905731,853.713048041988,776.18400828572,38,103,65
"8","1990-08",0.0301521010837605,894.793802502346,697.897490350378,34,76,42
"9","1990-09",0.0302056084230801,831.709801052578,619.777127203815,149,37,-112
"10","1990-10",0.0302711818748348,970.822039786611,1170.75557810332,631,0,-631
"11","1990-11",0.0303556055077134,1136.99313410925,2352.25895518921,890,0,-890
"12","1990-12",0.0304524805634466,1597.87534190253,3759.82277553218,1561,0,-1561
"13","1991-01",0.0305632088680969,1814.8510306852,5405.76596178043,1449,0,-1449
"14","1991-02",0.0306584010666614,1426.83427128629,4026.78938405399,912,0,-912
"15","1991-03",0.030743591385827,1335.80988126588,3233.24302058545,938,0,-938
"16","1991-04",0.0308122562442084,1182.51436127411,2710.08743838644,740,0,-740
"17","1991-05",0.030862658484816,1059.58667144197,2220.85362535853,432,0,-432
"18","1991-06",0.030894475908939,940.84497153364,1113.84868623578,119,21,-98
"19","1991-07",0.0309256086511749,950.426101530595,704.213666965975,30,109,79
"20","1991-08",0.0309420161891817,946.301783112895,621.821606556933,17,110,93
"21","1991-09",0.0309458612973368,907.376383118623,657.072665049,269,17,-252
"22","1991-10",0.0309398500985245,999.195341407598,1360.54541992437,661,0,-661
"23","1991-11",0.0309258111603948,1224.6787700351,2821.04915434628,1098,0,-1098
"24","1991-12",0.0309049961465994,1524.54020510271,3980.0695593131,1273,0,-1273
"25","1992-01",0.0308730410869054,1643.09908308008,4479.96445690508,1281,0,-1281
"26","1992-02",0.0308524403861604,1382.65807806521,3559.61860092189,959,0,-959
"27","1992-03",0.030839741680801,1245.32653209487,2731.4394892561,814,0,-814
"28","1992-04",0.030832819766361,1127.63915879584,2264.17320704876,547,0,-547
"29","1992-05",0.0308354596836338,924.198391611998,1457.85833048535,315,5,-310
"30","1992-06",0.030846510390208,900.960240644815,1023.87187747442,142,19,-123
"31","1992-07",0.0308673618875484,893.283706057147,766.46468581277,87,29,-58
"32","1992-08",0.0308943569645724,929.025409878809,658.889370300514,100,68,-32
"33","1992-09",0.0309334197741605,896.791199722421,852.292840642052,253,5,-248
"34","1992-10",0.0309830570761573,1020.54197741456,1303.0961910002,553,0,-553
"35","1992-11",0.0310455470669301,1135.01427496051,2530.49202425774,1106,0,-1106
"36","1992-12",0.0311205320202364,1595.07080778317,4256.46434599994,1481,0,-1481
"37","1993-01",0.0312051154555732,1778.56107428628,5052.628030757,1501,0,-1501
"38","1993-02",0.0312866018106436,1466.92790014658,4235.63110035412,1371,0,-1371
"39","1993-03",0.0313623242827742,1428.51143675442,3893.18821139123,981,0,-981
"40","1993-04",0.0314287818537859,1213.22136177225,2738.98629098821,720,0,-720
"41","1993-05",0.031488407046997,1002.74964676528,1901.80200289591,373,0,-373
"42","1993-06",0.0315399262766461,942.367499892781,1188.24273381719,254,9,-245
"43","1993-07",0.0315842672564694,930.435836538628,858.507950730954,129,27,-102
"44","1993-08",0.0316202262150201,964.556032122381,684.082917099054,99,39,-60
"45","1993-09",0.0316513227831698,902.451709358178,889.148744608445,347,1,-346
"46","1993-10",0.0316768145660176,1067.68320749533,1497.97862555236,674,0,-674
"47","1993-11",0.0317002266570781,1280.47041511676,2756.72944575538,1169,0,-1169
"48","1993-12",0.0317191814408977,1655.4388645483,4035.94274288532,1234,0,-1234
"49","1994-01",0.0317324153917256,1566.44882526607,4306.0394554662,1224,0,-1224
"50","1994-02",0.0317505428708999,1445.71908245335,4164.65533216385,1224,0,-1224
"51","1994-03",0.0317659593187451,1355.93113572196,3186.6621526146,871,0,-871
"52","1994-04",0.0317755170684127,1155.81669308964,2602.68275613623,652,0,-652
"53","1994-05",0.0317891946165509,949.15225828485,1512.38063204321,270,1,-269
"54","1994-06",0.0317996977886868,904.32258823802,815.708749665104,93,54,-39
"55","1994-07",0.0318093051908963,946.287255742143,638.987852215932,35,99,64
"56","1994-08",0.0318181716641009,972.631212492565,594.458931778352,22,125,103
"57","1994-09",0.0318265073552023,908.94979340469,769.582391017899,204,12,-192
"58","1994-10",0.0318361116457279,1060.06472503183,1528.73583404018,652,0,-652
